temperature_K	channel	role	path	npz_key	shape	bytes	sha256
300	static	static_short_baseline	results/graphene_fd_delta_pilot/T300_TDEP/static_test/static_short_fc2.npz	force_constants	72x72x3x3	375398	0caf7c8809657b4c8051cbb64a2bf0b5e36df6ae8ec1a6a143ce05cc4f5932df
450	static	static_short_baseline	results/graphene_physics_temperature/post_p4_feasibility/source_p4_450/on_policy/frozen_prediction/frozen_static_fc2.npz	short_force_constants	72x72x3x3	1122620	baa9f0d6171b8320d4449c8351b88b9e1a345afbbddcc5f5d6a25c8517715078
600	static	static_short_baseline	results/graphene_fd_delta_weighted/T600_TDEP/static_short_fc2.npz	force_constants	72x72x3x3	375398	c7c898c0b3cb7b26ab185a866b529d474e84a84df4c9d7b6ffc6cef012c52b0b
300	L0	finite_lattice_total	results/graphene_physics_temperature/post_p4_feasibility/S0_unified_short/L0_classical_tdep/T300/final_physical_tdep.npz	pooled_fc2	72x72x3x3	1633242	d352413125053cb736b5de1ba8ef811d2f3e0bfd9b0285ed2286b388dc8905c9
450	L0	finite_lattice_total	results/graphene_physics_temperature/post_p4_feasibility/S0_unified_short/L0_classical_tdep/T450/final_physical_tdep.npz	pooled_fc2	72x72x3x3	1633242	22451fc5668adc47dbec76aa2648ba6d50aebc9d0dfacf791ef834a5b3a2d083
600	L0	finite_lattice_total	results/graphene_physics_temperature/post_p4_feasibility/S0_unified_short/L0_classical_tdep/T600/final_physical_tdep.npz	pooled_fc2	72x72x3x3	1633242	cfe0cb882c6b2fdc469448e4f4917025dd0d52356316e18c7433806413579532
300	Q0	finite_lattice_total	results/graphene_physics_temperature/post_p4_feasibility/S0_unified_short/Q0_quantum_sscha/formal_T300/result.npz	free_energy_fc2_eV_A2	72x72x3x3	409167	1986d71ffd07d9d4b7b85cfc7ccae035d9cf370404d5ea4d706ffb6877cd5964
450	Q0	finite_lattice_total	results/graphene_physics_temperature/post_p4_feasibility/S0_unified_short/Q0_quantum_sscha/formal_T450/result.npz	free_energy_fc2_eV_A2	72x72x3x3	409167	0133fad7a4453f55a39263b62be808e720d31b6f15e30eec1329aa88f8326852
600	Q0	finite_lattice_total	results/graphene_physics_temperature/post_p4_feasibility/S0_unified_short/Q0_quantum_sscha/formal_T600/result.npz	free_energy_fc2_eV_A2	72x72x3x3	409167	6265d0d4c9e039d89f0edf5c78ca8590b071efccca978a095cb4c8dab5cf5445
300	q6_operator	remove_from_finite_lattice	results/graphene_physics_temperature/post_p4_feasibility/E0_epw_matched/k18_q9_ex1_pifroz/operator_q6_450K/cartesian/T300_operator.npz	delta_fc_full	72x72x3x3	421210	114fb9a369ed106e5a89a9c05223aed7667fd737714f3d42516ebdb8e2e475c3
450	q6_operator	remove_from_finite_lattice	results/graphene_physics_temperature/post_p4_feasibility/E0_epw_matched/k18_q9_ex1_pifroz/operator_q6_450K/cartesian/T450_operator.npz	delta_fc_full	72x72x3x3	421210	77bd333570c97e3134eb41b77d2eef7261cb6a7dfe77df2ce085b112e718d160
600	q6_operator	remove_from_finite_lattice	results/graphene_physics_temperature/post_p4_feasibility/E0_epw_matched/k18_q9_ex1_pifroz/operator_q6_450K/cartesian/T600_operator.npz	delta_fc_full	72x72x3x3	421210	5464a8998d7de904ce812edf80240ea53008ab2a66d26d710023cc083b8a5b19
