stage	lane	label	direction	delta_equal_distance	role
pilot	A	K	K	0.000	development_anchor_cross_host
pilot	A	KG_d007	KG	0.007	development
pilot	B	K	K	0.000	development_anchor_cross_host
pilot	B	KM_d007	KM	0.007	development
development	A	KG_d015	KG	0.015	development
development	A	KM_d023	KM	0.023	development
development	B	KM_d015	KM	0.015	development
development	B	KG_d023	KG	0.023	development
holdout	A	KG_d003	KG	0.003	blind_holdout
holdout	A	KM_d011	KM	0.011	blind_holdout
holdout	A	KG_d019	KG	0.019	blind_holdout
holdout	B	KM_d003	KM	0.003	blind_holdout
holdout	B	KG_d011	KG	0.011	blind_holdout
holdout	B	KM_d019	KM	0.019	blind_holdout
convergence	A	K	K	0.000	kgrid_cross_host
convergence	A	KG_d007	KG	0.007	kgrid
convergence	B	K	K	0.000	kgrid_cross_host
convergence	B	KM_d007	KM	0.007	kgrid
