mp_id,n_imaginary,asr_residual,uncertainty
mp-22862,0,1.0087219578803363e-07,5.043609789401681e-07
mp-2172,0,5.452787866595177e-08,2.726393933297589e-07
mp-2472,0,5.3647745594224456e-08,2.682387279711223e-07
mp-632229,12,3.4449725974568954e-07,12.0000017224863
mp-760411,191,3.2334172476379284e-07,191.00000161670863
mp-761842,78,2.435656659504787e-07,78.00000121782833
mp-673245,0,7.949005330518854e-08,3.974502665259427e-07
mp-20878,41,1.3016405703528895e-07,41.00000065082028
mp-2242,140,1.0277636751475349e-07,140.00000051388184
mp-558134,112,6.577742294339229e-08,112.00000032888711
mp-581967,584,2.833845672019177e-07,584.0000014169228
mp-753378,20,2.783772342303309e-07,20.000001391886173
mp-531064,3065,7.240254821097769e-08,3065.0000003620125
mp-29510,568,2.0608766121094527e-07,568.0000010304383
mp-568348,0,1.5832507551625752e-07,7.916253775812876e-07
mp-23154,464,5.8808685099095486e-08,464.00000029404345
mp-23922,1079,5.878122089856477e-07,1079.000002939061
mp-561203,1241,3.3274217321250463e-07,1241.000001663711
mp-561367,1752,4.423413821961165e-07,1752.000002211707
mp-7441,58,1.249907407522086e-07,58.00000062495371
mp-19795,26,1.1743503685502682e-07,26.000000587175183
mp-27726,716,3.5572522333581305e-07,716.0000017786261
mp-36066,44,3.5801403653186553e-07,44.00000179007018
mp-556328,9,1.4792081736357025e-07,9.000000739604086
mp-557082,36,5.29353010280783e-07,36.000002646765054
mp-753671,14,4.2236937128551007e-07,14.000002111846856
mp-776016,96,1.4022563363025357e-07,96.00000070112817
mp-23052,60,1.3468174071717266e-07,60.00000067340871
mp-28027,468,1.9284798800017138e-07,468.0000009642399
mp-29312,128,6.171802232573634e-08,128.0000003085901
mp-34381,177,8.318820699318638e-07,177.00000415941034
mp-542613,8,2.2393152741998186e-07,8.000001119657638
mp-557465,544,3.5637720495903377e-07,544.000001781886
mp-560616,40,5.586622282711846e-07,40.00000279331114
mp-560998,2414,3.871543168962903e-07,2414.0000019357717
mp-600038,1577,4.33271809096579e-07,1577.000002166359
mp-644271,311,4.2931385405144256e-07,311.0000021465693
mp-644419,765,6.661042306472409e-07,765.0000033305212
mp-776097,21,1.723549348237551e-07,21.000000861774673
mp-31243,0,7.284705931612414e-08,3.6423529658062067e-07
mp-543028,826,1.556679183184829e-07,826.0000007783395
mp-560381,166,2.2324225289461017e-07,166.00000111621125
mp-6109,415,2.2978267021584131e-07,415.0000011489133
mp-622930,0,1.7823052840880154e-07,8.911526420440077e-07
mp-673798,31,8.802722512830682e-08,31.000000440136127
mp-768257,1481,3.4971807930771966e-07,1481.0000017485904
mp-776024,425,2.326504173704202e-07,425.0000011632521
