formula,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,model,mp_id,n_displacements,error
Si8,0.8424090289194229,0.9976776849487454,14.133685751717959,15.287177002895204,-1.153491251177245,0,0,5.417112443408681e-07,0.7364305505575146,-0.5426034172475198,-0.15340790990682063,mattersim,mp-149,1,
Mg4O4,0.635262579347061,1.6270952424393492,17.828596800908358,20.803625533794044,-2.9750287328856864,0,0,2.223293287196116e-07,0.5989094314583028,1.1929531385329746,-0.6068475877746273,mattersim,mp-1265,2,
Cl4Na4,0.4398613926406331,0.6781521822649967,6.149624982571226,7.675368962603986,-1.5257439800327592,0,0,6.743388911575801e-08,0.33737346100105725,4.3618401238339,-1.4140625730990823,mattersim,mp-22862,2,
Al2N2,0.3624155498189724,0.6649334234802909,24.372926643979483,26.838752061986334,-2.465825418006851,0,0,3.379032977243856e-07,0.9332244674800521,0.9160922267573568,-0.7964016201226585,mattersim,mp-661,4,
Ga2N2,0.5535657589227809,0.7732987708617592,20.543636340401,21.238637325773382,-0.6950009853723813,0,0,2.295582940945943e-07,1.755310847984461,2.517653383222921,-1.618950871209151,mattersim,mp-804,4,
C2Si2,0.36487288741287094,0.5333575174267929,27.229248350413645,28.55363254519202,-1.324384194778375,0,0,4.883150127433138e-07,0.19185448980744013,-0.46249242608833185,-0.1355909340378858,mattersim,mp-7140,4,
S6Zn6,0.41668690108557593,0.5163138651146297,10.01012686209328,10.22223061533523,-0.21210375324194963,0,0,3.517422001469065e-07,3.2124997422362753,5.182896137371131,-2.667781902852936,mattersim,mp-9946,12,
B2N2,0.6654313049779843,1.3297469492304466,46.024114983107054,47.62526665446297,-1.6011516713559146,0,6,8.275372264302813e-05,0.3115992145097337,1.1622333317245293,-0.46774949710220426,mattersim,mp-984,2,
F4Li4,1.1992278852915594,2.070452154297463,17.46075592408317,19.446492358478924,-1.9857364343957542,0,0,1.8900297821988635e-07,1.482066146997873,4.542368287961352,-1.910609343433748,mattersim,mp-1138,2,
Ca4O4,0.5956748759445015,1.4978960857569674,13.687403711284539,16.52029936175118,-2.832895650466643,0,0,1.416075081679934e-07,0.6092867712685432,2.0245501887611894,-0.8299772597489854,mattersim,mp-2605,2,
Al4As4,0.47561489943104357,0.5751414346232561,11.707189665780989,11.622577111017355,0.08461255476363405,0,0,1.2350376805800804e-07,0.43153481943986804,0.12398871950856716,-0.19017950862661678,mattersim,mp-2172,2,
In4P4,0.4900222443035232,0.5906385902189153,9.89129504218164,10.211786420616335,-0.3204913784346939,0,0,7.77829845687979e-08,0.6194314100701916,1.7861948602828335,-0.7484926128303391,mattersim,mp-20351,2,
O4Zn4,0.5118361902547924,0.7132832537102516,15.978433760869263,16.469434053168865,-0.49100029229960107,0,0,1.6860847339205644e-07,0.781628725997102,0.9756125577441424,-0.6133336527808453,mattersim,mp-1986,2,
O8Ti4,0.6204950599492787,1.0094833376034924,24.422905374842525,25.262683581695125,-0.8397782068525999,0,1,1.5464382923222127e-06,2.1069293796965667,3.373671645000428,-2.0038711039110844,mattersim,mp-390,4,
