mp_id,formula,natoms,n_disp,kpts,wall_s,omega_max_self,omega_max_mdr,omega_err_pct,n_imag_self,fc
mp-149,Si2,54,1,1,799.0,16.074,15.287,5.1,0,data/dft_ref/selfdft-mp-149_phonopy_params.yaml
mp-165,Si4,72,2,1,123.0,15.821,15.1,4.8,0,data/dft_ref/selfdft-mp-165_phonopy_params.yaml
mp-10851,O6Si3,72,5,1,417.4,37.548,37.287,0.7,137,data/dft_ref/selfdft-mp-10851_phonopy_params.yaml
mp-15078,O36Si18,54,47,1,3621.6,38.201,37.987,0.6,2103,data/dft_ref/selfdft-mp-15078_phonopy_params.yaml
mp-16964,O24Si12,72,58,1,5578.3,37.355,37.339,0.0,796,data/dft_ref/selfdft-mp-16964_phonopy_params.yaml
mp-17909,O24Si12,36,20,1,994.6,36.687,36.909,-0.6,480,data/dft_ref/selfdft-mp-17909_phonopy_params.yaml
mp-2589,Mg4O8,96,3,1,214.7,27.175,27.156,0.1,0,data/dft_ref/selfdft-mp-2589_phonopy_params.yaml
mp-546546,O6Si3,72,9,1,746.9,35.938,37.007,-2.9,61,data/dft_ref/selfdft-mp-546546_phonopy_params.yaml
mp-553993,O32Si16,48,21,1,1546.6,36.358,36.232,0.3,0,data/dft_ref/selfdft-mp-553993_phonopy_params.yaml
mp-554089,O8Si4,96,18,1,2754.1,37.064,36.843,0.6,49,data/dft_ref/selfdft-mp-554089_phonopy_params.yaml
mp-554151,O8Si4,96,18,1,2854.4,36.739,36.684,0.1,103,data/dft_ref/selfdft-mp-554151_phonopy_params.yaml
mp-554267,O32Si16,48,21,1,1800.9,38.13,38.246,-0.3,909,data/dft_ref/selfdft-mp-554267_phonopy_params.yaml
mp-554573,O8Si4,96,19,1,2684.5,37.191,36.965,0.6,209,data/dft_ref/selfdft-mp-554573_phonopy_params.yaml
mp-555165,O32Si16,48,19,1,1114.6,36.039,36.006,0.1,318,data/dft_ref/selfdft-mp-555165_phonopy_params.yaml
mp-555211,O32Si16,48,21,1,1432.6,36.986,36.991,-0.0,949,data/dft_ref/selfdft-mp-555211_phonopy_params.yaml
mp-555483,O8Si4,96,10,1,1477.4,38.265,37.988,0.7,251,data/dft_ref/selfdft-mp-555483_phonopy_params.yaml
mp-555700,O32Si16,48,21,1,1465.7,37.599,37.826,-0.6,553,data/dft_ref/selfdft-mp-555700_phonopy_params.yaml
mp-560998,O36Si18,108,48,1,10037.4,37.483,37.593,-0.3,1908,data/dft_ref/selfdft-mp-560998_phonopy_params.yaml
mp-1143,Al4O6,80,5,1,370.2,25.282,26.291,-3.8,0,data/dft_ref/selfdft-mp-1143_phonopy_params.yaml
