signed_equal_distance_from_K,short_range_MLIP_cm-1,MLIP_plus_qspace_long_range_cm-1
-0.023,1380.0800447677518,1300.348436229087
-0.022856249999999998,1380.0799319783391,1300.2294167976977
-0.0227125,1380.079819820866,1300.1103864705992
-0.02256875,1380.0797082955762,1299.9913452447984
-0.022425,1380.079597402726,1299.8722931173022
-0.02228125,1380.0794871425862,1299.7532300851117
-0.0221375,1380.07937751544,1299.6341561452334
-0.02199375,1380.0792685215833,1299.5150712946665
-0.02185,1380.0791601613264,1299.3959755304118
-0.02170625,1380.0790524349918,1299.2768688494696
-0.0215625,1380.0789453429159,1299.1577512488368
-0.02141875,1380.0788388854498,1299.0386227255074
-0.021275,1380.0787330629544,1298.919483276478
-0.02113125,1380.0786278758073,1298.8003328987427
-0.0209875,1380.0785233243973,1298.6811715892916
-0.02084375,1380.078419409129,1298.5619993451153
-0.0207,1380.0783161304164,1298.4428161632047
-0.020556249999999998,1380.078213488691,1298.3236220405458
-0.0204125,1380.0781114843933,1298.2044169741273
-0.02026875,1380.0780101179814,1298.0852009609318
-0.020125,1380.0779093899241,1297.9659739979452
-0.01998125,1380.0778093007045,1297.8467360821476
-0.0198375,1380.077709850819,1297.7274872105213
-0.01969375,1380.0776110407771,1297.6082273800457
-0.019549999999999998,1380.0775128711016,1297.4889565876986
-0.01940625,1380.077415342329,1297.3696748304571
-0.0192625,1380.0773184550094,1297.2503821052953
-0.01911875,1380.0772222097053,1297.1310784091888
-0.018975,1380.0771266069935,1297.0117637391093
-0.01883125,1380.0770316474632,1296.8924380920284
-0.0186875,1380.076937331719,1296.7731014649153
-0.01854375,1380.0768436603762,1296.6537538547389
-0.0184,1380.076750634066,1296.5343952584658
-0.018256249999999998,1380.0766582534309,1296.4150256730622
-0.0181125,1380.0765665191293,1296.2956450954907
-0.01796875,1380.0764754318297,1296.1762535227165
-0.017825,1380.076384992217,1296.0568509516995
-0.01768125,1380.0762952009875,1295.9374373794003
-0.0175375,1380.0762060588536,1295.8180128027757
-0.01739375,1380.0761175665373,1295.6985772187866
-0.01725,1380.0760297247766,1295.579130624385
-0.01710625,1380.0759425343228,1295.4596730165272
-0.0169625,1380.0758559959409,1295.3402043921658
-0.01681875,1380.0757701104078,1295.220724748252
-0.016675,1380.0756848785152,1295.101234081737
-0.01653125,1380.0756003010677,1294.981732389569
-0.0163875,1380.0755163788845,1294.8622196686938
-0.01624375,1380.075433112796,1294.7426959160603
-0.0161,1380.075350503648,1294.6231611286114
-0.015956249999999998,1380.0752685522984,1294.50361530329
-0.0158125,1380.0751872596206,1294.3840584370387
-0.01566875,1380.0751066265004,1294.2644905267969
-0.015525,1380.075026653836,1294.1449115695036
-0.015381249999999999,1380.07494734254,1294.0253215620971
-0.0152375,1380.0748686935394,1293.9057205015126
-0.01509375,1380.074790707773,1293.7861083846858
-0.01495,1380.074713386195,1293.6664852085482
-0.01480625,1380.0746367297713,1293.5468509700333
-0.0146625,1380.074560739483,1293.4272056660698
-0.01451875,1380.0744854163227,1293.307549293589
-0.014374999999999999,1380.0744107612975,1293.187881849517
-0.014231249999999999,1380.0743367754299,1293.0682033307794
-0.0140875,1380.0742634597532,1292.9485137343015
-0.01394375,1380.074190815315,1292.8288130570077
-0.0138,1380.0741188431775,1292.7091012958176
-0.01365625,1380.0740475444145,1292.5893784476539
-0.0135125,1380.0739769201164,1292.4696445094335
-0.01336875,1380.0739069713836,1292.3498994780748
-0.013225,1380.0738376993315,1292.2301433504952
-0.013081249999999999,1380.0737691050908,1292.1103761236081
