merge_source,campaign,degauss_Ry,kgrid,t_GK,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
lane_A,FD0_K_DENSE_A,0.0006333623,192,0.977,533.326336,555.001857,1002.841856,1218.086465,1239.480315,1298.918691
lane_A,FD0_K_DENSE_A,0.0006333623,192,0.981,535.247151,553.0484,1003.554589,1219.80653,1237.203359,1296.764164
baseline_B,FD0_SCAN,0.0006333623,192,0.985,537.153743,551.114202,1004.047988,1221.496625,1234.987987,1294.07579
lane_A,FD0_K_DENSE_A,0.0006333623,192,0.989,539.035609,549.209894,1004.506291,1223.200695,1232.912529,1291.709826
lane_A,FD0_K_DENSE_A,0.0006333623,192,0.993,540.900554,547.333487,1004.825575,1224.877553,1230.944123,1289.119421
lane_A,FD0_K_DENSE_A,0.0006333623,192,0.997,542.740862,545.482919,1005.003935,1226.510209,1229.058535,1286.583976
baseline_B,FD0_SCAN,0.0006333623,192,1.0,544.262423,544.262424,1005.021297,1227.996951,1227.996952,1284.28108
lane_B,FD0_K_DENSE_B,0.0006333623,192,1.003,542.752148,545.470529,1005.004341,1226.4918,1229.070833,1286.600643
lane_B,FD0_K_DENSE_B,0.0006333623,192,1.007,540.971529,547.262165,1004.821854,1224.962201,1230.84866,1289.167587
lane_B,FD0_K_DENSE_B,0.0006333623,192,1.011,539.215133,549.030189,1004.484422,1223.522764,1232.581284,1291.838399
baseline_B,FD0_SCAN,0.0006333623,192,1.015,537.48969,550.781281,1003.994932,1222.211229,1234.287055,1294.309358
lane_B,FD0_K_DENSE_B,0.0006333623,192,1.019,535.790309,552.513601,1003.355715,1221.020912,1236.000444,1297.107917
lane_B,FD0_K_DENSE_B,0.0006333623,192,1.023,534.122395,554.22336,1002.559535,1219.971348,1237.688392,1299.415894
