campaign,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
FD300_CONV,0.0019000869,72,G,0.0,0.0,0.0,113.361868,113.361868,113.93111,884.395579,1568.915598,1568.915598
FD300_CONV,0.0019000869,72,G,0.015,0.005,0.008660254038,113.899061,114.816806,116.326231,884.349579,1573.821645,1576.122325
FD300_CONV,0.0019000869,72,G,0.03,0.01,0.017320508076,113.868814,119.378832,126.895263,884.178201,1573.439826,1581.146488
FD300_CONV,0.0019000869,72,K,0.98,0.326666666667,0.565803263806,534.765897,553.528758,1003.384784,1219.33321,1237.772179,1296.417481
FD300_CONV,0.0019000869,72,K,0.99,0.33,0.571576766498,539.496236,548.743565,1004.594155,1223.5113,1232.377948,1290.785358
FD300_CONV,0.0019000869,72,K,1.0,0.333333333333,0.57735026919,544.244515,544.244516,1005.022342,1227.886593,1227.886593,1284.636769
FD300_CONV,0.0019000869,72,K,1.01,0.336666666667,0.583123771882,539.645554,548.593938,1004.576963,1223.846619,1232.041337,1290.960813
FD300_CONV,0.0019000869,72,K,1.02,0.34,0.588897274573,535.368405,552.935491,1003.166568,1220.759753,1236.384588,1296.773333
FD300_CONV,0.0019000869,96,G,0.0,0.0,0.0,113.360237,113.360237,113.929136,884.404033,1571.936457,1571.936457
FD300_CONV,0.0019000869,96,G,0.015,0.005,0.008660254038,113.847723,114.791303,116.335076,884.339915,1573.789442,1576.894788
FD300_CONV,0.0019000869,96,G,0.03,0.01,0.017320508076,113.902211,119.402734,126.933648,884.176617,1573.408546,1581.1903
FD300_CONV,0.0019000869,96,K,0.98,0.326666666667,0.565803263806,534.755635,553.5202,1003.383874,1219.34519,1237.766511,1296.764156
FD300_CONV,0.0019000869,96,K,0.99,0.33,0.571576766498,539.491285,548.725439,1004.595299,1223.564546,1232.406991,1291.062454
FD300_CONV,0.0019000869,96,K,1.0,0.333333333333,0.57735026919,544.252204,544.252205,1005.022151,1228.014561,1228.014562,1287.012688
FD300_CONV,0.0019000869,96,K,1.01,0.336666666667,0.583123771882,539.638233,548.578213,1004.57852,1223.871188,1232.096439,1291.17842
FD300_CONV,0.0019000869,96,K,1.02,0.34,0.588897274573,535.359269,552.926902,1003.167154,1220.747056,1236.396693,1297.128876
FD300_CONV,0.0019000869,120,G,0.0,0.0,0.0,113.360167,113.360167,113.932772,884.409571,1573.098593,1573.098593
FD300_CONV,0.0019000869,120,G,0.015,0.005,0.008660254038,113.950154,114.856439,116.356134,884.3507,1573.759696,1577.090963
FD300_CONV,0.0019000869,120,G,0.03,0.01,0.017320508076,113.928011,119.417443,126.937729,884.182673,1573.281246,1581.499487
FD300_CONV,0.0019000869,120,K,0.98,0.326666666667,0.565803263806,534.773629,553.535026,1003.38604,1219.339499,1237.77241,1296.805121
FD300_CONV,0.0019000869,120,K,0.99,0.33,0.571576766498,539.509335,548.744703,1004.596823,1223.582102,1232.40767,1291.11596
FD300_CONV,0.0019000869,120,K,1.0,0.333333333333,0.57735026919,544.256769,544.25677,1005.023054,1228.063274,1228.063274,1287.776596
FD300_CONV,0.0019000869,120,K,1.01,0.336666666667,0.583123771882,539.656807,548.597398,1004.580317,1223.871113,1232.113237,1291.202462
FD300_CONV,0.0019000869,120,K,1.02,0.34,0.588897274573,535.375476,552.943965,1003.168568,1220.75081,1236.395105,1297.193584
