campaign,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
FD600_LINE,0.0038001738,120,G,0.0,0.0,0.0,113.368803,113.368803,113.948704,884.406119,1573.924405,1573.924405
FD600_LINE,0.0038001738,120,G,0.005,0.001666666667,0.002886751346,112.857819,113.023461,113.946971,884.396374,1573.901042,1574.171351
FD600_LINE,0.0038001738,120,G,0.01,0.003333333333,0.005773502692,113.966156,113.997711,114.292274,884.378213,1573.863985,1574.902628
FD600_LINE,0.0038001738,120,G,0.015,0.005,0.008660254038,113.964744,114.861542,116.373428,884.347286,1573.77789,1575.971547
FD600_LINE,0.0038001738,120,G,0.025,0.008333333333,0.01443375673,113.932715,117.57396,122.762299,884.249227,1573.513479,1578.715051
FD600_LINE,0.0038001738,120,G,0.04,0.013333333333,0.023094010768,113.961754,124.009464,137.032276,884.005667,1572.861025,1583.187056
FD600_LINE,0.0038001738,120,G,0.06,0.02,0.034641016151,113.978939,135.65807,162.337987,883.507203,1571.523791,1588.65953
FD600_LINE,0.0038001738,120,G,0.08,0.026666666667,0.046188021535,114.008782,151.14826,192.048331,882.806236,1569.6535,1593.588954
FD600_LINE,0.0038001738,120,K,0.94,0.313333333333,0.542709253038,514.599226,574.192976,990.888585,1201.555544,1264.35908,1317.279081
FD600_LINE,0.0038001738,120,K,0.96,0.32,0.554256258422,524.930392,563.581677,998.390821,1210.580753,1250.112093,1307.439796
FD600_LINE,0.0038001738,120,K,0.975,0.325,0.56291651246,532.353321,555.985946,1002.435799,1217.1335,1240.651081,1299.558697
FD600_LINE,0.0038001738,120,K,0.985,0.328333333333,0.568690015152,537.154722,551.114129,1004.047622,1221.420812,1234.98113,1294.824737
FD600_LINE,0.0038001738,120,K,0.992,0.330666666667,0.572731467036,540.436284,547.799453,1004.756132,1224.406406,1231.418818,1292.439587
FD600_LINE,0.0038001738,120,K,1.0,0.333333333333,0.57735026919,544.240067,544.240068,1005.023723,1228.10054,1228.100541,1291.406318
FD600_LINE,0.0038001738,120,K,1.008,0.336,0.581969071343,540.531131,547.706645,1004.74854,1224.584735,1231.232559,1292.463989
FD600_LINE,0.0038001738,120,K,1.015,0.338333333333,0.586010523227,537.490389,550.781239,1003.99558,1222.204807,1234.216976,1294.961501
FD600_LINE,0.0038001738,120,K,1.025,0.341666666667,0.591784025919,533.297491,555.065521,1002.099698,1219.487533,1238.45434,1300.05103
FD600_LINE,0.0038001738,120,K,1.04,0.346666666667,0.600444279957,527.364156,561.256646,997.439423,1216.924056,1244.649878,1308.772969
FD600_LINE,0.0038001738,120,K,1.06,0.353333333333,0.611991285341,520.108531,569.063627,987.964148,1216.227682,1252.700365,1320.010939
