key,trajectory_seed,snapshot_index,displacement_RMS_A,displacement_max_A,min_pair_distance_A,reference_force_RMS_meV_A,short_force_RMS_meV_A,long_force_RMS_meV_A,total_force_RMS_meV_A,short_only_error_RMSE_meV_A,total_error_RMSE_meV_A,total_error_max_abs_meV_A,oracle_alpha,long_vs_required_residual_cosine,oracle_scaled_error_RMSE_meV_A,max_error_atom,max_error_axis,operator_force_replay_max_abs_eV_A,reference_net_force_meV_A,prediction_net_force_meV_A
seed0:snapshot003,0,3,0.08051047564030982,0.33445043352142884,1.3313998027027456,1424.342371202725,1373.707089049122,40.55361935220975,1389.638582210654,75.33906728818867,55.648180829538035,271.02038262882775,1.2841606581383362,0.6912398094605786,54.441926610873395,9,x,0.0,0.0011543396386922205,3.210061615366513e-12
seed0:snapshot009,0,9,0.08874417483861129,0.3915255704711865,1.3377094101906055,1444.9144135804931,1379.818936559695,36.01807497997838,1398.134967224389,87.15589120030712,68.44972876378611,447.04381708145524,1.6218608386931015,0.6702507941876554,64.68140881725537,17,x,0.0,0.0006135144659701104,5.878156509167012e-12
seed0:snapshot015,0,15,0.09109156539962808,0.3361181989254675,1.3409774679838122,1572.2215868855844,1551.2503557784848,32.032966892664,1567.3716207976013,94.42548951097122,88.05881667721326,475.45863859593965,1.066126818194216,0.3616735824983838,88.03333608135388,32,x,0.0,0.0008568547143197533,3.060673659425244e-12
seed0:snapshot021,0,21,0.08661658546719528,0.47183275419713616,1.3288011742858092,1511.5045862200823,1531.9381003625178,28.75694596619142,1547.68568143396,110.14454047221173,107.39079885104654,524.9253311117466,0.8621908627531729,0.2251039946822621,107.3176525429577,11,x,0.0,0.00038910152946139583,2.3446480403802455e-12
seed0:snapshot027,0,27,0.09539098246162031,0.3626081519607802,1.3569097332863638,1334.7658584538285,1319.072165610207,26.211104342443555,1331.2808530009513,51.96290468493268,40.144352251766975,195.2030424352982,1.2922413402181683,0.6518317790248334,39.40677484830126,1,x,0.0,0.0008322259293986032,7.28360459361387e-12
seed0:snapshot033,0,33,0.09269813979191203,0.3718271916764889,1.3485357085712635,1241.3480049258098,1219.3843301522372,25.26306163834261,1232.451905119879,40.26420066005072,27.50817876813329,117.8659053676494,1.177276536887264,0.7386613723656127,27.141158896570822,61,x,0.0,0.0008261961026031968,2.8555887982228037e-12
seed0:snapshot039,0,39,0.09247361468611788,0.31018500268845245,1.3508010727385746,1246.8001812795837,1219.5670620497813,30.8115766577031,1233.3499623255555,43.48558887665443,30.407752428455147,107.54657374050947,1.008959665938769,0.7148951846962919,30.406499269645185,23,y,0.0,0.0010728466757339698,5.431022213568952e-12
seed0:snapshot045,0,45,0.0745447882773756,0.23821224257984433,1.3250553415607167,1363.609443714354,1307.9957769589382,38.27674102078137,1318.8339712756458,85.3716911314886,71.79022206315965,400.3097148617041,1.2284406156263672,0.5507762898982393,71.25573034831636,1,x,0.0,0.0011570652541780747,3.010040669222812e-12
seed0:snapshot051,0,51,0.10381856479704943,0.40999272431548706,1.330836082338026,1396.6621052875141,1354.917852559695,27.350412560778416,1374.5251787246973,56.57292419212151,41.77956250550357,167.10436715980182,1.4725108634531858,0.7118914249315279,39.730572952271324,41,x,0.0,0.0005954829963078214,7.988978508735487e-12
seed0:snapshot057,0,57,0.07988790125166545,0.2752390732231098,1.349550687317773,1545.737835837743,1507.4361682023261,32.075861497733,1529.531516295079,82.22928922624295,67.97141402051037,223.35115502653258,1.5407349048883725,0.6010072551879734,65.72123042382503,13,y,0.0,0.001319886360086686,2.2315206618374915e-12
seed0:snapshot063,0,63,0.06945761739066345,0.30348677886646613,1.320477419586845,1513.3275051057028,1440.9579551198117,33.09425865261455,1457.8211645862707,111.52173663847017,95.00403631652364,744.563935116794,2.0573582554371455,0.6105244439229953,88.32492699357924,64,y,0.0,0.001080138879932565,3.0932216156809373e-12
