region,t_GK,static_prediction_cm-1,static_target_cm-1,static_residual_cm-1,finite_prediction_cm-1,finite_target_cm-1,finite_residual_cm-1
G,0.0,1525.535066579847,1573.90788,-48.37281342015308,1541.320848040377,1557.4375893347187,-16.116741294341637
G,0.005,1525.5705772712722,1574.24754,-48.67696272872786,1541.3355758018297,1557.4519544946504,-16.116378692820717
G,0.01,1525.6770131974592,1575.179335,-49.50232180254079,1541.3793866562773,1557.4950216306408,-16.115634974363502
G,0.015,1525.8540862308314,1576.456639,-50.6025527691686,1541.4516415953333,1557.5667057564426,-16.11506416110933
G,0.025,1526.418037528781,1579.431862,-53.01382447121887,1541.6797738823166,1557.795302722532,-16.115528840215347
G,0.04,1527.7756568070872,1583.796854,-56.02119719291272,1542.2269484123335,1558.3474663284428,-16.120517916109293
G,0.06,1530.4861206542535,1588.998265,-58.51214434574649,1543.3275803420522,1559.4578938469297,-16.13031350487745
G,0.08,1534.1169048595643,1593.772045,-59.655140140435606,1544.8310843588113,1560.9629204708415,-16.131836112030214
K,0.94,1306.3570011084205,1317.501188,-11.144186891579466,1301.6884463850959,1307.6392295119067,-5.9507831268108475
K,0.96,1302.1822907889014,1307.734211,-5.551920211098604,1300.0982011693318,1306.2091691830847,-6.110968013752881
K,0.975,1300.0854054458857,1299.567332,0.5180734458856477,1299.3213408423335,1305.5042459437088,-6.182905101375354
K,0.985,1299.212873979912,1294.174434,5.038439979912027,1299.0006285016234,1305.2134260784646,-6.21279757684124
K,0.992,1298.859603955387,1291.184005,7.675598955386931,1298.870288489938,1305.0960718406818,-6.225783350743768
K,1.0,1298.7188353715078,1289.791537,8.927298371507732,1298.817949200912,1305.0493637373168,-6.231414536404827
K,1.008,1298.8596108198592,1291.215158,7.644452819859225,1298.8701046499032,1305.0961046927332,-6.226000042830037
K,1.015,1299.2129033275755,1294.343967,4.868936327575511,1298.9994162283626,1305.2136393302776,-6.214223101914968
K,1.025,1300.0853644711985,1300.115274,-0.029909528801454144,1299.3157234379537,1305.5051954217067,-6.189471983753037
K,1.04,1302.1804972880666,1309.106408,-6.925910711933511,1300.0751423429808,1306.2126853134391,-6.137542970458298
K,1.06,1306.3415406983102,1320.234188,-13.892647301689749,1301.6102824163233,1307.6485797158473,-6.038297299523947
