t_GK,old_band1_rel_eV,old_band2_rel_eV,matched_band1_rel_eV,matched_band2_rel_eV
0.0,-7.668256971775288,3.54308943587691,-7.648395467646804,-3.077146264403996
0.002,-7.666899064334063,3.5417614555706334,-7.648364220208265,-3.0772396355589904
0.004,-7.665570584252053,3.540523739509201,-7.648271083486243,-3.0775211993327685
0.006,-7.664273316263594,3.5393786570178776,-7.648115900711659,-3.0779910433869353
0.008,-7.663008752041645,3.538328671865401,-7.647898410200133,-3.0786493118671365
0.01,-7.661778089502495,3.5373763383809,-7.6476182474167445,-3.079496203788819
0.012,-7.660582233272415,3.5365242974707,-7.6472749478502635,-3.0805319707950605
0.014,-7.659421796290943,3.535775272522656,-7.646867950672959,-3.081756914304892
0.016,-7.658297102518596,3.535132065182566,-7.646396603155884,-3.083171382075053
0.018000000000000002,-7.6572081907106275,3.534597550984335,-7.645860165802997,-3.084775764203172
0.02,-7.656154819212044,3.534174674813001,-7.64525781816223,-3.086570488604323
0.022,-7.655136471723599,3.533866446177554,-7.644588665265866,-3.0885560159972774
0.024,-7.654152363982992,3.5336759342685697,-7.643851744647943,-3.0907328344400686
0.026000000000000002,-7.65320145130108,3.533606262774298,-7.643046033882122,-3.0931014534581327
0.028,-7.652282436888405,3.5336606044277383,-7.642170458579415,-3.0956623978105644
0.03,-7.651393780903484,3.5338421752568063,-7.641223900782272,-3.0984162009428933
0.032,-7.65053371015166,3.5341542285094034,-7.640205207688627,-3.1013633981763786
0.034,-7.649700228360328,3.5346000482257516,-7.639113200637713,-3.104504519685309
0.036000000000000004,-7.648891126954699,3.535182942431103,-7.637946684287909,-3.107840083314804
0.038,-7.648103996256757,3.535906235923364,-7.636704455916146,-3.1113705872920696
0.04,-7.64733623702971,3.5367732626319244,-7.635385314768323,-3.1150965028842204
0.042,-7.6465850722898425,3.53778735752641,-7.633988071390318,-3.119018267055164
0.044,-7.645847559308524,3.5389518480567723,-7.63251155687049,-3.123136275173707
0.046,-7.645120601728171,3.540270045109446,-7.630954631925677,-3.1274508738233373
0.048,-7.6444009617179765,3.541745233467905,-7.629316195765085,-3.1319623537632872
0.05,-7.643685272097184,3.5433806617700974,-7.627595194668512,-3.136670943087989
0.052000000000000005,-7.642970048357104,3.5451795319596133,-7.625790630218624,-3.1415768006306677
0.054,-7.642251700516092,3.5471449882322976,-7.623901567129895,-3.146680009653824
0.056,-7.641526544745919,3.549280105485049,-7.621927140620754,-3.1519805718674614
0.058,-7.640790814712063,3.5515878772789273,-7.619866563278984,-3.1574784018126008
0.06,-7.640040672575599,3.554071203334206,-7.617719131375047,-3.163173321645521
0.062,-7.639272219608956,3.5567328765808046,-7.615484230581735,-3.169065056354517
0.064,-7.638481506383941,3.5595755697932683,-7.6131613410636305,-3.1751532294386045
0.066,-7.637664542495377,3.562601821845413,-7.6107500419040015,-3.1814373590742213
0.068,-7.636817305790189,3.565814023625681,-7.608250014841651,-3.187916854793104
0.07,-7.635935751077576,3.5692144036600366,-7.605661047295017,-3.1945910146915657
0.07200000000000001,-7.635015818301993,3.572805013495032,-7.602983034655294,-3.2014590231882916
0.074,-7.634053440166931,3.5765877128992423,-7.6002159818353245,-3.208519949344978
0.076,-7.633044549203864,3.5805641549466345,-7.597360004065397,-3.215772745761232
0.078,-7.6319850842862005,3.5847357710505765,-7.594415326931998,-3.223216248052449
0.08,-7.630870996594816,3.589103756021908,-7.59138228565962,-3.230849174916457
0.082,-7.629698255046809,3.593669053228958,-7.588261323640522,-3.23867012879234
