direction,distance,signed_distance,q1,q2,short_range_MLIP_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
K,0.0,0.0,0.3333333333333333,0.3333333333333333,1380.070552374435,-7.521315993779705e-06,-260601.5558443251,1282.182972
KG,0.0005,-0.0005,0.33316666666666667,0.33316666666666667,1380.0705574726148,-7.456731374386654e-06,-259823.80987381318,1282.486231399371
KG,0.001,-0.001,0.333,0.333,1380.0705728352552,-7.38747643365213e-06,-258989.82259324228,1282.8113514514077
KG,0.0015,-0.0015,0.33283333333333337,0.33283333333333337,1380.0705985660052,-7.317242709463545e-06,-258144.04852977238,1283.1409932258262
KG,0.002,-0.002,0.33266666666666667,0.33266666666666667,1380.0706347705172,-7.248040496517137e-06,-257310.69621190813,1283.4657224655398
KG,0.0025,-0.0025,0.3325,0.3325,1380.0706815564383,-7.178220258715757e-06,-256469.9014666495,1283.793279552827
KG,0.003,-0.003,0.3323333333333333,0.3323333333333333,1380.0707390334194,-7.109713017010743e-06,-255644.91818599094,1284.114608027748
KG,0.0035,-0.0035,0.33216666666666667,0.33216666666666667,1380.0708073131073,-7.04152316965961e-06,-254823.7570565213,1284.4343798502632
KG,0.004,-0.004,0.332,0.332,1380.070886509147,-6.974502816916783e-06,-254016.6793067741,1284.7486028337873
KG,0.0045000000000000005,-0.0045000000000000005,0.33183333333333337,0.33183333333333337,1380.0709767371786,-6.906221867170558e-06,-253194.42109689506,1285.0686673230405
KG,0.005,-0.005,0.33166666666666667,0.33166666666666667,1380.07107811484,-6.839385929055529e-06,-252389.56411944662,1285.381895208428
KG,0.0055,-0.0055,0.3315,0.3315,1380.07119076176,-6.77295368456019e-06,-251589.56853297615,1285.6931683094556
KG,0.006,-0.006,0.3313333333333333,0.3313333333333333,1380.071314799563,-6.707890039215085e-06,-250806.05399856338,1285.9979704237603
KG,0.006500000000000001,-0.006500000000000001,0.33116666666666666,0.33116666666666666,1380.0714503518636,-6.64119537421615e-06,-250002.8982713169,1286.3103473909318
KG,0.007,-0.007,0.331,0.331,1380.071597544267,-6.576069077556564e-06,-249218.62927232974,1286.61532132804
KG,0.0075,-0.0075,0.33083333333333337,0.33083333333333337,1380.0717565043672,-6.51136694042094e-06,-248439.46812043857,1286.9182510869177
KG,0.008,-0.008,0.33066666666666666,0.33066666666666666,1380.0719273617449,-6.4481821304212885e-06,-247678.57904442307,1287.214024802223
KG,0.0085,-0.0085,0.3305,0.3305,1380.0721102479674,-6.383082835672519e-06,-246894.6352099647,1287.518696669805
KG,0.009000000000000001,-0.009000000000000001,0.3303333333333333,0.3303333333333333,1380.0723052965848,-6.31966237420012e-06,-246130.90835329652,1287.8154601857104
KG,0.0095,-0.0095,0.33016666666666666,0.33016666666666666,1380.0725126431305,-6.256659862218613e-06,-245372.214560777,1288.1102148466748
KG,0.01,-0.01,0.33,0.33,1380.072732425116,-6.195281228610707e-06,-244633.07596380613,1288.397326456214
KG,0.0105,-0.0105,0.32983333333333337,0.32983333333333337,1380.0729647820333,-6.131806998755966e-06,-243868.70161330584,1288.6941788139518
KG,0.011,-0.011,0.32966666666666666,0.32966666666666666,1380.0732098553492,-6.070074345527167e-06,-243125.2998134824,1288.9828411375242
KG,0.0115,-0.0115,0.3295,0.3295,1380.0734677885052,-6.00876034992415e-06,-242386.93960536498,1289.269497385409
KG,0.012,-0.012,0.3293333333333333,0.3293333333333333,1380.0737387269146,-5.949133277326006e-06,-241668.89379380114,1289.5482272989573
KG,0.0125,-0.0125,0.32916666666666666,0.32916666666666666,1380.0740228179593,-5.887290425232707e-06,-240924.16494856612,1289.837254659819
KG,0.013000000000000001,-0.013000000000000001,0.329,0.329,1380.0743202109907,-5.827211977415812e-06,-240200.68355093128,1290.1179968339704
KG,0.0135,-0.0135,0.32883333333333337,0.32883333333333337,1380.074631057321,-5.767566622885539e-06,-239482.41758325003,1290.3966714560104
KG,0.014,-0.014,0.32866666666666666,0.32866666666666666,1380.0749555102302,-5.709654016428813e-06,-238785.01785035932,1290.6672169758572
KG,0.0145,-0.0145,0.3285,0.3285,1380.075293724952,-5.649426669306082e-06,-238059.74336582213,1290.9485167829855
KG,0.015,-0.015,0.3283333333333333,0.3283333333333333,1380.075645858681,-5.5909955802358216e-06,-237356.0999209262,1291.221394018597
KG,0.0155,-0.0155,0.32816666666666666,0.32816666666666666,1380.0760120705636,-5.532992346951518e-06,-236657.6088345425,1291.4922339131767
KG,0.016,-0.016,0.328,0.328,1380.0763925217,-5.476751189362357e-06,-235980.33715433493,1291.7548188574233
KG,0.0165,-0.0165,0.32783333333333337,0.32783333333333337,1380.0767873751365,-5.4181255206816295e-06,-235274.3505275885,1292.0284782171364
KG,0.017,-0.017,0.32766666666666666,0.32766666666666666,1380.0771967958651,-5.36132291846169e-06,-234590.31777480122,1292.293601060197
KG,0.0175,-0.0175,0.3275,0.3275,1380.0776209508215,-5.304940742043698e-06,-233911.3479065898,1292.5567267794052
KG,0.018000000000000002,-0.018000000000000002,0.3273333333333333,0.3273333333333333,1380.0780600088783,-5.250343996001281e-06,-233253.87868811947,1292.811499418902
KG,0.0185,-0.0185,0.32716666666666666,0.32716666666666666,1380.0785141408446,-5.193303064981973e-06,-232566.97591356677,1293.0776192014287
KG,0.019,-0.019,0.327,0.327,1380.0789835194637,-5.138100430942854e-06,-231902.21042312885,1293.3351423080512
KG,0.0195,-0.0195,0.32683333333333336,0.32683333333333336,1380.0794683194047,-5.08331454097088e-06,-231242.46348079108,1293.5906908276588
KG,0.02,-0.02,0.32666666666666666,0.32666666666666666,1380.0799687172641,-5.030319347249286e-06,-230604.28060132515,1293.83787216688
KG,0.0205,-0.0205,0.3265,0.3265,1380.080484891561,-4.974858633093548e-06,-229936.40723825974,1294.0964946789193
KG,0.021,-0.021,0.3263333333333333,0.3263333333333333,1380.0810170227319,-4.921261495421046e-06,-229290.97558212385,1294.3464134320357
KG,0.021500000000000002,-0.021500000000000002,0.32616666666666666,0.32616666666666666,1380.0815652931267,-4.868003878948796e-06,-228649.63253482216,1294.5947220374044
KG,0.022,-0.022,0.326,0.326,1380.0821298870073,-4.816580136451916e-06,-228030.3735085795,1294.8344727125855
KG,0.0225,-0.0225,0.32583333333333336,0.32583333333333336,1380.0827109905422,-4.76266246361418e-06,-227381.08187872992,1295.0857914811183
KG,0.023,-0.023,0.32566666666666666,0.32566666666666666,1380.0833087918027,-4.7105923144739735e-06,-226754.03864369448,1295.328491372762
KG,0.0235,-0.0235,0.3255,0.3255,1380.0839234807581,-4.6589207392425415e-06,-226131.7951466526,1295.569311423897
KG,0.024,-0.024,0.3253333333333333,0.3253333333333333,1380.0845552492738,-4.609042219373767e-06,-225531.14412156952,1295.80177323386
KG,0.0245,-0.0245,0.32516666666666666,0.32516666666666666,1380.085204291103,-4.5566551043270645e-06,-224900.283894828,1296.04586616693
KG,0.025,-0.025,0.325,0.325,1380.0858708018882,-4.506109652804503e-06,-224291.60149306088,1296.2813773613912
KG,0.025500000000000002,-0.025500000000000002,0.32483333333333336,0.32483333333333336,1380.0865549791502,-4.455960540285708e-06,-223687.69191593886,1296.5150239462248
KG,0.026000000000000002,-0.026000000000000002,0.32466666666666666,0.32466666666666666,1380.0872570222903,-4.4075902163451405e-06,-223105.2030061849,1296.7403880457816
KG,0.0265,-0.0265,0.3245,0.3245,1380.0879771325795,-4.356711317694974e-06,-222492.50514125783,1296.9773781699653
KG,0.027,-0.027,0.3243333333333333,0.3243333333333333,1380.0887155131586,-4.307666707406052e-06,-221901.89628753992,1297.2058303905437
KG,0.0275,-0.0275,0.32416666666666666,0.32416666666666666,1380.0894723690317,-4.259002122374997e-06,-221315.8638037964,1297.432498413708
