task_id,config_id,lane,diagonal_temperature_K,target_temperature_K,displacement_max_A,raw_difference_RMSE_meV_A,predicted_difference_RMSE_meV_A,residual_RMSE_meV_A,residual_to_raw_RMSE,residual_max_abs_meV_A
T450_seed0_snapshot003_dgT300,T450_seed0_snapshot003,A,450,300,0.33445043352142884,0.9858155919485074,0.539446467558571,0.48394337206940846,0.4909065914781012,1.0960045140890815
T450_seed0_snapshot117_dgT300,T450_seed0_snapshot117,B,450,300,0.23522442432605867,1.0414624932450902,0.5120122268876052,0.5746195737158484,0.5517429359605576,1.4853386319515685
T450_seed1_snapshot003_dgT300,T450_seed1_snapshot003,A,450,300,0.2850604268975543,0.9692389189464183,0.352934024629795,0.6297708841508951,0.6497581471815724,1.4584847657895597
T450_seed1_snapshot117_dgT300,T450_seed1_snapshot117,B,450,300,0.32104080480279196,0.5406554592212308,0.36501726839491144,0.3134622184472724,0.5797818427632057,0.7125333264990313
T450_seed2_snapshot057_dgT300,T450_seed2_snapshot057,A,450,300,0.29200086929187113,0.8777559902567162,0.2626886917894661,0.6883909377937096,0.7842623068768539,1.6361719698546902
T600_snapshot000_dgT300,T600_snapshot000,B,600,300,0.24003066502472037,1.5487284435641115,1.530821253576318,0.34361675076407994,0.22187023954522955,1.031013903116892
T600_snapshot013_dgT300,T600_snapshot013,A,600,300,0.3826363952586137,1.3324133802067526,0.9065947006671857,0.7255335773431892,0.5445258867263905,2.3198675113580842
T600_snapshot029_dgT300,T600_snapshot029,B,600,300,0.41215277509565024,1.5233314806375113,1.4275987388160054,0.947189803793961,0.6217883735965096,2.13957231576465
T600_snapshot042_dgT300,T600_snapshot042,A,600,300,0.44264998159025054,1.1887066267257516,1.2623179491084242,0.7185194991094875,0.6044548612373962,1.593697348792101
T600_snapshot059_dgT300,T600_snapshot059,B,600,300,0.43943386148035374,1.2787186852683758,0.4244322300425219,1.0308204437962527,0.8061354351601624,2.212433186579011
T300_snapshot000_dgT450,T300_snapshot000,A,300,450,0.20560341661336684,0.977262106259515,0.30111006296482334,0.6804521598267442,0.6962841958859786,1.3942945134703713
T300_snapshot013_dgT450,T300_snapshot013,B,300,450,0.22388351433513953,1.075657828947126,0.4047305883877104,0.6883149630373671,0.6399014115028594,1.3826843783317517
T300_snapshot029_dgT450,T300_snapshot029,A,300,450,0.30403297546583186,1.078736873345193,0.42653375214668876,0.6719834015620842,0.6229354147116944,1.2031084820126308
T300_snapshot042_dgT450,T300_snapshot042,B,300,450,0.3544414025389584,0.6251740555014342,0.3560127780218151,0.4077612911560003,0.6522364253087032,0.8655256684415042
T300_snapshot059_dgT450,T300_snapshot059,A,300,450,0.2556645042368375,1.047621691199775,0.47409444036323817,0.6221384782777455,0.5938579579860069,1.4271151980062013
T600_snapshot000_dgT450,T600_snapshot000,B,600,450,0.24003066502472037,0.7889381217337506,0.7806586034763819,0.16622648231898746,0.2106964763645751,0.4741887619364822
T600_snapshot013_dgT450,T600_snapshot013,A,600,450,0.3826363952586137,0.5953272255375313,0.46233282942884546,0.2489997976452777,0.4182570306950963,0.8427369664879072
T600_snapshot029_dgT450,T600_snapshot029,B,600,450,0.41215277509565024,0.6751645244850617,0.728037296238628,0.3526447530130956,0.5223093634578219,0.8015446671493734
T600_snapshot042_dgT450,T600_snapshot042,A,600,450,0.44264998159025054,0.5511222533817078,0.6437527630753769,0.26772792771932874,0.48578682148387164,0.6220625655921526
T600_snapshot059_dgT450,T600_snapshot059,B,600,450,0.43943386148035374,0.529419843777255,0.21647270150619283,0.3902628278306132,0.7371518699529709,0.8778073548489069
T300_snapshot000_dgT600,T300_snapshot000,A,300,600,0.20560341661336684,1.6266037547445207,0.6144639549937472,1.0205227036005424,0.6273947792287181,2.2027400502409153
T300_snapshot013_dgT600,T300_snapshot013,B,300,600,0.22388351433513953,1.8351880409978574,0.8259316146730856,1.0339542923091778,0.5634050948517406,2.0126787954489243
T300_snapshot029_dgT600,T300_snapshot029,A,300,600,0.30403297546583186,1.8649544509452036,0.8704130726186017,1.0227508872080395,0.5484052903756897,1.919061393265747
T300_snapshot042_dgT600,T300_snapshot042,B,300,600,0.3544414025389584,1.1518189713957272,0.7264929508137901,0.6549671010809605,0.5686371880880708,1.404437066070504
T300_snapshot059_dgT600,T300_snapshot059,A,300,600,0.2556645042368375,1.8361923395511979,0.9674586072786107,0.9582625637197125,0.5218748292752006,2.1832131247644937
T450_seed0_snapshot003_dgT600,T450_seed0_snapshot003,B,450,600,0.33445043352142884,0.7676800513714004,0.5614186841390165,0.2414962886823891,0.31457934624063094,0.5807349034973683
T450_seed0_snapshot117_dgT600,T450_seed0_snapshot117,A,450,600,0.23522442432605867,0.796647076521947,0.5328288152133009,0.29140611800619265,0.3657907329283529,0.7691840178159545
T450_seed1_snapshot003_dgT600,T450_seed1_snapshot003,B,450,600,0.2850604268975543,0.6795327389726566,0.3672673630562018,0.3205519485918678,0.4717240689190198,0.8257376923361311
T450_seed1_snapshot117_dgT600,T450_seed1_snapshot117,A,450,600,0.32104080480279196,0.5170555794931838,0.3799291551448922,0.20731931044860413,0.4009613640603547,0.5218110791777256
T450_seed2_snapshot057_dgT600,T450_seed2_snapshot057,B,450,600,0.29200086929187113,0.6112851543238451,0.27332851000742603,0.37880489253859567,0.6196860660841657,0.8685270837425576
