smearing_degauss_Ry,fit_scope,signed_distance,DFPT_fit_frequency_cm-1
0.0019000869,K_to_Gamma,-0.0,1288.039763
0.0019000869,K_to_Gamma,-7.5e-05,1288.0399960066466
0.0019000869,K_to_Gamma,-0.00015,1288.04069496767
0.0019000869,K_to_Gamma,-0.000225,1288.041859706394
0.0019000869,K_to_Gamma,-0.0003,1288.0434899285901
0.0019000869,K_to_Gamma,-0.00037499999999999995,1288.0455852228295
0.0019000869,K_to_Gamma,-0.00045,1288.0481450609716
0.0019000869,K_to_Gamma,-0.000525,1288.0511687987898
0.0019000869,K_to_Gamma,-0.0006,1288.054655676733
0.0019000869,K_to_Gamma,-0.0006749999999999999,1288.0586048208218
0.0019000869,K_to_Gamma,-0.0007499999999999999,1288.063015243673
0.0019000869,K_to_Gamma,-0.0008249999999999999,1288.0678858456563
0.0019000869,K_to_Gamma,-0.0009,1288.0732154161724
0.0019000869,K_to_Gamma,-0.000975,1288.0790026350548
0.0019000869,K_to_Gamma,-0.00105,1288.0852460740891
0.0019000869,K_to_Gamma,-0.001125,1288.0919441986462
0.0019000869,K_to_Gamma,-0.0012,1288.0990953694259
0.0019000869,K_to_Gamma,-0.0012749999999999999,1288.1066978443034
0.0019000869,K_to_Gamma,-0.0013499999999999999,1288.1147497802795
0.0019000869,K_to_Gamma,-0.0014249999999999998,1288.1232492355236
0.0019000869,K_to_Gamma,-0.0014999999999999998,1288.132194171508
0.0019000869,K_to_Gamma,-0.0015749999999999998,1288.1415824552269
0.0019000869,K_to_Gamma,-0.0016499999999999998,1288.1514118614957
0.0019000869,K_to_Gamma,-0.0017249999999999998,1288.1616800753234
0.0019000869,K_to_Gamma,-0.0018,1288.1723846943553
0.0019000869,K_to_Gamma,-0.001875,1288.1835232313758
0.0019000869,K_to_Gamma,-0.00195,1288.1950931168706
0.0019000869,K_to_Gamma,-0.002025,1288.207091701638
0.0019000869,K_to_Gamma,-0.0021,1288.2195162594503
0.0019000869,K_to_Gamma,-0.002175,1288.2323639897484
0.0019000869,K_to_Gamma,-0.00225,1288.2456320203755
0.0019000869,K_to_Gamma,-0.002325,1288.2593174103392
0.0019000869,K_to_Gamma,-0.0024,1288.2734171525938
0.0019000869,K_to_Gamma,-0.0024749999999999998,1288.287928176842
0.0019000869,K_to_Gamma,-0.0025499999999999997,1288.3028473523484
0.0019000869,K_to_Gamma,-0.0026249999999999997,1288.318171490762
0.0019000869,K_to_Gamma,-0.0026999999999999997,1288.3338973489363
0.0019000869,K_to_Gamma,-0.0027749999999999997,1288.3500216317505
0.0019000869,K_to_Gamma,-0.0028499999999999997,1288.3665409949203
0.0019000869,K_to_Gamma,-0.0029249999999999996,1288.3834520477983
0.0019000869,K_to_Gamma,-0.0029999999999999996,1288.4007513561562
0.0019000869,K_to_Gamma,-0.0030749999999999996,1288.4184354449462
0.0019000869,K_to_Gamma,-0.0031499999999999996,1288.4365008010386
0.0019000869,K_to_Gamma,-0.0032249999999999996,1288.4549438759288
0.0019000869,K_to_Gamma,-0.0032999999999999995,1288.4737610884138
0.0019000869,K_to_Gamma,-0.0033749999999999995,1288.4929488272305
0.0019000869,K_to_Gamma,-0.0034499999999999995,1288.5125034536572
0.0019000869,K_to_Gamma,-0.0035249999999999995,1288.5324213040733
0.0019000869,K_to_Gamma,-0.0036,1288.5526986924706
0.0019000869,K_to_Gamma,-0.003675,1288.5733319129224
0.0019000869,K_to_Gamma,-0.00375,1288.5943172419993
0.0019000869,K_to_Gamma,-0.003825,1288.615650941135
0.0019000869,K_to_Gamma,-0.0039,1288.6373292589378
0.0019000869,K_to_Gamma,-0.003974999999999999,1288.6593484334467
0.0019000869,K_to_Gamma,-0.00405,1288.6817046943304
0.0019000869,K_to_Gamma,-0.004124999999999999,1288.7043942650303
0.0019000869,K_to_Gamma,-0.0042,1288.7274133648395
0.0019000869,K_to_Gamma,-0.004274999999999999,1288.750758210927
0.0019000869,K_to_Gamma,-0.00435,1288.774425020296
0.0019000869,K_to_Gamma,-0.004424999999999999,1288.798410011684
0.0019000869,K_to_Gamma,-0.0045,1288.8227094073989
0.0019000869,K_to_Gamma,-0.004574999999999999,1288.8473194350927
0.0019000869,K_to_Gamma,-0.00465,1288.8722363294742
0.0019000869,K_to_Gamma,-0.004724999999999999,1288.8974563339561
0.0019000869,K_to_Gamma,-0.0048,1288.9229757022438
0.0019000869,K_to_Gamma,-0.004875,1288.948790699858
0.0019000869,K_to_Gamma,-0.0049499999999999995,1288.9748976055967
0.0019000869,K_to_Gamma,-0.005025,1289.0012927129385
0.0019000869,K_to_Gamma,-0.0050999999999999995,1289.027972331381
0.0019000869,K_to_Gamma,-0.005175,1289.0549327877204
0.0019000869,K_to_Gamma,-0.0052499999999999995,1289.0821704272746
0.0019000869,K_to_Gamma,-0.005325,1289.1096816150432
0.0019000869,K_to_Gamma,-0.005399999999999999,1289.1374627368132
0.0019000869,K_to_Gamma,-0.005475,1289.1655102002069
0.0019000869,K_to_Gamma,-0.005549999999999999,1289.1938204356743
0.0019000869,K_to_Gamma,-0.005625,1289.2223898974319
0.0019000869,K_to_Gamma,-0.005699999999999999,1289.251215064345
0.0019000869,K_to_Gamma,-0.005775,1289.2802924407636
0.0019000869,K_to_Gamma,-0.005849999999999999,1289.3096185573013
0.0019000869,K_to_Gamma,-0.005925,1289.3391899715689
0.0019000869,K_to_Gamma,-0.005999999999999999,1289.3690032688569
0.0019000869,K_to_Gamma,-0.006075,1289.3990550627734
0.0019000869,K_to_Gamma,-0.006149999999999999,1289.4293419958335
0.0019000869,K_to_Gamma,-0.006225,1289.459860740007
0.0019000869,K_to_Gamma,-0.006299999999999999,1289.4906079972206
0.0019000869,K_to_Gamma,-0.006375,1289.521580499821
0.0019000869,K_to_Gamma,-0.006449999999999999,1289.5527750109945
0.0019000869,K_to_Gamma,-0.0065249999999999996,1289.5841883251503
0.0019000869,K_to_Gamma,-0.006599999999999999,1289.6158172682656
0.0019000869,K_to_Gamma,-0.0066749999999999995,1289.6476586981923
