signed_distance,MLIP_full_EPC_LR_original_cm-1,MLIP_full_EPC_LR_reanchored_cm-1,DFPT_N_infinity_local_cusp_cm-1,K_aligned_model_minus_DFPT_cm-1
-0.003,1284.114608027748,1286.136441054065,1286.2504607368433,-0.11401968277823471
-0.0029950000000000003,1284.1114255716705,1286.1332585979874,1286.2470513106591,-0.11379271267173863
-0.00299,1284.1082424869323,1286.1300755132493,1286.2436418844748,-0.11356637122548818
-0.0029850000000000002,1284.105058773713,1286.1268918000299,1286.2402324582906,-0.11334065826076767
-0.00298,1284.1018744321914,1286.1237074585083,1286.2368230321065,-0.11311557359817925
-0.002975,1284.0986894625473,1286.1205224888643,1286.2334136059221,-0.11289111705787036
-0.00297,1284.0955038649602,1286.117336891277,1286.230004179738,-0.11266728846089791
-0.002965,1284.092317639609,1286.114150665926,1286.2265947535539,-0.11244408762786406
-0.00296,1284.0891307866734,1286.1109638129903,1286.2231853273695,-0.11222151437914363
-0.002955,1284.0859433063329,1286.1077763326498,1286.2197759011854,-0.11199956853556614
-0.00295,1284.082755198766,1286.104588225083,1286.2163664750012,-0.11177824991818852
-0.002945,1284.0795664641535,1286.1013994904704,1286.2129570488169,-0.11155755834647607
-0.00294,1284.0763771026732,1286.09821012899,1286.2095476226327,-0.11133749364262258
-0.002935,1284.0731871145056,1286.0950201408225,1286.2061381964486,-0.11111805562609334
-0.00293,1284.0699964998298,1286.0918295261467,1286.2027287702642,-0.11089924411749053
-0.002925,1284.0668052588248,1286.0886382851418,1286.19931934408,-0.1106810589383258
-0.00292,1284.0636133916705,1286.0854464179874,1286.195909917896,-0.11046349990851922
-0.002915,1284.0604208985458,1286.0822539248627,1286.1925004917116,-0.11024656684890033
-0.0029100000000000003,1284.0572277796302,1286.0790608059472,1286.1890910655275,-0.11003025958029866
-0.002905,1284.0540340351033,1286.0758670614202,1286.1856816393433,-0.10981457792308902
-0.0029000000000000002,1284.0508396651442,1286.072672691461,1286.182272213159,-0.10959952169787357
-0.002895,1284.0476446699322,1286.0694776962491,1286.1788627869748,-0.10938509072570923
-0.00289,1284.044449049647,1286.066282075964,1286.1754533607907,-0.10917128482674343
-0.002885,1284.0412528044678,1286.0630858307848,1286.1720439346063,-0.10895810382157833
-0.00288,1284.0380559345738,1286.0598889608907,1286.1686345084222,-0.10874554753149823
-0.002875,1284.0348584401443,1286.0566914664612,1286.165225082238,-0.10853361577687792
-0.00287,1284.0316603213591,1286.053493347676,1286.1618156560537,-0.10832230837763746
-0.002865,1284.0284615783971,1286.050294604714,1286.1584062298696,-0.10811162515551587
-0.00286,1284.0252622114383,1286.0470952377552,1286.1549968036854,-0.10790156593020583
-0.002855,1284.0220622206614,1286.0438952469783,1286.151587377501,-0.10769213052276427
-0.00285,1284.018861606246,1286.040694632563,1286.148177951317,-0.10748331875402073
-0.002845,1284.0156603683715,1286.0374933946885,1286.1447685251328,-0.10727513044435
-0.00284,1284.0124585072174,1286.0342915335343,1286.1413590989484,-0.10706756541412688
-0.002835,1284.0092560229627,1286.0310890492797,1286.1379496727643,-0.10686062348463565
-0.00283,1284.0060529157872,1286.0278859421041,1286.1345402465802,-0.10665430447602375
-0.0028250000000000003,1284.0028491858698,1286.0246822121867,1286.1311308203958,-0.10644860820912072
-0.00282,1283.9996448333904,1286.0214778597074,1286.1277213942117,-0.10624353450430135
-0.0028150000000000002,1283.996439858528,1286.018272884845,1286.1243119680275,-0.10603908318262256
-0.00281,1283.9932342614618,1286.0150672877787,1286.1209025418432,-0.10583525406445915
-0.002805,1283.9900280423715,1286.0118610686884,1286.117493115659,-0.10563204697064066
-0.0028,1283.9868212014364,1286.0086542277534,1286.114083689475,-0.10542946172154188
-0.002795,1283.9836137388359,1286.0054467651528,1286.1106742632905,-0.105227498137765
-0.00279,1283.9804056547491,1286.002238681066,1286.1072648371064,-0.10502615604036691
-0.002785,1283.9771969493556,1285.9990299756726,1286.1038554109223,-0.10482543524972243
-0.00278,1283.973987622835,1285.995820649152,1286.100445984738,-0.10462533558597897
-0.002775,1283.970777675366,1285.992610701683,1286.0970365585538,-0.10442585687087558
-0.00277,1283.9675671071286,1285.9894001334455,1286.0936271323696,-0.10422699892410492
-0.002765,1283.9643559183019,1285.9861889446188,1286.0902177061853,-0.10402876156649654
-0.00276,1283.961144109065,1285.9829771353818,1286.0868082800012,-0.10383114461933474
-0.002755,1283.9579316795978,1285.9797647059147,1286.083398853817,-0.10363414790231218
-0.00275,1283.9547186300792,1285.9765516563962,1286.0799894276327,-0.10343777123648579
-0.002745,1283.951504960689,1285.9733379870058,1286.0765800014485,-0.1032420144426851
-0.0027400000000000002,1283.9482906716062,1285.970123697923,1286.0731705752644,-0.10304687734128493
-0.002735,1283.9450757630104,1285.9669087893274,1286.06976114908,-0.10285235975266005
-0.0027300000000000002,1283.9418602350806,1285.9636932613976,1286.066351722896,-0.10265846149832214
-0.002725,1283.9386440879966,1285.9604771143136,1286.0629422967118,-0.10246518239819125
-0.00272,1283.9354273219376,1285.9572603482545,1286.0595328705274,-0.10227252227286954
-0.002715,1283.9322099370831,1285.9540429634,1286.0561234443433,-0.10208048094318656
-0.00271,1283.928991933612,1285.950824959929,1286.0527140181591,-0.10188905823019923
-0.002705,1283.9257733117042,1285.9476063380212,1286.0493045919748,-0.10169825395360022
-0.0027,1283.9225540715386,1285.9443870978555,1286.0458951657906,-0.10150806793512857
-0.002695,1283.919334213295,1285.941167239612,1286.0424857396065,-0.10131849999447695
-0.00269,1283.9161137371527,1285.9379467634697,1286.0390763134221,-0.10112954995247492
-0.002685,1283.912892643291,1285.9347256696078,1286.035666887238,-0.10094121763017938
-0.00268,1283.909670931889,1285.931503958206,1286.0322574610539,-0.10075350284796514
-0.002675,1283.9064486031261,1285.928281629443,1286.0288480348695,-0.10056640542643436
-0.00267,1283.903225657182,1285.925058683499,1286.0254386086854,-0.10037992518641659
-0.002665,1283.9000020942358,1285.9218351205527,1286.0220291825012,-0.10019406194851399
-0.00266,1283.8967779144673,1285.9186109407842,1286.0186197563169,-0.10000881553264662
-0.0026550000000000002,1283.893553118055,1285.915386144372,1286.0152103301327,-0.09982418576078089
-0.00265,1283.890327705179,1285.912160731496,1286.0118009039486,-0.09964017245260948
-0.002645,1283.8871016760186,1285.9089347023355,1286.0083914777642,-0.09945677542873455
-0.00264,1283.8838750307527,1285.9057080570697,1286.00498205158,-0.09927399451044039
-0.002635,1283.8806477695614,1285.9024807958783,1286.001572625396,-0.09909182951764706
-0.00263,1283.8774198926235,1285.8992529189404,1285.9981631992116,-0.09891028027118409
-0.002625,1283.8741914001184,1285.8960244264354,1285.9947537730275,-0.09872934659210841
-0.00262,1283.8709622922254,1285.8927953185423,1285.9913443468433,-0.09854902830102219
-0.002615,1283.8677325691244,1285.8895655954414,1285.987934920659,-0.0983693252176181
-0.00261,1283.8645022309943,1285.8863352573112,1285.9845254944748,-0.09819023716363517
-0.002605,1283.8612712780146,1285.8831043043315,1285.9811160682907,-0.09801176395922084
-0.0026,1283.8580397103644,1285.8798727366814,1285.9777066421063,-0.09783390542497727
-0.002595,1283.8548075282233,1285.8766405545402,1285.9742972159222,-0.09765666138196138
-0.00259,1283.8515747317708,1285.8734077580878,1285.970887789738,-0.0974800316503206
-0.002585,1283.8483413211861,1285.870174347503,1285.9674783635537,-0.09730401605065708
-0.00258,1283.8451072966486,1285.8669403229655,1285.9640689373696,-0.09712861440402776
-0.002575,1283.8418726583377,1285.8637056846546,1285.9606595111854,-0.09695382653080742
-0.0025700000000000002,1283.8386374064328,1285.8604704327497,1285.957250085001,-0.09677965225137086
-0.002565,1283.835401541113,1285.85723456743,1285.953840658817,-0.09660609138700238
-0.00256,1283.8321650625578,1285.8539980888747,1285.9504312326328,-0.09643314375807677
-0.002555,1283.8289279709466,1285.8507609972635,1285.9470218064484,-0.09626080918496882
-0.00255,1283.8256902664589,1285.8475232927758,1285.9436123802643,-0.09608908748850808
-0.002545,1283.822451949274,1285.8442849755909,1285.9402029540802,-0.09591797848929673
-0.00254,1283.819213019571,1285.8410460458879,1285.9367935278958,-0.09574748200793692
-0.002535,1283.8159734775295,1285.8378065038464,1285.9333841017117,-0.09557759786525821
-0.00253,1283.812733323329,1285.834566349646,1285.9299746755275,-0.09540832588163539
-0.002525,1283.8094925571486,1285.8313255834655,1285.9265652493432,-0.09523966587767063
-0.00252,1283.8062511791677,1285.8280842054846,1285.923155823159,-0.09507161767442085
-0.002515,1283.8030091895657,1285.8248422158827,1285.919746396975,-0.09490418109226084
-0.00251,1283.799766588522,1285.821599614839,1285.9163369707906,-0.0947373559515654
-0.0025050000000000003,1283.796523376216,1285.818356402533,1285.9129275446064,-0.09457114207339146
-0.0025,1283.793279552827,1285.815112579144,1285.9095181184223,-0.09440553927834117
-0.002495,1283.7900346576753,1285.8118676839922,1285.906108692238,-0.09424100824571724
-0.00249,1283.7867882482178,1285.8086212745347,1285.9026992660538,-0.09407799151904328
-0.0024850000000000002,1283.7835403518413,1285.8053733781583,1285.8992898398697,-0.09391646171138746
-0.00248,1283.7802909959298,1285.8021240222467,1285.8958804136853,-0.09375639143854642
