lattice_temperature_K,signed_q_2pi_over_a,direction,MLIP_plus_full_EPC_cm-1,DFT_TDEP_plus_same_full_EPC_cm-1,raw_DFT_TDEP_cm-1
300,-0.039999999999999994,KG,1307.1412964740944,1303.6973097230825,1284.3591959930877
300,-0.03966666666666667,KG,1306.9856709854985,1303.5726269721115,1284.2992507362665
300,-0.03933333333333333,KG,1306.807051346762,1303.4247164624283,1284.2397696966725
300,-0.039,KG,1306.6257359788972,1303.2739284311876,1284.1807536582205
300,-0.03866666666666667,KG,1306.463427237819,1303.1420187530896,1284.1222034018122
300,-0.03833333333333333,KG,1306.2717172756854,1302.9804540292362,1284.0641197053126
300,-0.038,KG,1306.099232337401,1302.8379822777233,1284.0065033435199
300,-0.03766666666666667,KG,1305.9247357557554,1302.6933108948188,1283.9493550881384
300,-0.03733333333333333,KG,1305.7288474494972,1302.5270103620478,1283.892675707752
300,-0.037,KG,1305.561497324743,1302.389131715187,1283.8364659677943
300,-0.03666666666666667,KG,1305.372816227002,1302.2296816140029,1283.7807266305217
300,-0.03633333333333333,KG,1305.1822722428844,1302.068174218592,1283.7254584549864
300,-0.036,KG,1305.0108074636391,1301.9255994765479,1283.6706621970059
300,-0.035666666666666666,KG,1304.8107242195406,1301.7541445965244,1283.6163386091355
300,-0.03533333333333333,KG,1304.629665237784,1301.6015631346029,1283.5624884406416
300,-0.034999999999999996,KG,1304.4466562906985,1301.446829431245,1283.5091124374708
300,-0.034666666666666665,KG,1304.2426947485546,1301.270895742353,1283.4562113422212
300,-0.034333333333333334,KG,1304.0666086240205,1301.1227000568776,1283.4037858941153
300,-0.034,KG,1303.869662837759,1300.953394467201,1283.3518368289697
300,-0.033666666666666664,KG,1303.6708476874785,1300.7820109451038,1283.3003648791666
300,-0.03333333333333333,KG,1303.49051718245,1300.6289465982907,1283.2493707736232
300,-0.033,KG,1303.2822430453052,1300.447669026187,1283.1988552377647
300,-0.03266666666666666,KG,1303.0922972644441,1300.2845500720184,1283.1488189934926
300,-0.03233333333333333,KG,1302.9003624402087,1300.1192259970067,1283.099262759156
300,-0.032,KG,1302.68800740502,1299.9332249489328,1283.0501872495222
300,-0.03166666666666666,KG,1302.502447679318,1299.773861049719,1283.0015931757457
300,-0.03133333333333333,KG,1302.2964889510429,1299.5938385278255,1282.95348124534
300,-0.031,KG,1302.0885124163535,1299.4115759358233,1282.9058521621448
300,-0.030666666666666665,KG,1301.8980077183326,1299.2466011054205,1282.8587066262987
300,-0.03033333333333333,KG,1301.6802882158358,1299.0541343630384,1282.8120453342062
300,-0.03,KG,1301.4796288535456,1298.8785392005987,1282.7658689785098
300,-0.029666666666666664,KG,1301.2762055500752,1298.6999495783145,1282.7201782480565
300,-0.02933333333333333,KG,1301.0519820607965,1298.5002923170969,1282.6749738278686
300,-0.029,KG,1300.8512934891896,1298.3239883418073,1282.6302563991123
300,-0.028666666666666667,KG,1300.6278879201184,1298.1246936250525,1282.5860266390694
300,-0.028333333333333335,KG,1300.39831903754,1297.9189930997636,1282.5422852211009
300,-0.028,KG,1300.1845814410358,1297.728921712428,1282.4990328146193
300,-0.027666666666666666,KG,1299.9567261334703,1297.524471887763,1282.4562700850565
300,-0.027333333333333334,KG,1299.7597268400675,1297.3507000360903,1282.4139976938336
300,-0.027,KG,1299.5623943270266,1297.1763563712846,1282.3722162983254
300,-0.026666666666666665,KG,1299.3423941469741,1296.9790642304583,1282.3309265518321
300,-0.026333333333333334,KG,1299.142493834184,1296.8016679860332,1282.2901291035473
300,-0.026,KG,1298.921885309302,1296.6032840462922,1282.2498245985237
300,-0.025666666666666664,KG,1298.6980001527825,1296.401374413348,1282.2100136776423
300,-0.025333333333333333,KG,1298.488500033678,1296.2136304220026,1282.1706969775812
300,-0.024999999999999998,KG,1298.2545368124138,1296.001134201876,1282.1318751307808
300,-0.024666666666666663,KG,1298.035199814882,1295.8030421384267,1282.0935487654135
300,-0.024333333333333332,KG,1297.8134444776615,1295.6022784213098,1282.0557185053485
300,-0.024,KG,1297.574431448126,1295.3839772836318,1282.0183849701225
300,-0.02366666666666667,KG,1297.3567647664042,1295.1868068248375,1281.9815487749047
300,-0.023333333333333334,KG,1297.122019774654,1294.9722761981873,1281.9452105304629
300,-0.023,KG,1296.8852588191248,1294.7554719106024,1281.9093708431317
300,-0.02266666666666667,KG,1296.6619306739092,1294.5518666203902,1281.8740303147806
300,-0.022333333333333334,KG,1296.4169378522727,1294.326304182146,1281.8391895427774
300,-0.022,KG,1296.1849562011541,1294.113515541602,1281.804849119958
300,-0.021666666666666667,KG,1295.9507172565486,1293.898206104035,1281.7710096345893
300,-0.021333333333333333,KG,1295.7012337912784,1293.6673669927864,1281.7376716703402
300,-0.020999999999999998,KG,1295.4701317638403,1293.4546758865567,1281.704835806242
300,-0.020666666666666667,KG,1295.2240805284482,1293.2267485950358,1281.672502616661
300,-0.02033333333333333,KG,1294.976193664654,1292.9967180983667,1281.6406726712582
300,-0.019999999999999997,KG,1294.7392706649457,1292.7774021098198,1281.6093465349595
300,-0.019666666666666666,KG,1294.483880374801,1292.5393235024094,1281.57852476792
300,-0.019333333333333334,KG,1294.2391666238989,1292.3116690489326,1281.5482079254891
300,-0.019,KG,1293.99219990467,1292.0814884764452,1281.5183965581768
300,-0.018666666666666665,KG,1293.7327017074258,1291.8384870724278,1281.48909121162
300,-0.018333333333333333,KG,1293.487280616017,1291.6093113690633,1281.4602924265453
300,-0.018,KG,1293.229873274454,1291.367858723871,1281.4320007387364
300,-0.017666666666666664,KG,1292.970916988828,1291.1245806242925,1281.404216678999
300,-0.017333333333333333,KG,1292.7195074270307,1290.8885845296347,1281.376940773126
300,-0.017,KG,1292.4544683951067,1290.6386630444981,1281.3501735418604
300,-0.016666666666666666,KG,1292.196462249221,1290.3955066928963,1281.3239155008628
300,-0.01633333333333333,KG,1291.9361775824366,1290.149789819661,1281.298167160676
300,-0.016,KG,1291.6673185752904,1289.895206926979,1281.272929026686
300,-0.015666666666666666,KG,1291.406435119262,1289.6483296514277,1281.2482015990931
300,-0.015333333333333332,KG,1291.1374338503063,1289.393041529474,1281.2239853728706
300,-0.015,KG,1290.8665764502834,1289.1356118396204,1281.2002808377306
300,-0.014666666666666665,KG,1290.5979811145514,1288.8801632731731,1281.177088478092
300,-0.014333333333333333,KG,1290.3225117616994,1288.6175465612107,1281.1544087730404
300,-0.014,KG,1290.0509689181695,1288.3585755968254,1281.1322421962916
300,-0.013666666666666667,KG,1289.781974641378,1288.1018695253701,1281.110589216163
300,-0.013333333333333332,KG,1289.5139308691696,1287.845827158227,1281.0894502955286
300,-0.013,KG,1289.2464063311872,1287.590015675151,1281.0688258917883
300,-0.012666666666666666,KG,1288.9771546309792,1287.3321848423088,1281.0487164568308
300,-0.012333333333333332,KG,1288.7071684431337,1287.073327700563,1281.0291224369964
300,-0.012,KG,1288.4340156701976,1286.8110081803072,1281.010044273044
300,-0.011666666666666667,KG,1288.1643372375822,1286.5518746983462,1280.991482400109
300,-0.011333333333333334,KG,1287.8908941853176,1286.2886783039323,1280.973437247673
300,-0.011,KG,1287.6172815491338,1286.0250176932832,1280.9559092395236
300,-0.010666666666666666,KG,1287.350989726098,1285.7683916251044,1280.9388987937198
300,-0.010333333333333333,KG,1287.074999481485,1285.5017590357454,1280.922406322555
300,-0.009999999999999998,KG,1286.807697482674,1285.24352834286,1280.90643223252
300,-0.009666666666666667,KG,1286.543170527232,1284.9877781996415,1280.8909769242678
300,-0.009333333333333332,KG,1286.269694570753,1284.7227695988731,1280.876040792575
300,-0.009,KG,1286.0142202801671,1284.4754848826483,1280.8616242263065
300,-0.008666666666666666,KG,1285.7491120972413,1284.2182544660068,1280.8477276083795
300,-0.008333333333333333,KG,1285.4870606464526,1283.9637834569107,1280.8343513157251
300,-0.008,KG,1285.2439949616091,1283.7280189237238,1280.8214957192522
300,-0.007666666666666666,KG,1284.9815798167735,1283.4725795640268,1280.8091611838117
300,-0.007333333333333332,KG,1284.7399875165763,1283.237684323874,1280.7973480681576
300,-0.007,KG,1284.5049833119938,1283.009080884039,1280.7860567249138
300,-0.006666666666666666,KG,1284.2564752254311,1282.7666531977784,1280.7752875005328
300,-0.006333333333333333,KG,1284.0405217600132,1282.5565126131778,1280.765040735263
300,-0.006,KG,1283.8113875871138,1282.3328700537102,1280.755316763108
300,-0.005666666666666667,KG,1283.590224496912,1282.1169011913807,1280.7461159117943
300,-0.005333333333333333,KG,1283.3978382553155,1281.9294349686345,1280.7374385027308
300,-0.004999999999999999,KG,1283.1829372474322,1281.719120350763,1280.7292848509728
300,-0.004666666666666666,KG,1282.998112850708,1281.5386083153003,1280.721655265186
300,-0.004333333333333333,KG,1282.8236776430856,1281.3681883010754,1280.7145500476108
300,-0.004,KG,1282.6386049721932,1281.186809273105,1280.707969494022
300,-0.003666666666666666,KG,1282.4918209317761,1281.0434522764585,1280.701913893696
300,-0.003333333333333333,KG,1282.3363151429305,1280.8910531887627,1280.6963835293707
300,-0.003,KG,1282.1938730072466,1280.7514216086945,1280.6913786772118
300,-0.0026666666666666666,KG,1282.0803013931647,1280.640381723813,1280.686899606774
300,-0.002333333333333333,KG,1281.9552375760227,1280.517524995735,1280.6829465809662
300,-0.002,KG,1281.857932945525,1280.4221465590854,1280.6795198560126
300,-0.0016666666666666666,KG,1281.7727442149157,1280.3385851974056,1280.676619681419
300,-0.0013333333333333333,KG,1281.6896965861135,1280.2568546424775,1280.6742462999339
300,-0.001,KG,1281.6320553148132,1280.2002459203254,1280.6723999475125
300,-0.0006666666666666666,KG,1281.5788464197865,1280.1477613366872,1280.6710808532835
300,-0.0003333333333333333,KG,1281.5393885132864,1280.108729723057,1280.6702892395078
300,0.0,K,1281.5222106840686,1280.0916895260063,1280.6700253215465
300,0.0003333333333333333,KM,1281.5415888261841,1280.1109324589368,1280.6702893078225
300,0.0006666666666666666,KM,1281.579627199717,1280.1485427039147,1280.6710813997847
300,0.001,KM,1281.6298791995296,1280.198066409611,1280.6724017918739
300,0.0013333333333333333,KM,1281.6964404675866,1280.2636037940435,1280.674250671484
300,0.0016666666666666666,KM,1281.769262058131,1280.3350946936632,1280.6766282189296
