structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
0,0,3,19.12144196182721,14.336110409295518,75.0208320728789,57,y,0.33445043352142884,0.08051047564030982,0.038220694778741494,17.873865211979417,-92.404225205141,-11165.047078024954,0.14707288028148469
1,0,9,25.889627477727412,18.28420639658519,153.74637744558007,17,x,0.3915255704711865,0.08874417483861129,0.02775754360142636,19.190944258678915,-92.27691244356413,-11164.907511381334,-12.106809163014987
2,0,15,19.46266570082024,15.902382097859523,58.51951567232349,3,y,0.3361181989254675,0.09109156539962808,0.02057605612530135,37.55713713291074,-91.86206825924525,-11164.513971368115,9.197361936458037
3,0,21,30.39204023389007,21.837121875162506,134.27820576182037,35,y,0.47183275419713616,0.08661658546719528,0.033161437837660006,30.789734550489516,-91.9460130974884,-11164.605185967686,16.46712326510169
4,0,27,15.020482065650864,12.274013498036306,39.68186631554499,13,y,0.3626081519607802,0.09539098246162031,0.00895076825740602,2.0425285474757655,-92.43892972717043,-11165.088349122692,6.7136485886294395
5,0,33,16.553684218198722,12.90021032328349,53.003637515459005,47,x,0.3718271916764889,0.09269813979191203,0.0126108951989374,14.710321881660494,-93.13591639086539,-11165.789206750045,10.584612246020697
6,0,39,19.661152320638728,15.141483094642043,87.1260190092893,64,x,0.31018500268845245,0.09247361468611788,0.003729662118877497,35.10594489834385,-92.68687246750225,-11165.336708919858,7.13070542224159
7,0,45,23.62841353807043,16.951765869905653,136.65699724195824,37,x,0.23821224257984433,0.0745447882773756,0.009413522737509498,26.049962165427065,-92.88134349068271,-11165.527508204621,3.4589670049172128
8,0,51,19.61154692698648,15.138162939495304,90.65247022644618,12,y,0.40999272431548706,0.10381856479704943,0.018228644368872244,17.02244653531292,-92.29713691844609,-11164.940671037657,0.8283722781925462
9,0,57,23.18345722710342,17.935680860068228,88.95913821821688,67,x,0.2752390732231098,0.07988790125166545,0.016898955890439486,31.94684865925977,-91.62146099436163,-11164.260882504544,-3.2842367509147152
10,0,63,37.90983371285039,25.51514261282047,212.03780965459185,64,y,0.30348677886646613,0.06945761739066345,0.013382195181180445,33.09727805315731,-92.62174251341112,-11165.247220066252,-17.2281940922403
11,0,69,20.262374277733556,15.607644303541765,65.3041945377426,36,y,0.3076940526878135,0.09075763222085514,0.03099011298973503,42.596508744258664,-92.2234261192342,-11164.880202716771,14.07085060418467
