structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
0,-1,94,1247.2660742266144,823.7563115477466,3851.3156264076515,28,x,0.3386291906042652,0.08720048620510358,0.027155723315466902,1842.6909769941103,-89.60324539279237,111.53191446640261,-27256.844211980166
1,-1,65,2420.808949055157,1722.049539589513,6166.054915417272,28,x,0.3528728530360337,0.0967891515300551,0.030831628808177997,5500.336247649603,-89.60115155752669,10.174947423797363,74102.21666589075
2,-1,87,2203.5857143779217,1520.7892811061042,6077.09810410574,28,x,0.5198977585678808,0.10612673364389773,0.041722080233222575,4934.048858186202,-88.72138255798444,55.51574333394919,29641.189755281175
3,-1,272,1299.954214900073,857.6948649074402,4104.8259612771235,46,x,0.2903510529644802,0.08283148212813288,0.039609579012183795,1993.7629634249247,-88.905634812598,135.98241559532363,-51009.73476070684
4,-1,168,1757.9883085822933,1177.4607380900254,4764.377050462821,28,x,0.30867314219118963,0.0701594527570206,0.04863235673976485,3522.434412697828,-89.82245239840228,89.78448870073468,-5728.62545192217
5,-1,277,2094.8871279789028,1457.2217458700823,5662.680703067648,43,x,0.2971835525576101,0.07690563589615285,0.09467728761999619,4556.368964189047,-88.22757549285114,74.10896323287999,11541.776921483659
6,-1,216,1169.6169646001752,769.8486087641626,3600.777553121736,43,x,0.5897189129824432,0.11176821156178315,0.026141119153913452,1455.696879737022,-88.32203611889831,114.64460167952753,-29088.322151211032
7,-1,99,1515.2174528360306,1012.4807588791577,4659.823693235067,28,x,0.238077185466091,0.06572666218859505,0.06192636194285507,2863.8142653614927,-89.61845431600526,133.6868958344657,-49427.03450325615
8,-1,152,1415.788069337604,948.9204814937619,3869.4255558785453,49,x,0.20412204801969647,0.05877727465992336,0.007385576030340719,2370.951707516617,-91.85080531011586,73.43301411036842,8594.496226730513
9,-1,20,2131.087785542553,1485.9833886170588,5519.8464794406855,28,x,0.2945340155847738,0.06889117717787609,0.010381021882884749,4708.988257238327,-90.16769034058633,30.846586968848328,52864.03833778014
10,-1,6,1502.9423187076084,995.7516567953285,4315.9357331663705,28,x,0.5163521315722411,0.1281598276493998,0.08570972226467719,2826.675124827591,-89.22565149384165,133.53189035701945,-48879.226203646314
11,-1,203,2066.5477899874736,1460.7440501453486,5497.954577561388,43,x,0.2560156439290744,0.07541871436983279,0.07364482554527085,4440.466688534021,-90.34466830376431,48.8875779678942,34646.0693755563
