structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
0,453005,0,0.011574908121308233,0.007621736131865165,0.05869644702549692,0,y,0.3292689140776807,0.090299844610988,0.03968927749012713,0.013916656922262616,-88.55559954545798,-88.55560815075695,0.006058475393283895
1,453005,1,0.011019057251018097,0.00774146361808291,0.042921959841013546,66,y,0.32926891558900145,0.09029984473452282,0.03968927759792726,0.007108543116841698,-88.80205688355518,-88.8020507822703,-0.008648108461433898
2,453005,2,0.009837572815967437,0.006461100181495256,0.04418527671079531,41,x,0.3308314362927629,0.07441733245315223,0.02269643804422669,0.00777833557815283,-90.1278171978406,-90.12782156511835,0.001820454173990053
3,453005,3,0.011224380775131592,0.0073749793319869885,0.041985299994912184,34,y,0.3308314356554891,0.07441733226376848,0.02269643663093731,0.006494582248673936,-90.03823713839908,-90.03824930137431,0.00961615164465949
4,453005,4,0.012515611576167188,0.008488288508893875,0.04394283940589716,71,y,0.21534770879669818,0.07390246542649909,0.007948001745572858,0.007606183846600382,-89.72890709119302,-89.72891647077115,0.006832754551406121
5,453005,5,0.010904516722409167,0.007415631222235118,0.04141224925546805,30,x,0.21534770922124286,0.07390246540257973,0.007948005506361506,0.003368755623955868,-89.6634461707696,-89.66343986833739,-0.008849255791337404
6,453005,6,0.010354326763079446,0.007045493205257749,0.040148617009627685,10,x,0.4680045374272331,0.1295097794946351,0.015374227344083578,0.0038936682802821797,-89.65991973753218,-89.65991157527937,-0.010709076391085167
7,453005,7,0.012304146402688728,0.008440452076378726,0.043376534589328886,12,x,0.4680045384474986,0.129509779552631,0.015374226945283606,0.009904334003546199,-89.50020456196958,-89.50020386953292,-0.003239260237014226
8,453005,8,0.011481595943787748,0.007644026566187315,0.0357385947347133,68,y,0.30216243435246437,0.06672224331321486,0.062028076375590095,0.005997309083113751,-89.46299332297372,-89.46297901543352,-0.0168543637776016
9,453005,9,0.01266144886625885,0.00822492889602715,0.047655797557499824,1,y,0.3021624343332288,0.06672224344121427,0.062028076876830526,0.012408478967648037,-89.49684065477662,-89.49681418589718,-0.02901570301991304
10,453005,10,0.009207910749234294,0.006335293440808191,0.03141630583414212,39,x,0.4292978100141478,0.09894587683157309,0.05775297505306518,0.006952164063995701,-88.53969063621489,-88.53968024140515,-0.012941633314416853
11,453005,11,0.011216306554580132,0.0073399497064991,0.043708909405304475,70,y,0.4292978099989564,0.09894587687583103,0.05775297764277517,0.007690196451352223,-88.29617347601776,-88.29615838893123,-0.017633910103758886
12,453005,12,0.012581038676441758,0.008192458159028623,0.0473740618249785,5,x,0.3214781492762352,0.08378566660504133,0.01931542071794102,0.007018015107701789,-89.98797713424878,-89.98796719969482,-0.012481377537814827
13,453005,13,0.011623112372867275,0.007608058936229584,0.04530101339485226,63,y,0.32147814988218576,0.0837856665717375,0.019315417925980276,0.01531344272680615,-90.00242458431988,-90.002434598245,0.007467101540565106
14,453005,14,0.009921233815051176,0.006665132592138022,0.04794068583910405,30,x,0.23022241546673233,0.06335086567556515,0.02344025494439761,0.009138943040975957,-90.25225365772818,-90.25227746392224,0.021259370485277408
15,453005,15,0.010302800583409275,0.007004542777039778,0.04766990934079729,65,y,0.23022241141117009,0.06335086560573164,0.023440251404622824,0.00575136406387037,-89.94041503124302,-89.94043399794563,0.016419879032364783
16,453005,16,0.011258436256625438,0.0074438287821600654,0.04867239996508843,69,y,0.42863710420477563,0.10568653974351429,0.060242380696630494,0.005122434921996641,-88.96970314389216,-88.969706680894,0.0009901782655200957
17,453005,17,0.011703674764407741,0.00791332525633529,0.05431956568813234,1,y,0.4286371043683528,0.10568653971273854,0.06024238449848632,0.006589701895291447,-89.5059832994928,-89.50598138034968,-0.004465966696092967
18,453005,18,0.011372486936037235,0.008271703059134968,0.03535101291141096,40,x,0.32457186322316256,0.07970750098714145,0.006770537655756064,0.0036980495362319713,-90.38671059976015,-90.38670287069971,-0.010275884021998158
19,453005,19,0.008711142109738418,0.006098649058294,0.03142657760291101,23,x,0.32457186451449144,0.0797075010657501,0.00677054202805953,0.001326318910375096,-90.30790491469342,-90.30789936451792,-0.008096999081080488
20,453005,20,0.010853404626436842,0.007310069222441213,0.0455666417247258,1,y,0.22357378966535904,0.06858040626399749,0.06668399458626018,0.008620353921819483,-90.29552354716931,-90.29552823304545,0.002139052555444702
21,453005,21,0.010267539683791752,0.007076088860906807,0.03440956718148147,24,x,0.22357379097068875,0.06858040620357767,0.0666839946750904,0.015456020279512074,-90.54130592255277,-90.54130893849937,0.0004691230238999349
22,453005,22,0.009613881356455443,0.006556328172401301,0.04682720898374626,66,y,0.47466181873032476,0.10561777622294219,0.023351892110209313,0.010713695694077105,-89.19656420466544,-89.19658048606512,0.013734576101237886
23,453005,23,0.01247412600558967,0.00858884773421555,0.05229173612120164,0,y,0.47466181987787176,0.10561777633753446,0.02335189055792637,0.013691012973283722,-89.3198754859538,-89.31987030094284,-0.007731834542473356
24,453005,24,0.011166492162864852,0.007009327558783755,0.0435081815914895,0,y,0.3298392718682266,0.07176544418338213,0.03914642666406295,0.018334541572121214,-89.43473721202433,-89.43473586454087,-0.003894307041368468
25,453005,25,0.010090845589762405,0.006919651211250143,0.03638544412187805,1,y,0.3298392719625643,0.07176544416025,0.03914643053090124,0.019002732312952818,-89.348033196613,-89.34804435211979,0.008608683203542947
26,453005,26,0.010502397682759446,0.0069367675111246885,0.042456129856205393,47,x,0.3965764204495578,0.09392356069746056,0.02653184554719942,0.0036923701962134664,-89.01696331402664,-89.01699118564555,0.025324795331821782
27,453005,27,0.011250188133882044,0.007697592547309992,0.04169736579129335,0,y,0.39657642060247544,0.09392356070873935,0.026531845874253637,0.01113827336059186,-88.58454854342204,-88.5845697883946,0.01869814897839698
28,453005,28,0.011506737934921643,0.00793580848966858,0.04086779720635647,71,y,0.35929420597539274,0.08633099561226454,0.005827611116243418,0.004958607796160429,-89.82494016185758,-89.82491861655494,-0.02409212622386766
29,453005,29,0.012384361877343864,0.008281593372455464,0.04637344700962609,11,x,0.35929420600976486,0.08633099556929463,0.005827612306017282,0.005886258646721927,-89.67875452557215,-89.67877047901561,0.013406619886164131
30,453005,30,0.011580066830466829,0.007631601275033742,0.05016902084997721,66,x,0.4119964972851673,0.10472969771919437,0.017236541786169925,0.005211739845413394,-89.5736844241614,-89.57371470878817,0.027737803194677703
31,453005,31,0.011517793196255864,0.007662988444507688,0.04980895284489861,18,x,0.41199649709241964,0.10472969768229444,0.017236544518140228,0.010883222399770657,-89.40171954058792,-89.40173425982374,0.012172412241634826
32,453005,32,0.01185280725803106,0.00803855923664825,0.035672040233969415,35,y,0.25630322021180907,0.07323467441628573,0.02452496676588964,0.016438030133363486,-90.87712974385816,-90.87713639521182,0.004104530078402983
33,453005,33,0.01019308376236363,0.006733131625419228,0.0397240873643151,24,x,0.2563032191422067,0.07323467439443819,0.024524969290781205,0.003987586391124207,-90.63472671325265,-90.63473198050455,0.0027204283278573866
34,453005,34,0.01177049720219873,0.007815968479900338,0.048482252127168834,26,y,0.3069197481578187,0.0864435170920892,0.05669209797831959,0.0004948120953184117,-90.27023513688712,-90.27023195659201,-0.005727118689596485
35,453005,35,0.011749885591868302,0.007510494018418673,0.04842631658230623,3,y,0.3069197478236207,0.08644351711113189,0.0566920979783192,0.018470483998482688,-90.18990381135595,-90.18988889087848,-0.017467301048318028
36,453005,36,0.009316967609040452,0.006695724901174559,0.03439152800244205,12,x,0.31924365275211164,0.08321200982883302,0.03013293448943302,0.009330115769875167,-89.10218040956038,-89.10217676607667,-0.006190307288183779
37,453005,37,0.011206372557832208,0.00737832311580087,0.044715380308701924,32,y,0.31924365275330807,0.08321200975179648,0.030132938672564648,0.005872183920252823,-89.03139178782743,-89.03140764414553,0.013309494520636159
38,453005,38,0.01063967935675416,0.007122895106349267,0.037868543911745434,47,x,0.4325398524952566,0.10749287796945643,0.010420881141782778,0.013574822003155738,-89.41358964726408,-89.41360335226071,0.011158173053000079
39,453005,39,0.010487462054258448,0.007172213938397893,0.04785731498602175,53,x,0.43253985253013166,0.1074928779684157,0.010420884024008467,0.010461730565747398,-89.36547534697142,-89.36548716195587,0.009268160867132261
40,453005,40,0.01145379272293193,0.007380714054360512,0.04231381187480565,39,x,0.3954343816674279,0.10608991360033117,0.020549596116239993,0.013975038619366711,-88.98596735315932,-88.98598206148232,0.012161499413660218
41,453005,41,0.011229986870004448,0.007399673577066515,0.04085552290056249,1,y,0.395434381588754,0.10608991359154762,0.02054959669531398,0.008034257352163192,-89.02643986056663,-89.02642619406737,-0.01621332283638329
42,453005,42,0.011169299128787781,0.007694777680062028,0.0411427304096712,25,y,0.44398777576403686,0.11094744682546805,0.02137026647698356,0.00734555847368335,-89.79372131796185,-89.79372218988726,-0.0016748981713495443
43,453005,43,0.011363431279847482,0.007764907860125502,0.03832841195650083,65,x,0.4439877757751757,0.11094744677724579,0.021370265664010873,0.0015548170340887125,-89.39505803573724,-89.39505780295264,-0.0027796081801530663
