timestamp_iso,gpu_util_percent,memory_used_MiB,memory_total_MiB
2026-08-24T11:19:56+08:00,0, 5, 32768
2026-08-24T11:20:06+08:00,0, 314, 32768
2026-08-24T11:20:16+08:00,10, 494, 32768
2026-08-24T11:20:27+08:00,14, 540, 32768
2026-08-24T11:20:37+08:00,13, 540, 32768
2026-08-24T11:20:47+08:00,17, 540, 32768
2026-08-24T11:20:57+08:00,18, 540, 32768
2026-08-24T11:21:07+08:00,16, 540, 32768
2026-08-24T11:21:17+08:00,17, 540, 32768
2026-08-24T11:21:27+08:00,17, 540, 32768
2026-08-24T11:21:37+08:00,17, 540, 32768
2026-08-24T11:21:47+08:00,12, 540, 32768
2026-08-24T11:21:57+08:00,15, 540, 32768
2026-08-24T11:22:07+08:00,16, 540, 32768
2026-08-24T11:22:17+08:00,17, 540, 32768
2026-08-24T11:22:27+08:00,16, 540, 32768
2026-08-24T11:22:37+08:00,15, 540, 32768
2026-08-24T11:22:47+08:00,15, 540, 32768
2026-08-24T11:22:57+08:00,18, 540, 32768
2026-08-24T11:23:07+08:00,15, 540, 32768
2026-08-24T11:23:17+08:00,16, 540, 32768
2026-08-24T11:23:27+08:00,8, 540, 32768
2026-08-24T11:23:37+08:00,16, 540, 32768
2026-08-24T11:23:47+08:00,17, 540, 32768
2026-08-24T11:23:57+08:00,17, 540, 32768
2026-08-24T11:24:07+08:00,14, 540, 32768
2026-08-24T11:24:17+08:00,17, 540, 32768
2026-08-24T11:24:27+08:00,17, 540, 32768
2026-08-24T11:24:38+08:00,17, 540, 32768
2026-08-24T11:24:48+08:00,16, 540, 32768
2026-08-24T11:24:58+08:00,17, 540, 32768
2026-08-24T11:25:08+08:00,17, 540, 32768
2026-08-24T11:25:18+08:00,14, 540, 32768
2026-08-24T11:25:28+08:00,15, 540, 32768
2026-08-24T11:25:38+08:00,12, 540, 32768
2026-08-24T11:25:48+08:00,14, 540, 32768
2026-08-24T11:25:58+08:00,14, 540, 32768
2026-08-24T11:26:08+08:00,15, 540, 32768
2026-08-24T11:26:18+08:00,17, 540, 32768
2026-08-24T11:26:28+08:00,17, 540, 32768
2026-08-24T11:26:38+08:00,17, 540, 32768
2026-08-24T11:26:48+08:00,16, 540, 32768
2026-08-24T11:26:58+08:00,16, 540, 32768
2026-08-24T11:27:08+08:00,14, 540, 32768
2026-08-24T11:27:18+08:00,12, 540, 32768
2026-08-24T11:27:28+08:00,17, 540, 32768
2026-08-24T11:27:38+08:00,15, 540, 32768
2026-08-24T11:27:48+08:00,16, 540, 32768
2026-08-24T11:27:59+08:00,15, 540, 32768
2026-08-24T11:28:09+08:00,15, 540, 32768
2026-08-24T11:28:19+08:00,15, 540, 32768
2026-08-24T11:28:29+08:00,15, 540, 32768
2026-08-24T11:28:39+08:00,15, 540, 32768
2026-08-24T11:28:49+08:00,16, 540, 32768
2026-08-24T11:28:59+08:00,13, 540, 32768
2026-08-24T11:29:09+08:00,15, 540, 32768
2026-08-24T11:29:19+08:00,16, 540, 32768
2026-08-24T11:29:29+08:00,8, 540, 32768
2026-08-24T11:29:39+08:00,15, 540, 32768
2026-08-24T11:29:49+08:00,15, 540, 32768
2026-08-24T11:29:59+08:00,16, 540, 32768
2026-08-24T11:30:09+08:00,12, 540, 32768
2026-08-24T11:30:19+08:00,13, 540, 32768
2026-08-24T11:30:29+08:00,15, 540, 32768
2026-08-24T11:30:39+08:00,13, 540, 32768
2026-08-24T11:30:49+08:00,12, 540, 32768
2026-08-24T11:30:59+08:00,15, 540, 32768
2026-08-24T11:31:09+08:00,12, 540, 32768
2026-08-24T11:31:20+08:00,16, 540, 32768
2026-08-24T11:31:30+08:00,15, 540, 32768
2026-08-24T11:31:40+08:00,16, 540, 32768
2026-08-24T11:31:50+08:00,14, 540, 32768
2026-08-24T11:32:00+08:00,12, 540, 32768
2026-08-24T11:32:10+08:00,17, 540, 32768
2026-08-24T11:32:20+08:00,17, 540, 32768
2026-08-24T11:32:30+08:00,16, 540, 32768
2026-08-24T11:32:40+08:00,10, 540, 32768
2026-08-24T11:32:50+08:00,16, 540, 32768
2026-08-24T11:33:00+08:00,15, 540, 32768
2026-08-24T11:33:10+08:00,17, 540, 32768
