timestamp_iso,gpu_util_percent,memory_used_MiB,memory_total_MiB
2026-08-24T10:34:02+08:00,0, 5, 32768
2026-08-24T10:34:12+08:00,0, 5, 32768
2026-08-24T10:34:22+08:00,0, 488, 32768
2026-08-24T10:34:32+08:00,0, 558, 32768
2026-08-24T10:34:42+08:00,11, 558, 32768
2026-08-24T10:34:52+08:00,10, 558, 32768
2026-08-24T10:35:02+08:00,18, 558, 32768
2026-08-24T10:35:12+08:00,16, 558, 32768
2026-08-24T10:35:22+08:00,16, 558, 32768
2026-08-24T10:35:32+08:00,15, 558, 32768
2026-08-24T10:35:43+08:00,17, 558, 32768
2026-08-24T10:35:53+08:00,18, 558, 32768
2026-08-24T10:36:03+08:00,18, 558, 32768
2026-08-24T10:36:13+08:00,16, 558, 32768
2026-08-24T10:36:23+08:00,16, 558, 32768
2026-08-24T10:36:33+08:00,17, 558, 32768
2026-08-24T10:36:43+08:00,17, 558, 32768
2026-08-24T10:36:53+08:00,16, 558, 32768
2026-08-24T10:37:03+08:00,17, 558, 32768
2026-08-24T10:37:13+08:00,17, 558, 32768
2026-08-24T10:37:23+08:00,17, 558, 32768
2026-08-24T10:37:33+08:00,16, 558, 32768
2026-08-24T10:37:43+08:00,15, 558, 32768
2026-08-24T10:37:53+08:00,16, 558, 32768
2026-08-24T10:38:03+08:00,15, 558, 32768
2026-08-24T10:38:13+08:00,17, 558, 32768
2026-08-24T10:38:23+08:00,17, 558, 32768
2026-08-24T10:38:33+08:00,15, 558, 32768
2026-08-24T10:38:43+08:00,16, 558, 32768
2026-08-24T10:38:53+08:00,12, 558, 32768
2026-08-24T10:39:03+08:00,16, 558, 32768
2026-08-24T10:39:13+08:00,17, 558, 32768
2026-08-24T10:39:24+08:00,9, 558, 32768
2026-08-24T10:39:34+08:00,15, 558, 32768
2026-08-24T10:39:44+08:00,15, 558, 32768
2026-08-24T10:39:54+08:00,17, 558, 32768
2026-08-24T10:40:04+08:00,15, 558, 32768
2026-08-24T10:40:14+08:00,17, 558, 32768
2026-08-24T10:40:24+08:00,16, 558, 32768
2026-08-24T10:40:34+08:00,17, 558, 32768
2026-08-24T10:40:44+08:00,17, 558, 32768
2026-08-24T10:40:54+08:00,16, 558, 32768
2026-08-24T10:41:04+08:00,16, 558, 32768
2026-08-24T10:41:14+08:00,15, 558, 32768
2026-08-24T10:41:24+08:00,17, 558, 32768
2026-08-24T10:41:34+08:00,13, 558, 32768
2026-08-24T10:41:44+08:00,16, 558, 32768
2026-08-24T10:41:54+08:00,17, 558, 32768
2026-08-24T10:42:04+08:00,16, 558, 32768
