candidate,loss_name,energy_balance,ridge,worst_gate_score,passes_all,support_force_RMSE_meV_A,support_force_max_meV_A,support_Aprime_RMS_meV_A,support_energy_RMSE_meV_config,harmonic_RMSE_meV_A
pair_forces_only_ridge_1e-06,forces_only,0.0,1e-06,178.8275925102289,False,1883.2113696005504,9253.574448753627,1535.414020800606,1204.4973968365039,1617.4302395957243
pair_forces_only_ridge_1e-04,forces_only,0.0,0.0001,180.43581456954095,False,1853.6004566741858,9211.013320137381,1479.8717989025909,1110.9407471298098,1631.976020558287
pair_forces_only_ridge_1e-02,forces_only,0.0,0.01,170.85528442059493,False,1753.2389696222185,8196.137242017876,1291.341861956506,729.5402422891964,1545.323625607673
pair_forces_only_ridge_1e00,forces_only,0.0,1.0,132.14087983893356,False,1453.1032868613377,4494.493002120145,1046.8937816948153,540.9256017278592,1195.1659804739074
pair_forces_only_ridge_1e02,forces_only,0.0,100.0,7.257361935773511,False,88.69671497448803,746.5885085969752,67.9675660345002,31.176837584155166,65.64018723195422
pair_gate_scaled_energy_ridge_1e-06,gate_scaled_energy,516.5,1e-06,170.5399336038424,False,1735.833800853787,8883.201143037193,1298.3548434225204,792.679905415066,1542.4713926835645
pair_gate_scaled_energy_ridge_1e-04,gate_scaled_energy,516.5,0.0001,171.14874584870321,False,1733.1074332303858,8884.195651859513,1289.657096860132,778.7718716070182,1547.9778770087823
pair_gate_scaled_energy_ridge_1e-02,gate_scaled_energy,516.5,0.01,167.345141728144,False,1713.0075027672817,8013.65770268147,1251.9169566324917,692.2389635111685,1513.575667385055
pair_gate_scaled_energy_ridge_1e00,gate_scaled_energy,516.5,1.0,129.08677021834987,False,1417.5383992607076,4399.12182991137,1022.2406992614375,527.5392169309099,1167.54267477465
pair_gate_scaled_energy_ridge_1e02,gate_scaled_energy,516.5,100.0,7.053401378017539,False,86.69131631721777,749.8424072867325,66.51151531363287,30.470365165514266,63.795438504039375
