timestamp_iso,gpu_util_percent,memory_used_MiB,memory_total_MiB
2026-08-24T11:40:22+08:00,0, 5, 32768
2026-08-24T11:40:32+08:00,1, 490, 32768
2026-08-24T11:40:42+08:00,0, 638, 32768
2026-08-24T11:40:52+08:00,16, 660, 32768
2026-08-24T11:41:02+08:00,16, 660, 32768
2026-08-24T11:41:12+08:00,17, 660, 32768
2026-08-24T11:41:22+08:00,17, 660, 32768
2026-08-24T11:41:32+08:00,17, 660, 32768
2026-08-24T11:41:42+08:00,16, 660, 32768
2026-08-24T11:41:52+08:00,11, 660, 32768
2026-08-24T11:42:02+08:00,19, 660, 32768
2026-08-24T11:42:12+08:00,15, 660, 32768
2026-08-24T11:42:22+08:00,10, 660, 32768
2026-08-24T11:42:32+08:00,11, 660, 32768
2026-08-24T11:42:42+08:00,16, 660, 32768
2026-08-24T11:42:52+08:00,16, 660, 32768
2026-08-24T11:43:02+08:00,15, 660, 32768
2026-08-24T11:43:12+08:00,12, 660, 32768
2026-08-24T11:43:22+08:00,15, 660, 32768
2026-08-24T11:43:32+08:00,12, 660, 32768
2026-08-24T11:43:42+08:00,15, 660, 32768
2026-08-24T11:43:52+08:00,15, 660, 32768
2026-08-24T11:44:02+08:00,17, 660, 32768
2026-08-24T11:44:12+08:00,14, 660, 32768
2026-08-24T11:44:22+08:00,14, 660, 32768
2026-08-24T11:44:32+08:00,17, 660, 32768
2026-08-24T11:44:42+08:00,16, 660, 32768
2026-08-24T11:44:52+08:00,18, 660, 32768
2026-08-24T11:45:02+08:00,17, 660, 32768
2026-08-24T11:45:12+08:00,20, 660, 32768
2026-08-24T11:45:23+08:00,14, 660, 32768
2026-08-24T11:45:33+08:00,16, 660, 32768
2026-08-24T11:45:43+08:00,14, 660, 32768
2026-08-24T11:45:53+08:00,16, 660, 32768
2026-08-24T11:46:03+08:00,17, 660, 32768
2026-08-24T11:46:13+08:00,14, 660, 32768
2026-08-24T11:46:23+08:00,18, 660, 32768
2026-08-24T11:46:33+08:00,16, 660, 32768
2026-08-24T11:46:43+08:00,17, 660, 32768
2026-08-24T11:46:53+08:00,17, 660, 32768
2026-08-24T11:47:03+08:00,14, 660, 32768
2026-08-24T11:47:13+08:00,16, 660, 32768
2026-08-24T11:47:23+08:00,15, 660, 32768
2026-08-24T11:47:33+08:00,17, 660, 32768
2026-08-24T11:47:43+08:00,17, 660, 32768
2026-08-24T11:47:53+08:00,16, 660, 32768
2026-08-24T11:48:03+08:00,16, 660, 32768
2026-08-24T11:48:13+08:00,19, 660, 32768
2026-08-24T11:48:23+08:00,15, 660, 32768
2026-08-24T11:48:33+08:00,16, 660, 32768
2026-08-24T11:48:43+08:00,13, 660, 32768
2026-08-24T11:48:53+08:00,19, 660, 32768
2026-08-24T11:49:03+08:00,15, 660, 32768
2026-08-24T11:49:13+08:00,16, 660, 32768
2026-08-24T11:49:23+08:00,15, 660, 32768
2026-08-24T11:49:33+08:00,15, 660, 32768
2026-08-24T11:49:43+08:00,16, 660, 32768
2026-08-24T11:49:53+08:00,14, 660, 32768
2026-08-24T11:50:03+08:00,14, 660, 32768
2026-08-24T11:50:13+08:00,17, 660, 32768
2026-08-24T11:50:23+08:00,14, 660, 32768
2026-08-24T11:50:33+08:00,11, 660, 32768
2026-08-24T11:50:43+08:00,17, 660, 32768
2026-08-24T11:50:53+08:00,16, 660, 32768
2026-08-24T11:51:03+08:00,13, 660, 32768
2026-08-24T11:51:13+08:00,18, 660, 32768
2026-08-24T11:51:23+08:00,16, 660, 32768
2026-08-24T11:51:33+08:00,17, 660, 32768
2026-08-24T11:51:44+08:00,16, 660, 32768
2026-08-24T11:51:54+08:00,16, 660, 32768
2026-08-24T11:52:04+08:00,14, 660, 32768
2026-08-24T11:52:14+08:00,14, 660, 32768
2026-08-24T11:52:24+08:00,16, 660, 32768
2026-08-24T11:52:34+08:00,16, 660, 32768
2026-08-24T11:52:44+08:00,15, 660, 32768
2026-08-24T11:52:54+08:00,15, 660, 32768
2026-08-24T11:53:04+08:00,16, 660, 32768
2026-08-24T11:53:14+08:00,16, 660, 32768
2026-08-24T11:53:24+08:00,15, 660, 32768
2026-08-24T11:53:34+08:00,15, 660, 32768
2026-08-24T11:53:44+08:00,16, 660, 32768
2026-08-24T11:53:54+08:00,14, 660, 32768
2026-08-24T11:54:04+08:00,15, 660, 32768
2026-08-24T11:54:14+08:00,12, 660, 32768
2026-08-24T11:54:24+08:00,15, 660, 32768
2026-08-24T11:54:34+08:00,18, 660, 32768
2026-08-24T11:54:44+08:00,15, 660, 32768
2026-08-24T11:54:54+08:00,16, 660, 32768
2026-08-24T11:55:04+08:00,15, 660, 32768
2026-08-24T11:55:14+08:00,15, 660, 32768
2026-08-24T11:55:24+08:00,14, 660, 32768
2026-08-24T11:55:34+08:00,14, 660, 32768
2026-08-24T11:55:44+08:00,15, 660, 32768
2026-08-24T11:55:54+08:00,13, 660, 32768
2026-08-24T11:56:04+08:00,16, 660, 32768
2026-08-24T11:56:14+08:00,14, 660, 32768
2026-08-24T11:56:24+08:00,14, 660, 32768
2026-08-24T11:56:34+08:00,15, 660, 32768
2026-08-24T11:56:44+08:00,14, 660, 32768
2026-08-24T11:56:54+08:00,12, 660, 32768
2026-08-24T11:57:04+08:00,16, 660, 32768
2026-08-24T11:57:14+08:00,15, 660, 32768
2026-08-24T11:57:24+08:00,14, 660, 32768
2026-08-24T11:57:34+08:00,17, 660, 32768
2026-08-24T11:57:45+08:00,16, 660, 32768
2026-08-24T11:57:55+08:00,13, 660, 32768
2026-08-24T11:58:05+08:00,18, 660, 32768
2026-08-24T11:58:15+08:00,16, 660, 32768
2026-08-24T11:58:25+08:00,16, 660, 32768
2026-08-24T11:58:35+08:00,16, 660, 32768
2026-08-24T11:58:45+08:00,16, 660, 32768
2026-08-24T11:58:55+08:00,17, 660, 32768
2026-08-24T11:59:05+08:00,15, 660, 32768
2026-08-24T11:59:15+08:00,15, 660, 32768
2026-08-24T11:59:25+08:00,18, 660, 32768
2026-08-24T11:59:35+08:00,17, 660, 32768
2026-08-24T11:59:45+08:00,12, 660, 32768
2026-08-24T11:59:55+08:00,15, 660, 32768
2026-08-24T12:00:05+08:00,17, 660, 32768
2026-08-24T12:00:15+08:00,10, 660, 32768
2026-08-24T12:00:25+08:00,15, 660, 32768
2026-08-24T12:00:35+08:00,13, 660, 32768
2026-08-24T12:00:45+08:00,15, 660, 32768
2026-08-24T12:00:55+08:00,17, 660, 32768
2026-08-24T12:01:05+08:00,15, 660, 32768
2026-08-24T12:01:15+08:00,14, 660, 32768
2026-08-24T12:01:25+08:00,15, 660, 32768
2026-08-24T12:01:35+08:00,12, 660, 32768
2026-08-24T12:01:45+08:00,15, 660, 32768
2026-08-24T12:01:55+08:00,16, 660, 32768
2026-08-24T12:02:05+08:00,15, 660, 32768
2026-08-24T12:02:15+08:00,11, 660, 32768
2026-08-24T12:02:25+08:00,15, 660, 32768
2026-08-24T12:02:35+08:00,15, 660, 32768
2026-08-24T12:02:45+08:00,14, 660, 32768
2026-08-24T12:02:55+08:00,12, 660, 32768
2026-08-24T12:03:05+08:00,17, 660, 32768
2026-08-24T12:03:15+08:00,16, 660, 32768
2026-08-24T12:03:25+08:00,14, 660, 32768
2026-08-24T12:03:35+08:00,14, 660, 32768
2026-08-24T12:03:45+08:00,15, 660, 32768
2026-08-24T12:03:56+08:00,15, 660, 32768
2026-08-24T12:04:06+08:00,9, 660, 32768
2026-08-24T12:04:16+08:00,15, 660, 32768
2026-08-24T12:04:26+08:00,14, 660, 32768
2026-08-24T12:04:36+08:00,16, 660, 32768
2026-08-24T12:04:46+08:00,12, 660, 32768
2026-08-24T12:04:56+08:00,16, 660, 32768
2026-08-24T12:05:06+08:00,16, 660, 32768
2026-08-24T12:05:16+08:00,16, 660, 32768
2026-08-24T12:05:26+08:00,15, 660, 32768
2026-08-24T12:05:36+08:00,12, 660, 32768
2026-08-24T12:05:46+08:00,15, 660, 32768
2026-08-24T12:05:56+08:00,16, 660, 32768
2026-08-24T12:06:06+08:00,12, 660, 32768
2026-08-24T12:06:16+08:00,15, 660, 32768
2026-08-24T12:06:26+08:00,14, 660, 32768
2026-08-24T12:06:36+08:00,12, 660, 32768
2026-08-24T12:06:46+08:00,16, 660, 32768
2026-08-24T12:06:56+08:00,17, 660, 32768
2026-08-24T12:07:06+08:00,15, 660, 32768
2026-08-24T12:07:16+08:00,16, 660, 32768
2026-08-24T12:07:26+08:00,15, 660, 32768
2026-08-24T12:07:36+08:00,15, 660, 32768
2026-08-24T12:07:46+08:00,11, 660, 32768
2026-08-24T12:07:56+08:00,15, 660, 32768
2026-08-24T12:08:06+08:00,15, 660, 32768
2026-08-24T12:08:16+08:00,15, 660, 32768
2026-08-24T12:08:26+08:00,15, 660, 32768
2026-08-24T12:08:36+08:00,12, 660, 32768
2026-08-24T12:08:46+08:00,14, 660, 32768
2026-08-24T12:08:56+08:00,14, 660, 32768
2026-08-24T12:09:06+08:00,14, 660, 32768
2026-08-24T12:09:16+08:00,13, 660, 32768
2026-08-24T12:09:26+08:00,15, 660, 32768
2026-08-24T12:09:36+08:00,16, 660, 32768
2026-08-24T12:09:47+08:00,11, 660, 32768
2026-08-24T12:09:57+08:00,16, 660, 32768
2026-08-24T12:10:07+08:00,16, 660, 32768
2026-08-24T12:10:17+08:00,18, 660, 32768
2026-08-24T12:10:27+08:00,16, 660, 32768
2026-08-24T12:10:37+08:00,20, 660, 32768
2026-08-24T12:10:47+08:00,16, 660, 32768
2026-08-24T12:10:57+08:00,15, 660, 32768
2026-08-24T12:11:07+08:00,16, 660, 32768
2026-08-24T12:11:17+08:00,17, 660, 32768
2026-08-24T12:11:27+08:00,14, 660, 32768
2026-08-24T12:11:37+08:00,17, 660, 32768
2026-08-24T12:11:47+08:00,10, 660, 32768
2026-08-24T12:11:57+08:00,13, 660, 32768
2026-08-24T12:12:07+08:00,15, 660, 32768
2026-08-24T12:12:17+08:00,14, 660, 32768
2026-08-24T12:12:27+08:00,15, 660, 32768
2026-08-24T12:12:37+08:00,13, 660, 32768
2026-08-24T12:12:47+08:00,16, 660, 32768
2026-08-24T12:12:57+08:00,10, 660, 32768
2026-08-24T12:13:07+08:00,10, 660, 32768
2026-08-24T12:13:17+08:00,14, 660, 32768
2026-08-24T12:13:27+08:00,12, 660, 32768
2026-08-24T12:13:37+08:00,9, 660, 32768
2026-08-24T12:13:47+08:00,12, 660, 32768
2026-08-24T12:13:57+08:00,18, 660, 32768
2026-08-24T12:14:07+08:00,17, 660, 32768
2026-08-24T12:14:17+08:00,15, 660, 32768
2026-08-24T12:14:27+08:00,17, 660, 32768
2026-08-24T12:14:37+08:00,15, 660, 32768
2026-08-24T12:14:47+08:00,15, 660, 32768
2026-08-24T12:14:57+08:00,13, 660, 32768
2026-08-24T12:15:07+08:00,15, 660, 32768
2026-08-24T12:15:17+08:00,16, 660, 32768
2026-08-24T12:15:27+08:00,16, 660, 32768
2026-08-24T12:15:37+08:00,8, 660, 32768
2026-08-24T12:15:47+08:00,16, 660, 32768
2026-08-24T12:15:58+08:00,15, 660, 32768
2026-08-24T12:16:08+08:00,15, 660, 32768
2026-08-24T12:16:18+08:00,15, 660, 32768
2026-08-24T12:16:28+08:00,12, 660, 32768
2026-08-24T12:16:38+08:00,0, 5, 32768
