timestamp_iso,gpu_util_percent,memory_used_MiB,memory_total_MiB
2026-08-24T17:08:43+08:00,0, 5, 32768
2026-08-24T17:08:53+08:00,6, 574, 32768
2026-08-24T17:09:03+08:00,11, 576, 32768
2026-08-24T17:09:13+08:00,11, 474, 32768
2026-08-24T17:09:23+08:00,11, 474, 32768
2026-08-24T17:09:33+08:00,11, 474, 32768
2026-08-24T17:09:43+08:00,11, 474, 32768
2026-08-24T17:09:53+08:00,11, 474, 32768
2026-08-24T17:10:03+08:00,11, 474, 32768
2026-08-24T17:10:13+08:00,10, 474, 32768
2026-08-24T17:10:23+08:00,11, 474, 32768
2026-08-24T17:10:33+08:00,11, 474, 32768
2026-08-24T17:10:43+08:00,11, 474, 32768
2026-08-24T17:10:53+08:00,10, 474, 32768
2026-08-24T17:11:03+08:00,11, 474, 32768
2026-08-24T17:11:13+08:00,11, 474, 32768
2026-08-24T17:11:23+08:00,11, 474, 32768
2026-08-24T17:11:33+08:00,11, 474, 32768
2026-08-24T17:11:43+08:00,11, 474, 32768
2026-08-24T17:11:53+08:00,10, 474, 32768
2026-08-24T17:12:03+08:00,11, 474, 32768
2026-08-24T17:12:13+08:00,11, 474, 32768
2026-08-24T17:12:23+08:00,11, 474, 32768
2026-08-24T17:12:33+08:00,11, 474, 32768
2026-08-24T17:12:43+08:00,11, 474, 32768
2026-08-24T17:12:53+08:00,11, 474, 32768
2026-08-24T17:13:03+08:00,11, 474, 32768
2026-08-24T17:13:13+08:00,11, 474, 32768
2026-08-24T17:13:23+08:00,11, 474, 32768
2026-08-24T17:13:33+08:00,11, 474, 32768
2026-08-24T17:13:43+08:00,11, 474, 32768
2026-08-24T17:13:53+08:00,10, 474, 32768
2026-08-24T17:14:03+08:00,11, 474, 32768
2026-08-24T17:14:14+08:00,11, 474, 32768
2026-08-24T17:14:24+08:00,11, 474, 32768
2026-08-24T17:14:34+08:00,11, 474, 32768
2026-08-24T17:14:44+08:00,11, 474, 32768
2026-08-24T17:14:54+08:00,11, 474, 32768
2026-08-24T17:15:04+08:00,10, 474, 32768
2026-08-24T17:15:14+08:00,8, 474, 32768
2026-08-24T17:15:24+08:00,10, 474, 32768
2026-08-24T17:15:34+08:00,10, 474, 32768
2026-08-24T17:15:44+08:00,10, 474, 32768
2026-08-24T17:15:54+08:00,10, 474, 32768
2026-08-24T17:16:04+08:00,10, 474, 32768
2026-08-24T17:16:14+08:00,10, 474, 32768
2026-08-24T17:16:24+08:00,11, 474, 32768
2026-08-24T17:16:34+08:00,11, 474, 32768
2026-08-24T17:16:44+08:00,10, 474, 32768
2026-08-24T17:16:54+08:00,9, 474, 32768
2026-08-24T17:17:04+08:00,10, 474, 32768
2026-08-24T17:17:14+08:00,11, 474, 32768
2026-08-24T17:17:24+08:00,10, 474, 32768
2026-08-24T17:17:34+08:00,9, 474, 32768
2026-08-24T17:17:44+08:00,10, 474, 32768
2026-08-24T17:17:54+08:00,9, 474, 32768
2026-08-24T17:18:04+08:00,9, 474, 32768
2026-08-24T17:18:14+08:00,9, 474, 32768
2026-08-24T17:18:24+08:00,9, 474, 32768
2026-08-24T17:18:34+08:00,8, 474, 32768
2026-08-24T17:18:44+08:00,8, 474, 32768
2026-08-24T17:18:54+08:00,9, 474, 32768
2026-08-24T17:19:04+08:00,10, 474, 32768
2026-08-24T17:19:14+08:00,8, 474, 32768
2026-08-24T17:19:24+08:00,9, 474, 32768
2026-08-24T17:19:34+08:00,9, 474, 32768
2026-08-24T17:19:44+08:00,10, 474, 32768
2026-08-24T17:19:55+08:00,11, 474, 32768
2026-08-24T17:20:05+08:00,10, 474, 32768
2026-08-24T17:20:15+08:00,10, 474, 32768
2026-08-24T17:20:25+08:00,7, 474, 32768
