feature_family,router_fit,evaluation_set,n_configurations,n_atoms,router_threshold,activation_fraction,positive_utility_retention,target_delta_tension_squared_coverage
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.34424162501381605,0.049879807692307696,0.12843907912213245,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.34424162501381605,0.051432291666666664,0.15700870837198044,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.34424162501381605,1.0,1.0,1.0
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.34424162501381605,1.0,1.0,1.0
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.34424162501381605,0.9999126484975541,0.9998710860356574,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.34424162501381605,1.0,1.0,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.34424162501381605,1.0,1.0,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.34424162501381605,0.9997194163860831,0.9997343571088998,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.6249599631571664,0.049879807692307696,0.17849386299375333,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.6249599631571664,0.041666666666666664,0.09910808123761372,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.6249599631571664,0.13958333333333334,0.19010301763369752,0.11426537466513664
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.6249599631571664,0.13958333333333334,0.19010301763369752,0.11426537466513664
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.6249599631571664,0.14364954577218728,0.26599893735383884,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.6249599631571664,0.06271043771043772,0.14670467766388362,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.6249599631571664,0.14282407407407408,0.2361012127727548,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.6249599631571664,0.2255892255892256,0.3225329948059185,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.5694699693019025,0.049879807692307696,0.09751326846895109,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.5694699693019025,0.046875,0.10757244143253855,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.5694699693019025,0.034027777777777775,0.038044786522431186,0.004979077778651377
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.5694699693019025,0.034027777777777775,0.038044786522431186,0.004979077778651377
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.5694699693019025,0.03677498252969951,0.049874692113487246,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.5694699693019025,0.009960718294051627,0.0173812030711448,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.5694699693019025,0.03888888888888889,0.04684886676253196,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.5694699693019025,0.06102693602693603,0.061266613224314835,
