feature_family,held_support_configuration,n_training_support_configurations,n_held_bonds,router_threshold,router_transition_end,harmonic_calibration_activation_fraction,held_support_tension_squared_coverage,held_support_positive_utility_retention,held_support_remaining_repair_tension_squared_coverage,held_support_active_bond_fraction,tension_weighted_R2,tension_sign_accuracy_abs_ge_threshold,n_tension_sign_bonds
mace_invariants,94,8,108,0.6564821976577678,0.7564821976577678,0.049879807692307696,0.23719575401139897,0.2849360902117959,0.14232182858682574,0.24074074074074073,-2.5389715044179577,0.0,1
mace_invariants,65,8,108,0.6539687473509345,0.7539687473509344,0.049879807692307696,0.1913087813258393,0.29448323195902243,0.25059330511464206,0.17592592592592593,0.08734243458938007,0.6666666666666666,12
mace_invariants,87,8,108,0.6546745674348857,0.7546745674348857,0.049879807692307696,0.3906664577279544,0.22215701047225245,0.2209728063136324,0.3148148148148148,0.0823516043940683,0.4,10
mace_invariants,272,8,108,0.6513202737368325,0.7513202737368325,0.049879807692307696,0.28086329450433883,0.34656616332802,0.22410303840771367,0.28703703703703703,-0.7385262395504792,0.5,8
mace_invariants,216,8,108,0.6534822898628183,0.7534822898628183,0.049879807692307696,0.21290959883024504,0.38614910432286287,0.36425016097382307,0.1574074074074074,-6.3249058688447635,0.46153846153846156,13
mace_invariants,99,8,108,0.6544662006118689,0.7544662006118689,0.049879807692307696,0.24304832925573522,0.22929010954509998,0.06010835538227605,0.25925925925925924,0.3456811800539564,0.6470588235294118,17
mace_invariants,20,8,108,0.6543958675006132,0.7543958675006132,0.049879807692307696,0.3160229824542657,0.20575286238714408,0.22201261916950019,0.3148148148148148,-10.483935146052572,0.5925925925925926,27
mace_invariants,6,8,108,0.6524038753241663,0.7524038753241663,0.049879807692307696,0.32277977426740584,0.24160476659692348,0.34411863202409426,0.32407407407407407,-1.437227814639635,0.3,10
mace_invariants,203,8,108,0.650990242586641,0.7509902425866409,0.049879807692307696,0.3044035858946617,0.5372938427071778,0.16732281502962268,0.2962962962962963,-0.6687472509162808,0.6666666666666666,3
geometry_control,94,8,108,0.6268074855418904,0.7268074855418903,0.049879807692307696,0.16655543487092928,0.1873267264468204,0.09312509662046571,0.12962962962962962,-1.346742942303206,1.0,1
geometry_control,65,8,108,0.6252718120748928,0.7252718120748928,0.049879807692307696,0.09559955357902421,0.201676857196844,0.05567367157967052,0.06481481481481481,0.5537278575515568,0.8,5
geometry_control,87,8,108,0.6266128531070333,0.7266128531070333,0.049879807692307696,0.3812824320033733,0.3348618645952055,0.24632831231805474,0.3148148148148148,-0.2131211421719974,0.5833333333333334,12
geometry_control,272,8,108,0.6244465170907872,0.7244465170907872,0.049879807692307696,0.23155127312688098,0.1615478927335987,0.12827427155107063,0.18518518518518517,-2.8958868676010923,0.6,5
geometry_control,216,8,108,0.630838702025013,0.730838702025013,0.049879807692307696,0.21602386938826687,0.4160633988486105,0.3703602704433796,0.1574074074074074,-1.9355373427332827,0.5714285714285714,14
geometry_control,99,8,108,0.6318875865462121,0.7318875865462121,0.049879807692307696,0.25775768584763437,0.17402095794920125,0.06752063399953256,0.2222222222222222,0.4906193842239446,0.4375,16
geometry_control,20,8,108,0.6312784011439843,0.7312784011439842,0.049879807692307696,0.27596499933218,0.23040409565412392,0.16774088162347256,0.24074074074074073,-9.555049438037772,0.5,24
geometry_control,6,8,108,0.6247647925284906,0.7247647925284906,0.049879807692307696,0.23758972153623178,0.27792547285881847,0.3337335757646539,0.21296296296296297,-0.018044061987348536,0.42857142857142855,14
geometry_control,203,8,108,0.6240620682138445,0.7240620682138444,0.049879807692307696,0.31301820840765887,0.4605787396327047,0.28086629649101574,0.26851851851851855,-0.3442537626370241,0.8181818181818182,11
bond_length_control,94,8,108,0.5688657644571326,0.6688657644571325,0.049879807692307696,0.03320244413904657,0.0690973796464753,0.024876247140860935,0.037037037037037035,-0.43160963456657564,nan,0
bond_length_control,65,8,108,0.5670879813714752,0.6670879813714752,0.049879807692307696,0.03771196695441813,0.061650208841723564,0.03190053418965811,0.018518518518518517,-0.9291288426917264,nan,0
bond_length_control,87,8,108,0.5691626879912758,0.6691626879912758,0.049879807692307696,0.03266759725857191,0.14363138426009028,0.012917999378473882,0.046296296296296294,-11.265820710593156,nan,0
bond_length_control,272,8,108,0.5692391655686346,0.6692391655686346,0.049879807692307696,0.029893758718112864,0.15593032838773915,0.03753702900833253,0.046296296296296294,-1.0507902280160732,nan,0
bond_length_control,216,8,108,0.5655274531277208,0.6655274531277208,0.049879807692307696,0.007828541167009572,0.05977218691023862,0.005822077709752966,0.018518518518518517,-2.4667993796288745,nan,0
bond_length_control,99,8,108,0.566918278356306,0.666918278356306,0.049879807692307696,0.007427927447586326,0.047825149146353586,0.0009179973294040859,0.018518518518518517,-0.18001802730349126,nan,0
bond_length_control,20,8,108,0.5682616581922364,0.6682616581922364,0.049879807692307696,0.06411629887538686,0.039819368963727654,0.05341375840288679,0.07407407407407407,-109.04275202451728,nan,0
bond_length_control,6,8,108,0.5690597545691363,0.6690597545691362,0.049879807692307696,0.03988785804559906,0.15235080991177394,0.04580192420073929,0.037037037037037035,-3.402577640806613,nan,0
bond_length_control,203,8,108,0.5700325325637331,0.6700325325637331,0.049879807692307696,0.003774442559769813,0.06892029703333617,0.0074296502404511775,0.018518518518518517,-1.252684837772931,nan,0
