feature_family,router_fit,evaluation_set,n_configurations,n_atoms,router_threshold,activation_fraction,positive_utility_retention,target_delta_tension_squared_coverage
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.6529863927086409,0.049879807692307696,0.15649562871349929,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.6529863927086409,0.048828125,0.1606582948048938,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.6529863927086409,0.16458333333333333,0.24035761545078585,0.11388667412965257
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.6529863927086409,0.16458333333333333,0.24035761545078585,0.11388667412965257
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.6529863927086409,0.1696802935010482,0.3421287330606826,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.6529863927086409,0.05260942760942761,0.14624816148771833,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.6529863927086409,0.16724537037037038,0.2943995737692397,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.6529863927086409,0.28970258136924804,0.4338904175217568,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.6249598592018425,0.049879807692307696,0.17849382108527148,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.6249598592018425,0.041666666666666664,0.0991080714028869,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.6249598592018425,0.13958333333333334,0.19010301958637257,0.11426537466513664
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.6249598592018425,0.13958333333333334,0.19010301958637257,0.11426537466513664
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.6249598592018425,0.14364954577218728,0.265998937159237,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.6249598592018425,0.06271043771043772,0.14670467837735512,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.6249598592018425,0.14282407407407408,0.23610121176241333,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.6249598592018425,0.2255892255892256,0.3225329950718628,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.5694699322629043,0.049879807692307696,0.09751326904451885,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.5694699322629043,0.046875,0.10757250932788522,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.5694699322629043,0.034027777777777775,0.03804478654543108,0.004979077778651381
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.5694699322629043,0.034027777777777775,0.03804478654543108,0.004979077778651381
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.5694699322629043,0.03677498252969951,0.049874691814158864,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.5694699322629043,0.009960718294051627,0.017381203032896447,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.5694699322629043,0.03888888888888889,0.0468488660009051,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.5694699322629043,0.06102693602693603,0.061266613237284356,
