feature_family,held_support_configuration,n_training_support_configurations,n_held_bonds,router_threshold,router_transition_end,harmonic_calibration_activation_fraction,held_support_tension_squared_coverage,held_support_positive_utility_retention,held_support_remaining_repair_tension_squared_coverage,held_support_active_bond_fraction,tension_weighted_R2,tension_sign_accuracy_abs_ge_threshold,n_tension_sign_bonds
mace_invariants,94,8,108,0.6564817556812813,0.7564817556812813,0.049879807692307696,0.23719575401139895,0.2849360897624922,0.1423221793350975,0.24074074074074073,-2.5390523969381245,0.0,1
mace_invariants,65,8,108,0.6539711107205584,0.7539711107205583,0.049879807692307696,0.19130878132583945,0.2944832286715501,0.2505933015181701,0.17592592592592593,0.08728750309312217,0.6666666666666666,12
mace_invariants,87,8,108,0.6546716994367757,0.7546716994367757,0.049879807692307696,0.3906664577279543,0.22215700259216217,0.22097344003722297,0.3148148148148148,0.08223550555137082,0.4,10
mace_invariants,272,8,108,0.6513144519701637,0.7513144519701637,0.049879807692307696,0.28086329450433883,0.3465661713539642,0.22410194753405266,0.28703703703703703,-0.7381726381873976,0.5,8
mace_invariants,216,8,108,0.6534791603251748,0.7534791603251748,0.049879807692307696,0.21290959883024493,0.3861490919051491,0.3642508638325088,0.1574074074074074,-6.3243051579799605,0.46153846153846156,13
mace_invariants,99,8,108,0.6544688260012081,0.7544688260012081,0.049879807692307696,0.24304832925573516,0.2292901184579805,0.06010820092752812,0.25925925925925924,0.345689635915156,0.6470588235294118,17
mace_invariants,20,8,108,0.6543959610981489,0.7543959610981489,0.049879807692307696,0.31602298245426574,0.20575286682693827,0.22201260594613031,0.3148148148148148,-10.483635088373351,0.5925925925925926,27
mace_invariants,6,8,108,0.6524002040655141,0.7524002040655141,0.049879807692307696,0.32277977426740617,0.24160476941553877,0.34411764717818333,0.32407407407407407,-1.4371238163298652,0.3,10
mace_invariants,203,8,108,0.6509964683976006,0.7509964683976006,0.049879807692307696,0.304403585894662,0.5372938438848467,0.16732289576606424,0.2962962962962963,-0.6688981071341409,0.6666666666666666,3
geometry_control,94,8,108,0.6268074343834319,0.7268074343834319,0.049879807692307696,0.16655543487092928,0.1873267253054384,0.09312586188495589,0.12962962962962962,-1.3467416613909142,1.0,1
geometry_control,65,8,108,0.6252717615145132,0.7252717615145132,0.049879807692307696,0.09559955357902436,0.20167685308712005,0.05567376661697535,0.06481481481481481,0.5537209196533994,0.8,5
geometry_control,87,8,108,0.6266129941119185,0.7266129941119185,0.049879807692307696,0.38128243200337303,0.3348618587242212,0.2463289522792515,0.3148148148148148,-0.2131377948755897,0.5833333333333334,12
geometry_control,272,8,108,0.6244465340235342,0.7244465340235342,0.049879807692307696,0.23155127312688112,0.16154789737782912,0.12827313239775223,0.18518518518518517,-2.895903394553517,0.6,5
geometry_control,216,8,108,0.6308387413741313,0.7308387413741313,0.049879807692307696,0.21602386938826684,0.4160633899747971,0.37036078755863777,0.1574074074074074,-1.9355088405185152,0.5714285714285714,14
geometry_control,99,8,108,0.6318877244334831,0.731887724433483,0.049879807692307696,0.2577576858476343,0.17402096545133458,0.06752061813145656,0.2222222222222222,0.4906200999724869,0.4375,16
geometry_control,20,8,108,0.6312784089845999,0.7312784089845998,0.049879807692307696,0.27596499933218,0.23040409687611876,0.16774073595756336,0.24074074074074073,-9.554927201648255,0.5,24
geometry_control,6,8,108,0.6247648011975699,0.7247648011975699,0.049879807692307696,0.2375897215362319,0.2779254738040312,0.3337331003214951,0.21296296296296297,-0.018062011714893966,0.42857142857142855,14
geometry_control,203,8,108,0.6240621077969748,0.7240621077969748,0.049879807692307696,0.31301820840765904,0.4605787396196516,0.2808665747787588,0.26851851851851855,-0.3442343189796755,0.8181818181818182,11
bond_length_control,94,8,108,0.5688657490944803,0.6688657490944803,0.049879807692307696,0.03320244413904658,0.06909738282224746,0.024876176212593384,0.037037037037037035,-0.43159967543642597,nan,0
bond_length_control,65,8,108,0.5670879074843038,0.6670879074843038,0.049879807692307696,0.037711966954418266,0.0616502065430083,0.03190028110078055,0.018518518518518517,-0.9291234392678949,nan,0
bond_length_control,87,8,108,0.5691626735755225,0.6691626735755225,0.049879807692307696,0.03266759725857188,0.14363138741729828,0.012918200471920424,0.046296296296296294,-11.265733331764451,nan,0
bond_length_control,272,8,108,0.5692391504207763,0.6692391504207763,0.049879807692307696,0.029893758718112857,0.15593033346771268,0.03753721267575159,0.046296296296296294,-1.0508577421218086,nan,0
bond_length_control,216,8,108,0.5655274459352614,0.6655274459352614,0.049879807692307696,0.007828541167009522,0.05977218555186888,0.0058220815247152806,0.018518518518518517,-2.4668008558298222,nan,0
bond_length_control,99,8,108,0.5669182693061876,0.6669182693061876,0.049879807692307696,0.007427927447586275,0.047825154333335604,0.0009179888087961707,0.018518518518518517,-0.1800285577491858,nan,0
bond_length_control,20,8,108,0.5682616527952098,0.6682616527952098,0.049879807692307696,0.06411629887538682,0.03981937000637026,0.053413688620210356,0.07407407407407407,-109.04259480735963,nan,0
bond_length_control,6,8,108,0.569059748975388,0.669059748975388,0.049879807692307696,0.03988785804559905,0.1523508084975719,0.04580187436317065,0.037037037037037035,-3.402691679867779,nan,0
bond_length_control,203,8,108,0.5700325160606466,0.6700325160606466,0.049879807692307696,0.0037744425597698215,0.06892030061889998,0.007429624300441033,0.018518518518518517,-1.2526942305641295,nan,0
