feature_family,router_fit,evaluation_set,n_configurations,n_atoms,router_threshold,activation_fraction,positive_utility_retention,target_delta_tension_squared_coverage
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.6379077874618642,0.049879807692307696,0.10940739719443708,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.6379077874618642,0.039713541666666664,0.11587899485977793,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.6379077874618642,0.12569444444444444,0.2038516346582042,0.08372557344117168
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.6379077874618642,0.12569444444444444,0.2038516346582042,0.08372557344117168
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.6379077874618642,0.13176974143955275,0.25560092379537175,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.6379077874618642,0.038159371492704826,0.10399168411790162,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.6379077874618642,0.12939814814814815,0.22243929671165819,
mace_invariants,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.6379077874618642,0.2282547699214366,0.32366373332075415,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.6249598568390834,0.049879807692307696,0.17849376166951583,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.6249598568390834,0.041666666666666664,0.0991081172800111,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.6249598568390834,0.13958333333333334,0.19010301784108885,0.11426537466513664
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.6249598568390834,0.13958333333333334,0.19010301784108885,0.11426537466513664
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.6249598568390834,0.14364954577218728,0.2659989370580481,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.6249598568390834,0.06271043771043772,0.14670467923713934,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.6249598568390834,0.14282407407407408,0.23610121209654558,
geometry_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.6249598568390834,0.2255892255892256,0.32253299433804195,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_calibration,13,1664,0.5694699516989108,0.049879807692307696,0.09751325614860135,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",harmonic_external,12,1536,0.5694699516989108,0.046875,0.10757247354135259,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_all,20,1440,0.5694699516989108,0.034027777777777775,0.03804478593524805,0.004979077778651381
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",fixed_smearing_external_T450K,20,1440,0.5694699516989108,0.034027777777777775,0.03804478593524805,0.004979077778651381
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_all,318,22896,0.5694699516989108,0.03677498252969951,0.04987469185123885,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T300K,99,7128,0.5694699516989108,0.009960718294051627,0.017381203051082695,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T450K,120,8640,0.5694699516989108,0.03888888888888889,0.046848866205323254,
bond_length_control,"utility labels from E50 fixed-smearing seeds0+1, harmonic train, and support9",legacy_mixed_smearing_T600K,99,7128,0.5694699516989108,0.06102693602693603,0.06126661314087305,
