feature_family,held_support_configuration,n_training_support_configurations,n_held_bonds,router_threshold,router_transition_end,harmonic_calibration_activation_fraction,held_support_tension_squared_coverage,held_support_positive_utility_retention,held_support_remaining_repair_tension_squared_coverage,held_support_active_bond_fraction,tension_weighted_R2,tension_sign_accuracy_abs_ge_threshold,n_tension_sign_bonds
mace_invariants,94,8,108,0.7210808613790065,0.8210808613790065,0.049879807692307696,0.17459509740783838,0.21439675956519194,0.11224087149916592,0.16666666666666666,-15.960389624246318,0.0,2
mace_invariants,65,8,108,0.7265650694620344,0.8265650694620343,0.049879807692307696,0.16628248357445918,0.21481820360484544,0.24055492079285046,0.14814814814814814,-0.5065425121718401,0.4444444444444444,9
mace_invariants,87,8,108,0.7290471475433254,0.8290471475433254,0.049879807692307696,0.21037778931741402,0.20169102559794405,0.09844866656992339,0.16666666666666666,0.035985184239519796,0.6666666666666666,3
mace_invariants,272,8,108,0.7270269633388671,0.827026963338867,0.049879807692307696,0.32223654744606256,0.21733552133612716,0.284541751751352,0.35185185185185186,-7.42961595022169,0.14285714285714285,7
mace_invariants,216,8,108,0.7273445076930718,0.8273445076930718,0.049879807692307696,0.0692729074097292,0.028887996888018717,0.05923266717582024,0.09259259259259259,-13.45681616763597,0.45454545454545453,11
mace_invariants,99,8,108,0.7275819484463323,0.8275819484463323,0.049879807692307696,0.18379008854927453,0.1539635279298053,0.03301061325015032,0.19444444444444445,-0.179067312900123,0.5,14
mace_invariants,20,8,108,0.7247224032569484,0.8247224032569483,0.049879807692307696,0.2495430757299872,0.22752903320695952,0.1981462716199405,0.25925925925925924,-14.742937001556266,0.35714285714285715,28
mace_invariants,6,8,108,0.7202449446144363,0.8202449446144363,0.049879807692307696,0.3247020424029297,0.1586275155250507,0.21411528486012946,0.2962962962962963,-4.110743822419208,0.5384615384615384,13
mace_invariants,203,8,108,0.7261357359216376,0.8261357359216376,0.049879807692307696,0.2377835730969523,0.23475136050264808,0.1639596853123575,0.23148148148148148,-1.8979952883584037,0.6,5
geometry_control,94,8,108,0.7093670850295455,0.8093670850295455,0.049879807692307696,0.1992145914976066,0.17661676343967353,0.0709746898563217,0.16666666666666666,-5.90726817606648,0.0,1
geometry_control,65,8,108,0.7104183019649406,0.8104183019649406,0.049879807692307696,0.08132468121948845,0.09464158285295482,0.05567352589380185,0.05555555555555555,-0.6854746878155726,0.5,2
geometry_control,87,8,108,0.7093946457344316,0.8093946457344315,0.049879807692307696,0.35571321529367783,0.3101153216939572,0.1686405789579284,0.2777777777777778,-0.06042322397532174,0.5833333333333334,12
geometry_control,272,8,108,0.7116076701000662,0.8116076701000662,0.049879807692307696,0.11167121617162838,0.14664902372492333,0.09659946342731386,0.09259259259259259,-2.491515456433404,1.0,3
geometry_control,216,8,108,0.7161819468084722,0.8161819468084722,0.049879807692307696,0.1824745306213195,0.33918456904201055,0.3223184079793992,0.1111111111111111,-3.583342104149046,0.5714285714285714,14
geometry_control,99,8,108,0.7129824528579742,0.8129824528579742,0.049879807692307696,0.23943134379663084,0.16698758501115024,0.039194534227220676,0.19444444444444445,0.29682146258946396,0.7692307692307693,13
geometry_control,20,8,108,0.7107722822005328,0.8107722822005328,0.049879807692307696,0.2640396959252583,0.16009495217396202,0.144995339229024,0.2222222222222222,-39.5396157358688,0.48148148148148145,27
geometry_control,6,8,108,0.7092555652966503,0.8092555652966503,0.049879807692307696,0.14279709580465977,0.1423700787147303,0.12272728094714427,0.1111111111111111,-10.543569652718396,0.6666666666666666,6
geometry_control,203,8,108,0.7112178145468746,0.8112178145468746,0.049879807692307696,0.18101476892198118,0.21512361159204665,0.09818347662509254,0.12962962962962962,-1.6486039122075127,1.0,2
bond_length_control,94,8,108,0.6859197792848324,0.7859197792848324,0.049879807692307696,0.04640489217408323,0.10534795618600347,0.02871580828428113,0.046296296296296294,-0.21941849963825533,nan,0
bond_length_control,65,8,108,0.6858347123962729,0.7858347123962729,0.049879807692307696,0.04001358963702986,0.05806346406205699,0.03530245475634284,0.018518518518518517,-0.401785175784684,nan,0
bond_length_control,87,8,108,0.6863080362424848,0.7863080362424848,0.049879807692307696,0.04366696954200884,0.11349613592639324,0.01988844421488042,0.037037037037037035,-1.9094280218013324,nan,0
bond_length_control,272,8,108,0.6881554696058523,0.7881554696058523,0.049879807692307696,0.026669806464706618,0.058071583059196484,0.023238675104428,0.018518518518518517,-0.5426452063165774,nan,0
bond_length_control,216,8,108,0.686293824712414,0.7862938247124139,0.049879807692307696,0.0391196702211848,0.04497301948664434,0.08367550291513964,0.05555555555555555,-16.292650337673198,nan,0
bond_length_control,99,8,108,0.6893684729333224,0.7893684729333224,0.049879807692307696,0.009643719620913756,0.04769769007879769,0.000107710657668909,0.009259259259259259,-6.293182555996896,nan,0
bond_length_control,20,8,108,0.6863870814859334,0.7863870814859334,0.049879807692307696,0.06290514559941646,0.09988274202327728,0.04129755721942379,0.07407407407407407,-40.64940707061026,nan,0
bond_length_control,6,8,108,0.6863712456090333,0.7863712456090333,0.049879807692307696,0.06473624881387134,0.08032821254001962,0.08643805140489964,0.06481481481481481,-9.902015033716339,nan,0
bond_length_control,203,8,108,0.6874222598744318,0.7874222598744318,0.049879807692307696,0.04246548697272869,0.11966880229656555,0.03757404461907977,0.046296296296296294,-9.543904086523899,nan,0
