feature_family,held_support_configuration,n_training_support_configurations,n_held_bonds,router_threshold,router_transition_end,harmonic_calibration_activation_fraction,held_support_tension_squared_coverage,held_support_positive_utility_retention,held_support_remaining_repair_tension_squared_coverage,held_support_active_bond_fraction,tension_weighted_R2,tension_sign_accuracy_abs_ge_threshold,n_tension_sign_bonds
mace_invariants,94,8,108,0.6651250786239875,0.7651250786239875,0.049879807692307696,0.13962242423599464,0.19424099234140488,0.06648237105002838,0.16666666666666666,-1.7880034791171102,nan,0
mace_invariants,65,8,108,0.6664294506888279,0.7664294506888278,0.049879807692307696,0.17025506735555512,0.17378675376247352,0.19425611395304698,0.14814814814814814,-0.325777297731336,0.3333333333333333,9
mace_invariants,87,8,108,0.6642387225794073,0.7642387225794073,0.049879807692307696,0.3034919512408042,0.23094214561583915,0.16113942246428503,0.26851851851851855,0.16705215409003604,0.75,4
mace_invariants,272,8,108,0.6651365525728566,0.7651365525728566,0.049879807692307696,0.29997352752797035,0.31686511036364406,0.3642052933164062,0.32407407407407407,-3.1840265485047876,0.375,8
mace_invariants,216,8,108,0.6695616565504189,0.7695616565504189,0.049879807692307696,0.06422691839253396,0.25569536391109055,0.12545459104878384,0.1111111111111111,-2.7086660161622054,0.5,6
mace_invariants,99,8,108,0.670785274208647,0.770785274208647,0.049879807692307696,0.22055708570423382,0.16422888321114343,0.03613701144295055,0.25,0.42598573430825926,0.38461538461538464,13
mace_invariants,20,8,108,0.6669989883883771,0.7669989883883771,0.049879807692307696,0.2165754718979407,0.20467299384633347,0.15995817932939474,0.23148148148148148,-15.239464573946222,0.25,20
mace_invariants,6,8,108,0.6633834516789933,0.7633834516789932,0.049879807692307696,0.30094164024339304,0.24754322746836818,0.29902395316825875,0.3055555555555556,-0.7412380619603958,0.6363636363636364,11
mace_invariants,203,8,108,0.6643939997273177,0.7643939997273177,0.049879807692307696,0.20378189849662465,0.41427846028686605,0.12425651937710219,0.2222222222222222,-0.4456978853392535,0.5,2
geometry_control,94,8,108,0.6268075620110263,0.7268075620110263,0.049879807692307696,0.16655543487092928,0.18732672847590265,0.09312423427743931,0.12962962962962962,-1.3467164387591173,1.0,1
geometry_control,65,8,108,0.6252718899255204,0.7252718899255204,0.049879807692307696,0.09559955357902421,0.20167685560389112,0.05567378630065787,0.06481481481481481,0.5537263839415942,0.8,5
geometry_control,87,8,108,0.6266128440248567,0.7266128440248567,0.049879807692307696,0.3812824320033733,0.3348618631179131,0.24632886378563335,0.3148148148148148,-0.21312705070958748,0.5833333333333334,12
geometry_control,272,8,108,0.6244464918008872,0.7244464918008872,0.049879807692307696,0.23155127312688098,0.1615478934122406,0.12827375095211754,0.18518518518518517,-2.8958621553734005,0.6,5
geometry_control,216,8,108,0.6308387256325722,0.7308387256325721,0.049879807692307696,0.21602386938826687,0.41606339123180364,0.37036051700267014,0.1574074074074074,-1.9354845362742492,0.5714285714285714,14
geometry_control,99,8,108,0.6318875753181077,0.7318875753181077,0.049879807692307696,0.25775768584763437,0.1740209512779777,0.067520723214998,0.2222222222222222,0.490620690506385,0.4375,16
geometry_control,20,8,108,0.6312784200351347,0.7312784200351347,0.049879807692307696,0.27596499933218,0.23040409382949556,0.1677407979022509,0.24074074074074073,-9.555005712960533,0.5,24
geometry_control,6,8,108,0.624764813211644,0.724764813211644,0.049879807692307696,0.23758972153623178,0.27792547713357957,0.33373267452946426,0.21296296296296297,-0.018047318095160136,0.42857142857142855,14
geometry_control,203,8,108,0.6240620251304333,0.7240620251304333,0.049879807692307696,0.31301820840765887,0.46057874046050573,0.28086608572432775,0.26851851851851855,-0.34425464314676146,0.8181818181818182,11
bond_length_control,94,8,108,0.5688657607670999,0.6688657607670999,0.049879807692307696,0.03320244413904657,0.06909738067042412,0.024876393297811904,0.037037037037037035,-0.43161139498624745,nan,0
bond_length_control,65,8,108,0.5670880264089433,0.6670880264089433,0.049879807692307696,0.03771196695441813,0.06165020902675732,0.03190062640797676,0.018518518518518517,-0.9291107520635897,nan,0
bond_length_control,87,8,108,0.5691626494511319,0.6691626494511319,0.049879807692307696,0.03266759725857191,0.14363138614430063,0.012918114874634712,0.046296296296296294,-11.265616798399241,nan,0
bond_length_control,272,8,108,0.5692391618212272,0.6692391618212272,0.049879807692307696,0.029893758718112864,0.15593032900609502,0.03753737003154085,0.046296296296296294,-1.0508459532096537,nan,0
bond_length_control,216,8,108,0.5655274359342297,0.6655274359342297,0.049879807692307696,0.007828541167009572,0.05977218537932152,0.005822079751825172,0.018518518518518517,-2.466749142024013,nan,0
bond_length_control,99,8,108,0.5669182600890754,0.6669182600890754,0.049879807692307696,0.007427927447586326,0.04782515488346569,0.0009179919518112821,0.018518518518518517,-0.18003213781729355,nan,0
bond_length_control,20,8,108,0.5682616070391737,0.6682616070391737,0.049879807692307696,0.06411629887538686,0.03981936847536582,0.053413769749817555,0.07407407407407407,-109.04328355028217,nan,0
bond_length_control,6,8,108,0.5690597036522835,0.6690597036522835,0.049879807692307696,0.03988785804559906,0.15235081174215387,0.045801795947912935,0.037037037037037035,-3.402644712953933,nan,0
bond_length_control,203,8,108,0.5700324959439065,0.6700324959439065,0.049879807692307696,0.003774442559769813,0.06892029685838877,0.007429701608931508,0.018518518518518517,-1.252683570559519,nan,0
