feature_family,held_support_configuration,n_training_support_configurations,n_held_bonds,router_threshold,router_transition_end,harmonic_calibration_activation_fraction,held_support_tension_squared_coverage,held_support_positive_utility_retention,held_support_remaining_repair_tension_squared_coverage,held_support_active_bond_fraction,tension_weighted_R2,tension_sign_accuracy_abs_ge_threshold,n_tension_sign_bonds
mace_invariants,94,8,108,0.6665156153506401,0.7665156153506401,0.049879807692307696,0.11843524850480676,0.20460123512939468,0.06573026047921415,0.1388888888888889,-1.7893573446593787,nan,0
mace_invariants,65,8,108,0.663607363479213,0.763607363479213,0.049879807692307696,0.17916433821249583,0.17136131731754667,0.19616796284808627,0.1574074074074074,-0.5035713707089842,0.4444444444444444,9
mace_invariants,87,8,108,0.6673154310810194,0.7673154310810194,0.049879807692307696,0.2842541931231634,0.266044958816371,0.1602666066614303,0.25925925925925924,0.13590835302895343,0.75,4
mace_invariants,272,8,108,0.6652373217796257,0.7652373217796257,0.049879807692307696,0.2593723743766678,0.2768975563932897,0.2806971490473986,0.28703703703703703,-4.95979825388656,0.14285714285714285,7
mace_invariants,216,8,108,0.6685404123209324,0.7685404123209324,0.049879807692307696,0.06422691839253396,0.2476196560580758,0.12545437920295885,0.1111111111111111,-4.210388086953233,0.5,6
mace_invariants,99,8,108,0.6719621721605603,0.7719621721605603,0.049879807692307696,0.19721100911366482,0.15025496908968755,0.03177960641391398,0.2222222222222222,0.09079831234049707,0.5384615384615384,13
mace_invariants,20,8,108,0.6666570053138327,0.7666570053138326,0.049879807692307696,0.1913382796367279,0.18447454445255054,0.15028949537821656,0.21296296296296297,-17.75967418505967,0.47368421052631576,19
mace_invariants,6,8,108,0.6630308187562519,0.7630308187562519,0.049879807692307696,0.2923560329504895,0.25873018879385823,0.2990106176371787,0.2962962962962963,-0.3425032943893218,0.8181818181818182,11
mace_invariants,203,8,108,0.6608142132543012,0.7608142132543012,0.049879807692307696,0.22483366676899094,0.43277500974248173,0.1477279572264255,0.25,-0.09982751054013939,1.0,2
geometry_control,94,8,108,0.6268075156621554,0.7268075156621554,0.049879807692307696,0.16655543487092928,0.18732673009772302,0.09312470741377234,0.12962962962962962,-1.3467193861637448,1.0,1
geometry_control,65,8,108,0.6252718428164845,0.7252718428164845,0.049879807692307696,0.09559955357902421,0.20167685895431758,0.05567414357335385,0.06481481481481481,0.5537219404651935,0.8,5
geometry_control,87,8,108,0.6266129252343564,0.7266129252343564,0.049879807692307696,0.3812824320033733,0.33486185983516026,0.24632867746197848,0.3148148148148148,-0.21312748454407693,0.5833333333333334,12
geometry_control,272,8,108,0.6244464651346538,0.7244464651346538,0.049879807692307696,0.23155127312688098,0.16154789161042682,0.12827474997216143,0.18518518518518517,-2.8958666245955067,0.6,5
geometry_control,216,8,108,0.6308387353794858,0.7308387353794857,0.049879807692307696,0.21602386938826687,0.41606339365692124,0.37035992191096123,0.1574074074074074,-1.935473758524299,0.5714285714285714,14
geometry_control,99,8,108,0.6318876584760692,0.7318876584760692,0.049879807692307696,0.25775768584763437,0.1740209567074876,0.06752063127844114,0.2222222222222222,0.49062047492697425,0.4375,16
geometry_control,20,8,108,0.6312784305412463,0.7312784305412463,0.049879807692307696,0.27596499933218,0.23040409599524117,0.16774087377664015,0.24074074074074073,-9.555067059056086,0.5,24
geometry_control,6,8,108,0.6247648231665421,0.7247648231665421,0.049879807692307696,0.23758972153623178,0.2779254774786453,0.3337330276133673,0.21296296296296297,-0.018048088073495006,0.42857142857142855,14
geometry_control,203,8,108,0.6240620926763246,0.7240620926763246,0.049879807692307696,0.31301820840765887,0.46057874093603707,0.2808664052748415,0.26851851851851855,-0.3442670617277652,0.8181818181818182,11
bond_length_control,94,8,108,0.5688657677373066,0.6688657677373065,0.049879807692307696,0.03320244413904657,0.06909738119992624,0.02487631360799325,0.037037037037037035,-0.4316202317272082,nan,0
bond_length_control,65,8,108,0.5670880086754995,0.6670880086754994,0.049879807692307696,0.03771196695441813,0.06165020841587922,0.03190101880272993,0.018518518518518517,-0.9291610311487732,nan,0
bond_length_control,87,8,108,0.5691627019257416,0.6691627019257416,0.049879807692307696,0.03266759725857191,0.14363138470830594,0.012918038236428685,0.046296296296296294,-11.265917168013496,nan,0
bond_length_control,272,8,108,0.5692391709040198,0.6692391709040197,0.049879807692307696,0.029893758718112864,0.15593032652320507,0.03753714472828785,0.046296296296296294,-1.0507988778005726,nan,0
bond_length_control,216,8,108,0.565527452809243,0.665527452809243,0.049879807692307696,0.007828541167009572,0.059772187513801485,0.005822114495864987,0.018518518518518517,-2.4667735570453195,nan,0
bond_length_control,99,8,108,0.5669182767442292,0.6669182767442292,0.049879807692307696,0.007427927447586326,0.04782515206477478,0.000917995663788479,0.018518518518518517,-0.18001444930906763,nan,0
bond_length_control,20,8,108,0.5682616603825963,0.6682616603825963,0.049879807692307696,0.06411629887538686,0.039819368106985414,0.05341384291998814,0.07407407407407407,-109.04346495098875,nan,0
bond_length_control,6,8,108,0.5690597578280832,0.6690597578280831,0.049879807692307696,0.03988785804559906,0.15235081179362736,0.045801932321287674,0.037037037037037035,-3.4025997462607016,nan,0
bond_length_control,203,8,108,0.5700325444891157,0.6700325444891156,0.049879807692307696,0.003774442559769813,0.06892029669884303,0.00742960277095128,0.018518518518518517,-1.252700615737857,nan,0
