feature_family,held_support_configuration,n_training_support_configurations,n_held_bonds,router_threshold,router_transition_end,harmonic_calibration_activation_fraction,held_support_tension_squared_coverage,held_support_positive_utility_retention,held_support_remaining_repair_tension_squared_coverage,held_support_active_bond_fraction,tension_weighted_R2,tension_sign_accuracy_abs_ge_threshold,n_tension_sign_bonds
mace_invariants,94,8,108,0.7741849367321318,0.8741849367321318,0.049879807692307696,0.0225633634283591,0.10639831029597627,0.06240894071538883,0.037037037037037035,-0.6159307351057333,nan,0
mace_invariants,65,8,108,0.7762367556682882,0.8762367556682882,0.049879807692307696,0.049569254561435086,0.03641234105828306,0.04165016514731763,0.05555555555555555,-12.069006783658782,nan,0
mace_invariants,87,8,108,0.7787200591757998,0.8787200591757998,0.049879807692307696,0.10713941892804724,0.07889150522121678,0.06392437765383639,0.10185185185185185,-2.7460253706783018,1.0,4
mace_invariants,272,8,108,0.7765703365985573,0.8765703365985573,0.049879807692307696,0.04524945962067283,0.08688487356473776,0.03545070775099488,0.05555555555555555,-0.17720179028037952,1.0,1
mace_invariants,216,8,108,0.7826708090508055,0.8826708090508055,0.049879807692307696,0.07477833194596965,0.048543508969340225,0.1334304902293149,0.10185185185185185,-54.88211192188712,0.16666666666666666,6
mace_invariants,99,8,108,0.7757210196648034,0.8757210196648034,0.049879807692307696,0.09001907082193429,0.06488873336170235,0.009314151334157146,0.10185185185185185,-0.8296996587281513,0.6666666666666666,3
mace_invariants,20,8,108,0.7790119459526538,0.8790119459526538,0.049879807692307696,0.1417988149063767,0.12372439753552048,0.09958581954640941,0.1388888888888889,-36.55115428621638,0.5,6
mace_invariants,6,8,108,0.7753577861167721,0.8753577861167721,0.049879807692307696,0.1250788117021011,0.08230790571417959,0.05912617657992865,0.12962962962962962,-9.17097158788181,0.3333333333333333,3
mace_invariants,203,8,108,0.7762534773519918,0.8762534773519918,0.049879807692307696,0.08302511120774465,0.09337309503436009,0.07168819597657519,0.07407407407407407,-7.569531227377206,0.5,4
geometry_control,94,8,108,0.6268074986202443,0.7268074986202443,0.049879807692307696,0.16655543487092941,0.1873267266090083,0.09312564554910437,0.12962962962962962,-1.3467589931600994,1.0,1
geometry_control,65,8,108,0.6252718283875537,0.7252718283875537,0.049879807692307696,0.09559955357902432,0.20167685440277106,0.05567423136408053,0.06481481481481481,0.5537136811160519,0.8,5
geometry_control,87,8,108,0.6266128990788467,0.7266128990788466,0.049879807692307696,0.3812824320033732,0.33486185793124323,0.24632876057106026,0.3148148148148148,-0.21313956462714634,0.5833333333333334,12
geometry_control,272,8,108,0.6244464885434926,0.7244464885434926,0.049879807692307696,0.23155127312688084,0.161547897691983,0.128272278713442,0.18518518518518517,-2.895891794333004,0.6,5
geometry_control,216,8,108,0.6308387451662387,0.7308387451662387,0.049879807692307696,0.21602386938826634,0.41606338303763246,0.3703606395830279,0.1574074074074074,-1.9354369931865314,0.5714285714285714,14
geometry_control,99,8,108,0.6318876322413209,0.7318876322413209,0.049879807692307696,0.2577576858476344,0.17402096958117874,0.06752058712397031,0.2222222222222222,0.4906228833120553,0.4375,16
geometry_control,20,8,108,0.6312783625706935,0.7312783625706935,0.049879807692307696,0.2759649993321799,0.23040409246092816,0.16774088145123295,0.24074074074074073,-9.554928630156859,0.5,24
geometry_control,6,8,108,0.6247647558620791,0.7247647558620791,0.049879807692307696,0.23758972153623195,0.2779254735692942,0.3337321611165976,0.21296296296296297,-0.01807676662848423,0.42857142857142855,14
geometry_control,203,8,108,0.6240620286158339,0.7240620286158339,0.049879807692307696,0.3130182084076588,0.4605787406945765,0.2808666859508452,0.26851851851851855,-0.3442382387826044,0.8181818181818182,11
bond_length_control,94,8,108,0.5688657577835816,0.6688657577835816,0.049879807692307696,0.03320244413904657,0.06909738296813121,0.024876227076639775,0.037037037037037035,-0.4315963414266766,nan,0
bond_length_control,65,8,108,0.5670879976771995,0.6670879976771995,0.049879807692307696,0.03771196695441816,0.06165020735088519,0.031900851761866925,0.018518518518518517,-0.9291548059329944,nan,0
bond_length_control,87,8,108,0.5691626566756105,0.6691626566756105,0.049879807692307696,0.03266759725857189,0.14363139233970415,0.012918206685606531,0.046296296296296294,-11.26553983770076,nan,0
bond_length_control,272,8,108,0.5692391598551746,0.6692391598551746,0.049879807692307696,0.029893758718112826,0.1559303343257713,0.03753738594870611,0.046296296296296294,-1.05093444628691,nan,0
bond_length_control,216,8,108,0.5655274437135029,0.6655274437135029,0.049879807692307696,0.007828541167009548,0.05977218483986122,0.005822114932768577,0.018518518518518517,-2.4667530395758024,nan,0
bond_length_control,99,8,108,0.5669182677117491,0.6669182677117491,0.049879807692307696,0.0074279274475863065,0.04782515488285341,0.0009179824540094711,0.018518518518518517,-0.18004070388704974,nan,0
bond_length_control,20,8,108,0.5682616275060844,0.6682616275060844,0.049879807692307696,0.06411629887538677,0.039819369879095894,0.053413777143695586,0.07407407407407407,-109.04363380373508,nan,0
bond_length_control,6,8,108,0.569059724208435,0.669059724208435,0.049879807692307696,0.03988785804559904,0.15235080676344134,0.04580183983520365,0.037037037037037035,-3.4027744388837062,nan,0
bond_length_control,203,8,108,0.5700325011504342,0.6700325011504342,0.049879807692307696,0.00377444255976983,0.06892029784283621,0.007429633083695634,0.018518518518518517,-1.2526603540776216,nan,0
