timestamp_iso,gpu_util_percent,memory_used_MiB,memory_total_MiB
2026-08-25T02:01:57+08:00,0, 5, 32768
2026-08-25T02:02:07+08:00,0, 314, 32768
2026-08-25T02:02:17+08:00,0, 450, 32768
2026-08-25T02:02:27+08:00,11, 450, 32768
2026-08-25T02:02:37+08:00,12, 450, 32768
2026-08-25T02:02:47+08:00,13, 452, 32768
2026-08-25T02:02:57+08:00,12, 452, 32768
2026-08-25T02:03:07+08:00,12, 452, 32768
2026-08-25T02:03:17+08:00,10, 452, 32768
2026-08-25T02:03:27+08:00,11, 452, 32768
2026-08-25T02:03:37+08:00,12, 452, 32768
2026-08-25T02:03:47+08:00,12, 452, 32768
2026-08-25T02:03:58+08:00,9, 452, 32768
2026-08-25T02:04:08+08:00,12, 452, 32768
2026-08-25T02:04:18+08:00,12, 452, 32768
2026-08-25T02:04:28+08:00,12, 452, 32768
2026-08-25T02:04:38+08:00,12, 452, 32768
2026-08-25T02:04:48+08:00,13, 452, 32768
2026-08-25T02:04:58+08:00,13, 452, 32768
2026-08-25T02:05:08+08:00,12, 452, 32768
2026-08-25T02:05:18+08:00,11, 452, 32768
2026-08-25T02:05:28+08:00,11, 452, 32768
2026-08-25T02:05:38+08:00,12, 452, 32768
2026-08-25T02:05:48+08:00,12, 452, 32768
2026-08-25T02:05:58+08:00,9, 452, 32768
2026-08-25T02:06:08+08:00,6, 452, 32768
2026-08-25T02:06:18+08:00,12, 452, 32768
2026-08-25T02:06:29+08:00,11, 452, 32768
2026-08-25T02:06:39+08:00,12, 452, 32768
2026-08-25T02:06:49+08:00,11, 452, 32768
2026-08-25T02:06:59+08:00,12, 452, 32768
2026-08-25T02:07:09+08:00,8, 452, 32768
2026-08-25T02:07:19+08:00,7, 452, 32768
2026-08-25T02:07:29+08:00,12, 452, 32768
2026-08-25T02:07:39+08:00,12, 452, 32768
2026-08-25T02:07:49+08:00,12, 452, 32768
2026-08-25T02:07:59+08:00,12, 452, 32768
2026-08-25T02:08:09+08:00,12, 452, 32768
2026-08-25T02:08:19+08:00,12, 452, 32768
2026-08-25T02:08:29+08:00,10, 452, 32768
2026-08-25T02:08:39+08:00,9, 452, 32768
2026-08-25T02:08:49+08:00,13, 452, 32768
2026-08-25T02:08:59+08:00,12, 452, 32768
2026-08-25T02:09:09+08:00,12, 452, 32768
2026-08-25T02:09:19+08:00,11, 452, 32768
2026-08-25T02:09:30+08:00,12, 452, 32768
2026-08-25T02:09:40+08:00,11, 452, 32768
2026-08-25T02:09:50+08:00,12, 452, 32768
2026-08-25T02:10:00+08:00,8, 452, 32768
2026-08-25T02:10:10+08:00,12, 452, 32768
2026-08-25T02:10:20+08:00,6, 452, 32768
2026-08-25T02:10:30+08:00,12, 452, 32768
2026-08-25T02:10:40+08:00,12, 452, 32768
