timestamp_iso,gpu_util_percent,memory_used_MiB,memory_total_MiB
2026-08-25T02:02:02+08:00,0, 5, 32768
2026-08-25T02:02:12+08:00,0, 314, 32768
2026-08-25T02:02:22+08:00,8, 450, 32768
2026-08-25T02:02:32+08:00,9, 450, 32768
2026-08-25T02:02:42+08:00,7, 450, 32768
2026-08-25T02:02:52+08:00,8, 450, 32768
2026-08-25T02:03:02+08:00,7, 452, 32768
2026-08-25T02:03:12+08:00,8, 452, 32768
2026-08-25T02:03:22+08:00,8, 452, 32768
2026-08-25T02:03:32+08:00,8, 452, 32768
2026-08-25T02:03:42+08:00,9, 452, 32768
2026-08-25T02:03:52+08:00,8, 452, 32768
2026-08-25T02:04:02+08:00,8, 452, 32768
2026-08-25T02:04:12+08:00,7, 452, 32768
2026-08-25T02:04:22+08:00,8, 452, 32768
2026-08-25T02:04:32+08:00,8, 452, 32768
2026-08-25T02:04:42+08:00,9, 452, 32768
2026-08-25T02:04:52+08:00,8, 452, 32768
2026-08-25T02:05:02+08:00,9, 452, 32768
2026-08-25T02:05:12+08:00,6, 452, 32768
2026-08-25T02:05:22+08:00,8, 452, 32768
2026-08-25T02:05:32+08:00,9, 452, 32768
2026-08-25T02:05:42+08:00,8, 452, 32768
2026-08-25T02:05:52+08:00,8, 452, 32768
2026-08-25T02:06:02+08:00,8, 452, 32768
2026-08-25T02:06:12+08:00,8, 452, 32768
2026-08-25T02:06:22+08:00,7, 452, 32768
2026-08-25T02:06:32+08:00,7, 452, 32768
2026-08-25T02:06:42+08:00,7, 452, 32768
2026-08-25T02:06:53+08:00,9, 452, 32768
2026-08-25T02:07:03+08:00,8, 452, 32768
2026-08-25T02:07:13+08:00,8, 452, 32768
2026-08-25T02:07:23+08:00,8, 452, 32768
2026-08-25T02:07:33+08:00,8, 452, 32768
2026-08-25T02:07:43+08:00,6, 452, 32768
2026-08-25T02:07:53+08:00,8, 452, 32768
2026-08-25T02:08:03+08:00,9, 452, 32768
2026-08-25T02:08:13+08:00,5, 452, 32768
2026-08-25T02:08:23+08:00,9, 452, 32768
2026-08-25T02:08:33+08:00,9, 452, 32768
2026-08-25T02:08:43+08:00,8, 452, 32768
2026-08-25T02:08:53+08:00,8, 452, 32768
2026-08-25T02:09:03+08:00,8, 452, 32768
2026-08-25T02:09:13+08:00,9, 452, 32768
2026-08-25T02:09:23+08:00,8, 452, 32768
2026-08-25T02:09:33+08:00,7, 452, 32768
2026-08-25T02:09:43+08:00,6, 452, 32768
2026-08-25T02:09:53+08:00,8, 452, 32768
2026-08-25T02:10:03+08:00,7, 452, 32768
2026-08-25T02:10:13+08:00,7, 452, 32768
2026-08-25T02:10:23+08:00,7, 452, 32768
2026-08-25T02:10:33+08:00,8, 452, 32768
2026-08-25T02:10:43+08:00,8, 452, 32768
2026-08-25T02:10:53+08:00,6, 452, 32768
2026-08-25T02:11:03+08:00,8, 452, 32768
2026-08-25T02:11:13+08:00,7, 452, 32768
2026-08-25T02:11:23+08:00,8, 452, 32768
2026-08-25T02:11:33+08:00,9, 452, 32768
2026-08-25T02:11:43+08:00,8, 452, 32768
2026-08-25T02:11:53+08:00,8, 452, 32768
2026-08-25T02:12:03+08:00,9, 452, 32768
2026-08-25T02:12:13+08:00,7, 452, 32768
2026-08-25T02:12:23+08:00,8, 452, 32768
2026-08-25T02:12:33+08:00,8, 452, 32768
2026-08-25T02:12:43+08:00,7, 452, 32768
