short_model,lattice_temperature_K,smearing_degauss_Ry,direction,path_distance_d,signed_q_2pi_over_a,q1,q2,thermal_short_cm-1,finite_q6_cm-1,full_EPC_cm-1
R2AO,300,0.0019000869,KG,0.06,-0.039999999999999994,0.3133333333333333,0.3133333333333333,1309.0859288474971,1281.3063433516818,1300.5971465948999
R2AO,300,0.0019000869,KG,0.059500000000000004,-0.03966666666666667,0.3135,0.3135,1309.0362084752962,1281.2066181592754,1300.433948638696
R2AO,300,0.0019000869,KG,0.059000000000000004,-0.03933333333333333,0.31366666666666665,0.31366666666666665,1308.9868761701405,1281.1076107956721,1300.2477201063848
R2AO,300,0.0019000869,KG,0.0585,-0.039,0.31383333333333335,0.31383333333333335,1308.9379326073374,1281.0093237044089,1300.0588609597446
R2AO,300,0.0019000869,KG,0.058,-0.03866666666666667,0.314,0.314,1308.8893784578229,1280.9117593207172,1299.8891827290754
R2AO,300,0.0019000869,KG,0.0575,-0.03833333333333333,0.31416666666666665,0.31416666666666665,1308.8412143881349,1280.8149200714201,1299.690032262054
R2AO,300,0.0019000869,KG,0.057,-0.038,0.3143333333333333,0.3143333333333333,1308.7934410603787,1280.718808374822,1299.5102812642356
R2AO,300,0.0019000869,KG,0.0565,-0.03766666666666667,0.3145,0.3145,1308.7460591322022,1280.6234266405968,1299.3285850968757
R2AO,300,0.0019000869,KG,0.056,-0.03733333333333333,0.31466666666666665,0.31466666666666665,1308.6990692567622,1280.5287772696852,1299.1254646119494
R2AO,300,0.0019000869,KG,0.0555,-0.037,0.31483333333333335,0.31483333333333335,1308.6524720826944,1280.434862654175,1298.9511028961526
R2AO,300,0.0019000869,KG,0.055,-0.03666666666666667,0.315,0.315,1308.6062682540849,1280.3416851771951,1298.7553767143227
R2AO,300,0.0019000869,KG,0.0545,-0.03633333333333333,0.31516666666666665,0.31516666666666665,1308.5604584104408,1280.249247212801,1298.557852562428
R2AO,300,0.0019000869,KG,0.054,-0.036,0.3153333333333333,0.3153333333333333,1308.5150431866596,1280.1575511258604,1298.37957895093
R2AO,300,0.0019000869,KG,0.0535,-0.035666666666666666,0.3155,0.3155,1308.4700232129987,1280.066599271941,1298.1726141552617
R2AO,300,0.0019000869,KG,0.053,-0.03533333333333333,0.31566666666666665,0.31566666666666665,1308.4253991150479,1279.976393997192,1297.984843788456
R2AO,300,0.0019000869,KG,0.0525,-0.034999999999999996,0.31583333333333335,0.31583333333333335,1308.3811715136994,1279.886937638231,1297.7951859678228
R2AO,300,0.0019000869,KG,0.052000000000000005,-0.034666666666666665,0.316,0.316,1308.337341025116,1279.7982325220237,1297.5845400317116
R2AO,300,0.0019000869,KG,0.051500000000000004,-0.034333333333333334,0.31616666666666665,0.31616666666666665,1308.2939082607068,1279.7102809657665,1297.401983964885
R2AO,300,0.0019000869,KG,0.051000000000000004,-0.034,0.3163333333333333,0.3163333333333333,1308.2508738270924,1279.6230852767687,1297.1985320571855
R2AO,300,0.0019000869,KG,0.0505,-0.033666666666666664,0.3165,0.3165,1308.2082383260813,1279.5366477523314,1296.9932715353511
R2AO,300,0.0019000869,KG,0.05,-0.03333333333333333,0.31666666666666665,0.31666666666666665,1308.166002354636,1279.4509706796257,1296.8066608084407
R2AO,300,0.0019000869,KG,0.0495,-0.033,0.31683333333333336,0.31683333333333336,1308.1241665048485,1279.3660563355697,1296.5920318796811
R2AO,300,0.0019000869,KG,0.049,-0.03266666666666666,0.317,0.317,1308.0827313639081,1279.2819069867082,1296.3958948099425
R2AO,300,0.0019000869,KG,0.0485,-0.03233333333333333,0.31716666666666665,0.31716666666666665,1308.0416975140763,1279.198524889087,1296.197826980979
R2AO,300,0.0019000869,KG,0.048,-0.032,0.3173333333333333,0.3173333333333333,1308.0010655326532,1279.1159122881245,1295.9793013216292
R2AO,300,0.0019000869,KG,0.0475,-0.03166666666666666,0.3175,0.3175,1307.960835991955,1279.0340714184913,1295.7877772280544
R2AO,300,0.0019000869,KG,0.047,-0.03133333333333333,0.31766666666666665,0.31766666666666665,1307.9210094592818,1278.9530045039783,1295.5758155571962
R2AO,300,0.0019000869,KG,0.0465,-0.031,0.31783333333333336,0.31783333333333336,1307.8815864968913,1278.8727137573703,1295.3618921732227
R2AO,300,0.0019000869,KG,0.046,-0.030666666666666665,0.318,0.318,1307.8425676619681,1278.7932013803168,1295.165597552398
R2AO,300,0.0019000869,KG,0.0455,-0.03033333333333333,0.31816666666666665,0.31816666666666665,1307.8039535065996,1278.714469563198,1294.942012365257
R2AO,300,0.0019000869,KG,0.045,-0.03,0.3183333333333333,0.3183333333333333,1307.7657445777463,1278.6365204850001,1294.7356413039
R2AO,300,0.0019000869,KG,0.0445,-0.029666666666666664,0.3185,0.3185,1307.7279414172135,1278.559356313175,1294.5265567598747
R2AO,300,0.0019000869,KG,0.044,-0.02933333333333333,0.31866666666666665,0.31866666666666665,1307.6905445616237,1278.4829792035114,1294.2966278795298
R2AO,300,0.0019000869,KG,0.043500000000000004,-0.029,0.31883333333333336,0.31883333333333336,1307.6535545423912,1278.4073912999982,1294.0904206433981
R2AO,300,0.0019000869,KG,0.043000000000000003,-0.028666666666666667,0.319,0.319,1307.6169718856927,1278.332594734689,1293.861441200554
R2AO,300,0.0019000869,KG,0.0425,-0.028333333333333335,0.31916666666666665,0.31916666666666665,1307.5807971124416,1278.2585916275655,1293.626329120447
R2AO,300,0.0019000869,KG,0.042,-0.028,0.3193333333333333,0.3193333333333333,1307.5450307382591,1278.185384086397,1293.4071937474175
R2AO,300,0.0019000869,KG,0.0415,-0.027666666666666666,0.3195,0.3195,1307.5096732734498,1278.1129742066034,1293.1739288341666
R2AO,300,0.0019000869,KG,0.041,-0.027333333333333334,0.31966666666666665,0.31966666666666665,1307.4747252229727,1278.0413640711151,1292.9717436013955
R2AO,300,0.0019000869,KG,0.0405,-0.027,0.31983333333333336,0.31983333333333336,1307.4401870864162,1277.9705557502286,1292.769284972655
R2AO,300,0.0019000869,KG,0.04,-0.026666666666666665,0.32,0.32,1307.40605935797,1277.900551301466,1292.5441006271644
R2AO,300,0.0019000869,KG,0.0395,-0.026333333333333334,0.32016666666666665,0.32016666666666665,1307.372342526401,1277.8313527694304,1292.3391825215897
R2AO,300,0.0019000869,KG,0.039,-0.026,0.3203333333333333,0.3203333333333333,1307.3390370750253,1277.7629621856613,1292.1135074510457
R2AO,300,0.0019000869,KG,0.0385,-0.025666666666666664,0.3205,0.3205,1307.3061434816818,1277.6953815684883,1291.884598245782
R2AO,300,0.0019000869,KG,0.038,-0.025333333333333333,0.32066666666666666,0.32066666666666666,1307.2736622187092,1277.628612922882,1291.6702093781855
R2AO,300,0.0019000869,KG,0.0375,-0.024999999999999998,0.32083333333333336,0.32083333333333336,1307.241593752917,1277.562658240308,1291.4312872841763
R2AO,300,0.0019000869,KG,0.037,-0.024666666666666663,0.321,0.321,1307.2099385455613,1277.497519498577,1291.2071272806318
R2AO,300,0.0019000869,KG,0.0365,-0.024333333333333332,0.32116666666666666,0.32116666666666666,1307.1786970523199,1277.433198661691,1290.9805944274526
R2AO,300,0.0019000869,KG,0.036000000000000004,-0.024,0.3213333333333333,0.3213333333333333,1307.1478697232662,1277.369697679695,1290.736770363115
R2AO,300,0.0019000869,KG,0.035500000000000004,-0.02366666666666667,0.3215,0.3215,1307.1174570028445,1277.3070184885219,1290.514463208855
R2AO,300,0.0019000869,KG,0.035,-0.023333333333333334,0.32166666666666666,0.32166666666666666,1307.0874593298452,1277.245163009838,1290.275044339791
R2AO,300,0.0019000869,KG,0.0345,-0.023,0.32183333333333336,0.32183333333333336,1307.0578771373796,1277.1841331508876,1290.033655514662
R2AO,300,0.0019000869,KG,0.034,-0.02266666666666667,0.322,0.322,1307.0287108528553,1277.123930804338,1289.8058272534486
R2AO,300,0.0019000869,KG,0.0335,-0.022333333333333334,0.32216666666666666,0.32216666666666666,1306.999960897953,1277.064557848119,1289.5562751834707
R2AO,300,0.0019000869,KG,0.033,-0.022,0.3223333333333333,0.3223333333333333,1306.9716276886006,1277.0060161452648,1289.319859156594
R2AO,300,0.0019000869,KG,0.0325,-0.021666666666666667,0.3225,0.3225,1306.9437116349498,1276.948307543756,1289.0812291811635
R2AO,300,0.0019000869,KG,0.032,-0.021333333333333333,0.32266666666666666,0.32266666666666666,1306.916213141352,1276.891433876355,1288.8273284028398
R2AO,300,0.0019000869,KG,0.0315,-0.020999999999999998,0.32283333333333336,0.32283333333333336,1306.8891326063363,1276.8353969604445,1288.5919617413165
