campaign,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
FD450_CONV,0.00285013035,120,G,0.0,0.0,0.0,113.364342,113.364342,113.94285,884.408573,1573.792434,1573.792434
FD450_CONV,0.00285013035,120,G,0.015,0.005,0.008660254038,113.958528,114.858716,116.385568,884.349723,1573.78213,1576.460238
FD450_CONV,0.00285013035,120,G,0.03,0.01,0.017320508076,113.93629,119.41768,126.94129,884.181723,1573.321568,1580.925102
FD450_CONV,0.00285013035,120,K,0.98,0.326666666667,0.565803263806,534.771273,553.534629,1003.386037,1219.309018,1237.768142,1296.783608
FD450_CONV,0.00285013035,120,K,0.99,0.33,0.571576766498,539.507721,548.743437,1004.596764,1223.566844,1232.404653,1291.904764
FD450_CONV,0.00285013035,120,K,1.0,0.333333333333,0.57735026919,544.24964,544.249641,1005.023388,1228.094074,1228.094075,1289.751033
FD450_CONV,0.00285013035,120,K,1.01,0.336666666667,0.583123771882,539.655264,548.596095,1004.580234,1223.867158,1232.098179,1291.965858
FD450_CONV,0.00285013035,120,K,1.02,0.34,0.588897274573,535.373544,552.943165,1003.168463,1220.747048,1236.36668,1297.122934
FD450_CONV,0.00285013035,144,G,0.0,0.0,0.0,113.367363,113.367363,113.944537,884.404784,1573.90788,1573.90788
FD450_CONV,0.00285013035,144,G,0.015,0.005,0.008660254038,113.944872,114.856196,116.364955,884.350406,1573.784535,1576.456639
FD450_CONV,0.00285013035,144,G,0.03,0.01,0.017320508076,113.938943,119.425993,126.947696,884.182454,1573.332041,1580.931059
FD450_CONV,0.00285013035,144,K,0.98,0.326666666667,0.565803263806,534.773176,553.535958,1003.387565,1219.314513,1237.766957,1296.798082
FD450_CONV,0.00285013035,144,K,0.99,0.33,0.571576766498,539.507774,548.743884,1004.596295,1223.566947,1232.404267,1291.914546
FD450_CONV,0.00285013035,144,K,1.0,0.333333333333,0.57735026919,544.247245,544.247246,1005.022191,1228.098541,1228.098542,1289.791537
FD450_CONV,0.00285013035,144,K,1.01,0.336666666667,0.583123771882,539.657466,548.594318,1004.581828,1223.866395,1232.098245,1291.971006
FD450_CONV,0.00285013035,144,K,1.02,0.34,0.588897274573,535.375846,552.944016,1003.169483,1220.74787,1236.370008,1297.134597
