campaign,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
FD450_LINE,0.00285013035,144,G,0.0,0.0,0.0,113.367363,113.367363,113.944537,884.404784,1573.90788,1573.90788
FD450_LINE,0.00285013035,144,G,0.005,0.001666666667,0.002886751346,112.868411,113.031417,113.936257,884.399879,1573.905469,1574.24754
FD450_LINE,0.00285013035,144,G,0.01,0.003333333333,0.005773502692,113.9541,113.989959,114.300003,884.381405,1573.866159,1575.179335
FD450_LINE,0.00285013035,144,G,0.015,0.005,0.008660254038,113.944872,114.856196,116.364955,884.350406,1573.784535,1576.456639
FD450_LINE,0.00285013035,144,G,0.025,0.008333333333,0.01443375673,113.941284,117.579289,122.762036,884.250746,1573.513546,1579.431862
FD450_LINE,0.00285013035,144,G,0.04,0.013333333333,0.023094010768,113.946947,124.008815,137.045171,884.008094,1572.868546,1583.796854
FD450_LINE,0.00285013035,144,G,0.06,0.02,0.034641016151,113.956726,135.657406,162.340512,883.509825,1571.52925,1588.998265
FD450_LINE,0.00285013035,144,G,0.08,0.026666666667,0.046188021535,114.006519,151.160982,192.040643,882.809718,1569.658775,1593.772045
FD450_LINE,0.00285013035,144,K,0.94,0.313333333333,0.542709253038,514.602751,574.195555,990.889042,1201.577093,1264.36172,1317.501188
FD450_LINE,0.00285013035,144,K,0.96,0.32,0.554256258422,524.932018,563.587161,998.392398,1210.615217,1250.114685,1307.734211
FD450_LINE,0.00285013035,144,K,0.975,0.325,0.56291651246,532.358736,555.99158,1002.434954,1217.16946,1240.651264,1299.567332
FD450_LINE,0.00285013035,144,K,0.985,0.328333333333,0.568690015152,537.156633,551.119441,1004.049992,1221.443278,1234.98347,1294.174434
FD450_LINE,0.00285013035,144,K,0.992,0.330666666667,0.572731467036,540.439756,547.80181,1004.755954,1224.415388,1231.421098,1291.184005
FD450_LINE,0.00285013035,144,K,1.0,0.333333333333,0.57735026919,544.247245,544.247246,1005.022191,1228.098541,1228.098542,1289.791537
FD450_LINE,0.00285013035,144,K,1.008,0.336,0.581969071343,540.533722,547.708873,1004.750368,1224.585409,1231.241394,1291.215158
FD450_LINE,0.00285013035,144,K,1.015,0.338333333333,0.586010523227,537.49273,550.784854,1003.994775,1222.207262,1234.237153,1294.343967
FD450_LINE,0.00285013035,144,K,1.025,0.341666666667,0.591784025919,533.302886,555.072192,1002.099773,1219.487742,1238.486257,1300.115274
FD450_LINE,0.00285013035,144,K,1.04,0.346666666667,0.600444279957,527.366956,561.260795,997.440274,1216.92667,1244.674716,1309.106408
FD450_LINE,0.00285013035,144,K,1.06,0.353333333333,0.611991285341,520.112237,569.065537,987.965889,1216.229216,1252.711406,1320.234188
