model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
chgnet,mp-10851,0.9170852035874619,1.092337337665177,35.93486446491875,37.29582296181414,-1.3609584968953854,-3.6490909405292444,21,335,1.4624744813366757e-05,7.1717353248395455,8.231408810501875,-5.252086326102948,5,
chgnet,mp-19795,2.3520911585482676,2.6729234210016264,5.750782860107955,9.569558287668393,-3.818775427560438,-39.90545135694948,595,0,4.516808462068585e-08,8.388614566008698,121.27692469190129,-39.50459419272127,48,
chgnet,mp-2472,0.7208679332390776,0.8132958277791684,11.510365177778603,12.710293963277184,-1.1999287854985816,-9.440606086416553,0,0,1.2535071120673007e-07,0.9814590054792234,8.033930021666059,-2.7367763289330203,2,
chgnet,mp-34381,30.14661603993082,43.83977130296715,11.113747319209674,98.43611320347799,-87.32236588426831,-88.70968493419039,2555,716,3.96837203290469e-07,71.50289108580868,119.43382211947274,94.76509706728899,72,
chgnet,mp-554089,1.1324457615206256,1.3610436688046923,35.91295475857345,36.84407999414773,-0.9311252355742781,-2.5272044673721723,1065,13,4.2681904306638994e-07,5.595871910304908,14.00827763926577,-8.859152113707836,72,
chgnet,mp-555846,0.968504243204843,1.0816179673016242,19.403741235120407,21.493853110023622,-2.090111874903215,-9.724230756599406,3874,1217,1.622231507105516e-07,16.467615181247652,78.74631547474519,-32.617510145159784,168,
chgnet,mp-560616,1.3358862941790328,1.8174705482827536,49.149879678358914,50.60135718333304,-1.4514775049741289,-2.8684556813670072,705,11,2.41506002289671e-07,10.186157941491388,56.68513969930467,-24.534988734051765,96,
chgnet,mp-625521,24.474986282818147,34.70799470185418,14.456901214388242,86.49540467457919,-72.03850346019095,-83.28593146794411,9188,468,2.399511955171423e-07,63.14093775220958,96.15830661569055,58.04330668432091,60,
chgnet,mp-753378,1.1373930446999931,1.2813871609402243,24.594865852479707,26.075216638090104,-1.4803507856103977,-5.677232930245088,74,76,1.1580305390220194e-06,10.806835042654598,26.69356131584715,-12.694372838378634,18,
chgnet,mp-9946,1.343891322609366,1.6527042859093426,8.425536618601901,10.485597705386905,-2.0600610867850033,-19.646577569218213,0,0,1.273710955836957e-07,10.73993035438707,37.86974783379037,-14.97258107559567,12,
