model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
mace-omat,mp-10851,0.2120588924531535,0.31746768593952857,37.13018082061431,37.295822961814146,-0.16564214119983944,-0.4441305434376243,415,335,3.46339614950954e-07,-0.5971133458332076,-3.951490754479522,0.2358830125220095,5,
mace-omat,mp-19795,0.2830838174925593,0.35154272755616395,9.942668137074252,9.56955828766839,0.37310984940586245,3.898924466416205,0,0,7.502679007739829e-08,-0.5228461619312839,-0.22174893571451548,0.24447529656088207,8,
mace-omat,mp-2472,0.21954138494008518,0.25567912119342134,12.259106608777476,12.710293963277183,-0.4511873544997069,-3.5497790672921163,0,0,9.207708883699035e-08,0.34195058039711057,1.823330078493683,-0.6629324026328852,2,
mace-omat,mp-34381,0.7843374338484715,0.9695059884521741,99.28566633290994,98.436113203478,0.8495531294319392,0.8630502584715243,1123,716,8.052132802316716e-07,-1.9762426314318162,-6.809990532915009,3.653829908296558,12,
mace-omat,mp-554089,0.19545283868747823,0.2903687384539785,36.40162390235719,36.84407999414773,-0.4424560917905396,-1.2008878817460467,7,13,3.893212071150982e-07,0.9347162247843528,-1.4786738111438922,-0.6082873312970207,18,
mace-omat,mp-555846,0.34121720283072327,0.43290247621033606,21.065109256063533,21.493853110023622,-0.4287438539600892,-1.9947277566540418,779,1217,2.393581143620628e-07,5.574244904809689,26.22669312462358,-10.372827706601207,84,
mace-omat,mp-560616,0.6786749554507369,0.768030936928478,49.507413817278795,50.60135718333304,-1.0939433660542477,-2.1618854255050857,0,11,5.957361356173287e-07,3.6689274205699576,39.44048918510924,-14.712406662957392,16,
mace-omat,mp-625521,0.7888576079634304,1.2292031704969433,88.86429006987063,86.49540467457919,2.368885395291443,2.7387413287490556,489,468,5.390312508364593e-07,-0.18764898207572855,-1.3893438686559847,2.4310845500521765,18,
mace-omat,mp-753378,0.22327545524972187,0.2950184272270894,25.87174360038073,26.075216638090104,-0.20347303770937586,-0.7803311494338533,94,76,3.2129742979075114e-07,1.900696641931745,2.6308488196994517,-1.7604235639115373,18,
mace-omat,mp-9946,0.41544105966511824,0.5123248386901764,9.940498528789584,10.485597705386908,-0.5450991765973239,-5.198551307354493,0,0,9.98002107746812e-08,3.6332155320661172,15.08694759498951,-5.766155347179802,12,
