model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
mattersim,mp-10851,0.26909145302491666,0.3706363982270473,36.56066347174479,37.29582296181414,-0.7351594900693499,-1.9711577106692442,84,335,2.833853247467213e-06,2.5797712483429507,2.05466395569087,-0.6476382579726163,5,
mattersim,mp-19795,0.3841602660458505,0.5165509279817336,10.615593886887277,9.569558287668393,1.0460355992188841,10.930866062719273,6,0,9.956436435313608e-08,-0.0821403126923883,8.128494050764118,-2.3983925253154865,48,
mattersim,mp-2472,0.35086969349251995,0.4006120795608012,12.2468642728572,12.710293963277184,-0.46342969041998394,-3.646097342507841,0,0,9.999980019100362e-08,0.4809503509829085,2.7614147000149956,-0.991596783833047,2,
mattersim,mp-34381,30.542092340610665,44.16389779124718,11.226062974004517,98.43611320347799,-87.21005022947347,-88.59558488377223,2856,716,7.02576600281719e-07,70.75617381289474,137.98895521466932,100.38274685917307,72,
mattersim,mp-554089,0.7008972125208484,0.9670254543922275,36.27204387084075,36.84407999414773,-0.5720361233069795,-1.5525862591706485,25,13,3.042557714751839e-07,0.8580432027211202,-0.9378039840092924,-0.7483134181149609,72,
mattersim,mp-555846,0.37257424412179496,0.45995001741591673,20.85274121999384,21.493853110023622,-0.6411118900297836,-2.982768546653937,837,1217,2.2782109024915852e-07,6.113880355803076,31.439998098548358,-12.241752590371696,84,
mattersim,mp-560616,0.6299448977110226,0.8344805381913609,49.51062389708492,50.60135718333304,-1.090733286248124,-2.1555415644214917,105,11,4.387032560833543e-07,1.1971804297713788,16.142619576535253,-6.683648081766989,96,
mattersim,mp-625521,0.4818643166610282,0.5856951362581155,86.11390505229217,86.49540467457919,-0.3814996222870235,-0.4410634573273988,302,468,7.051483930726912e-07,1.3315933735086887,2.376430713330123,-1.5351401904766675,18,
mattersim,mp-753378,0.42129734115420336,0.5073226618798452,25.31751728202396,26.075216638090104,-0.7576993560661442,-2.9058219020098712,49,76,2.534996013275066e-07,4.111819573029294,8.124252393848764,-4.284659624775138,18,
mattersim,mp-9946,0.40831410776363736,0.4903214952662255,10.010151356290015,10.485597705386905,-0.4754463490968899,-4.5342798994914,0,0,3.8833310822887834e-07,3.159768500842688,4.959079734029729,-2.582657535908627,12,
