lane,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm,f2_cm,f3_cm,f4_cm,f5_cm,f6_cm
A,0.01,64,G,0.0,0.0,0.0,113.296044,113.296044,114.133232,884.314234,1573.770748,1573.770748
A,0.01,64,G,0.015,0.005,0.008660254,114.349528,114.943554,116.54333,884.275119,1573.610174,1574.608011
A,0.01,64,G,0.03,0.01,0.0173205081,114.350717,119.543589,127.014661,884.10834,1573.15665,1576.942124
A,0.01,64,G,0.05,0.0166666667,0.0288675135,114.305093,129.035548,149.005512,883.708227,1572.085712,1581.561944
A,0.01,64,G,0.08,0.0266666667,0.0461880215,114.380503,151.114248,192.162158,882.73489,1569.498407,1589.738483
A,0.01,64,K,0.92,0.3066666667,0.5311622477,503.67416,585.121211,981.30343,1191.756572,1279.878045,1324.666714
A,0.01,64,K,0.95,0.3166666667,0.5484827557,519.685664,568.665684,994.932334,1205.845362,1257.003141,1313.059753
A,0.01,64,K,0.97,0.3233333333,0.5600297611,529.769916,558.327203,1001.297685,1214.793129,1243.644633,1306.44161
A,0.01,64,K,0.985,0.3283333333,0.5686900152,536.995661,550.953618,1004.044707,1221.329898,1234.936649,1303.092854
A,0.01,64,K,1.0,0.3333333333,0.5773502692,544.063844,544.063845,1005.029781,1228.073309,1228.07331,1301.890075
A,0.01,64,K,1.015,0.3383333333,0.5860105232,537.341289,550.629869,1003.998633,1222.171325,1234.132889,1303.148864
A,0.01,64,K,1.03,0.3433333333,0.5946707773,531.116659,557.000587,1000.782039,1218.394288,1240.377647,1306.797778
A,0.01,64,K,1.05,0.35,0.6062177826,523.496859,565.066527,993.15148,1216.17444,1248.512178,1314.416549
A,0.01,64,K,1.08,0.36,0.6235382907,513.474361,576.207635,975.154134,1218.247563,1260.301159,1328.441877
