lane,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm,f2_cm,f3_cm,f4_cm,f5_cm,f6_cm
B,0.01,32,G,0.0,0.0,0.0,113.333089,113.333089,113.897453,884.313456,1574.078591,1574.078591
B,0.01,32,G,0.015,0.005,0.008660254,114.0151,114.981073,116.664402,884.27329,1573.885869,1574.821936
B,0.01,32,G,0.03,0.01,0.0173205081,114.134279,119.643175,127.110831,884.107963,1573.336823,1576.948311
B,0.01,32,G,0.05,0.0166666667,0.0288675135,113.966103,129.139656,149.074934,883.711519,1572.13182,1581.502392
B,0.01,32,G,0.08,0.0266666667,0.0461880215,114.026733,151.104895,192.207671,882.727305,1569.461774,1589.811431
B,0.01,32,K,0.92,0.3066666667,0.5311622477,503.672679,585.126291,981.307729,1191.806036,1279.892633,1324.666242
B,0.01,32,K,0.95,0.3166666667,0.5484827557,519.66847,568.652569,994.935341,1205.790678,1256.998313,1313.228854
B,0.01,32,K,0.97,0.3233333333,0.5600297611,529.790521,558.346093,1001.219168,1214.756678,1243.59883,1306.424202
B,0.01,32,K,0.985,0.3283333333,0.5686900152,536.994316,550.957044,1004.063069,1221.364507,1234.935046,1303.114727
B,0.01,32,K,1.0,0.3333333333,0.5773502692,544.061908,544.061909,1005.038866,1228.109443,1228.109444,1302.031797
B,0.01,32,K,1.015,0.3383333333,0.5860105232,537.349272,550.619167,1004.013814,1222.196597,1234.132123,1303.18984
B,0.01,32,K,1.03,0.3433333333,0.5946707773,531.114309,557.001778,1000.778482,1218.375231,1240.379792,1306.752651
B,0.01,32,K,1.05,0.35,0.6062177826,523.508744,565.072429,993.165345,1216.183881,1248.558672,1314.276404
B,0.01,32,K,1.08,0.36,0.6235382907,513.466056,576.206625,975.16544,1218.255407,1260.318256,1328.509325
B,0.04,32,G,0.0,0.0,0.0,113.340807,113.340807,114.651665,876.240569,1558.320032,1558.320032
B,0.04,32,G,0.015,0.005,0.008660254,114.802599,115.022824,116.662881,876.200388,1558.161908,1558.569428
B,0.04,32,G,0.03,0.01,0.0173205081,114.628291,119.636256,127.090144,876.027428,1557.764297,1559.239012
B,0.04,32,G,0.05,0.0166666667,0.0288675135,114.39718,128.995687,148.926271,875.612005,1556.807279,1560.74421
B,0.04,32,G,0.08,0.0266666667,0.0461880215,114.242898,150.626871,191.934021,874.586994,1554.446028,1564.305032
B,0.04,32,K,0.92,0.3066666667,0.5311622477,492.650938,572.197934,979.977178,1187.521823,1275.196812,1357.722862
B,0.04,32,K,0.95,0.3166666667,0.5484827557,508.101709,555.942767,993.74466,1201.72958,1252.471916,1355.603433
B,0.04,32,K,0.97,0.3233333333,0.5600297611,517.91326,545.817485,1000.100642,1210.70139,1239.206944,1354.710073
B,0.04,32,K,0.985,0.3283333333,0.5686900152,524.920932,538.587101,1002.979174,1217.208488,1230.633983,1354.303128
B,0.04,32,K,1.0,0.3333333333,0.5773502692,531.906058,531.906059,1003.970443,1223.820094,1223.820095,1354.165501
B,0.04,32,K,1.015,0.3383333333,0.5860105232,525.264639,538.261166,1002.930713,1218.111881,1229.758111,1354.304224
B,0.04,32,K,1.03,0.3433333333,0.5946707773,519.173817,544.536535,999.659025,1214.467399,1235.790094,1354.701742
B,0.04,32,K,1.05,0.35,0.6062177826,511.744124,552.535896,991.968553,1212.490676,1243.636857,1355.731343
B,0.04,32,K,1.08,0.36,0.6235382907,501.961642,563.645185,973.825849,1214.916883,1254.973454,1358.138912
B,0.08,32,G,0.0,0.0,0.0,112.871147,112.871147,115.94425,824.826062,1529.804423,1529.804423
B,0.08,32,G,0.015,0.005,0.008660254,113.865819,116.150846,116.23247,824.780903,1529.678986,1529.886568
B,0.08,32,G,0.03,0.01,0.0173205081,116.335093,118.33741,126.404284,824.572508,1529.362255,1530.115511
B,0.08,32,G,0.05,0.0166666667,0.0288675135,115.970358,128.079655,147.901321,824.063248,1528.634831,1530.703042
B,0.08,32,G,0.08,0.0266666667,0.0461880215,115.504929,149.120259,190.281415,822.80767,1526.793068,1532.075302
B,0.08,32,K,0.92,0.3066666667,0.5311622477,443.885574,518.525976,967.145639,1169.869098,1254.054065,1411.873952
B,0.08,32,K,0.95,0.3166666667,0.5484827557,459.611956,503.403977,980.912126,1183.379687,1232.082742,1411.030102
B,0.08,32,K,0.97,0.3233333333,0.5600297611,465.872216,493.334972,987.297157,1192.188347,1219.381626,1412.236657
B,0.08,32,K,0.985,0.3283333333,0.5686900152,474.49903,487.208369,990.167312,1198.310218,1211.179779,1412.52704
B,0.08,32,K,1.0,0.3333333333,0.5773502692,480.777562,480.777563,991.229228,1204.36392,1204.363921,1413.230551
B,0.08,32,K,1.015,0.3383333333,0.5860105232,474.918835,486.991096,990.134248,1199.054084,1210.243132,1410.798971
B,0.08,32,K,1.03,0.3433333333,0.5946707773,468.993062,492.674937,986.855121,1196.034924,1215.917259,1413.830435
B,0.08,32,K,1.05,0.35,0.6062177826,462.341885,500.235547,979.208639,1194.389021,1223.516004,1412.155679
B,0.08,32,K,1.08,0.36,0.6235382907,451.976835,507.689902,961.173143,1196.816522,1234.091702,1410.806111
