law,degauss_Ry,reference_kgrid,region,t_GK,DFPT_f6_cm-1,method_f6_cm-1,signed_error_cm-1
log_interp,0.01,32,G,0.0,1574.078591,1575.725949293215,1.6473582932151203
log_interp,0.01,32,G,0.015,1574.821936,1575.9562288249483,1.1342928249482611
log_interp,0.01,32,G,0.03,1576.948311,1576.6407669365092,-0.3075440634909228
log_interp,0.01,32,G,0.05,1581.502392,1578.226069208101,-3.2763227918990196
log_interp,0.01,32,G,0.08,1589.811431,1581.8767175676128,-7.934713432387298
log_interp,0.01,32,K,0.92,1324.666242,1344.7258770707926,20.059635070792638
log_interp,0.01,32,K,0.95,1313.228854,1341.7420189118905,28.5131649118905
log_interp,0.01,32,K,0.97,1306.424202,1340.4636487937212,34.039446793721254
log_interp,0.01,32,K,0.985,1303.114727,1339.9111551393883,36.796428139388354
log_interp,0.01,32,K,1.0,1302.031797,1339.724236989532,37.69243998953198
log_interp,0.01,32,K,1.015,1303.18984,1339.9141634419648,36.72432344196477
log_interp,0.01,32,K,1.03,1306.752651,1340.4874452023287,33.73479420232866
log_interp,0.01,32,K,1.05,1314.276404,1341.8492607161245,27.572856716124534
log_interp,0.01,32,K,1.08,1328.509325,1345.1367752501071,16.62745025010713
log_interp,0.04,32,G,0.0,1558.320032,1569.7033689086604,11.38333690866034
log_interp,0.04,32,G,0.015,1558.569428,1569.899827943645,11.330399943645034
log_interp,0.04,32,G,0.03,1559.239012,1570.4839730669742,11.244961066974156
log_interp,0.04,32,G,0.05,1560.74421,1571.8376153546071,11.093405354607057
log_interp,0.04,32,G,0.08,1564.305032,1574.9594432771285,10.654411277128474
log_interp,0.04,32,K,0.92,1357.722862,1357.2714104379218,-0.4514515620783186
log_interp,0.04,32,K,0.95,1355.603433,1354.9575689951666,-0.6458640048333564
log_interp,0.04,32,K,0.97,1354.710073,1353.977315692085,-0.7327573079148806
log_interp,0.04,32,K,0.985,1354.303128,1353.5564285565845,-0.7466994434155367
log_interp,0.04,32,K,1.0,1354.165501,1353.4146444731412,-0.7508565268587972
log_interp,0.04,32,K,1.015,1354.304224,1353.5579518395434,-0.7462721604565559
log_interp,0.04,32,K,1.03,1354.701742,1353.9893256122195,-0.7124163877804222
log_interp,0.04,32,K,1.05,1355.731343,1355.0112583164305,-0.7200846835694392
log_interp,0.04,32,K,1.08,1358.138912,1357.4727723646868,-0.6661396353131295
log_interp,0.08,32,G,0.0,1529.804423,1526.6851657887873,-3.119257211212698
log_interp,0.08,32,G,0.015,1529.886568,1526.794362354942,-3.092205645057902
log_interp,0.08,32,G,0.03,1530.115511,1527.1193448040128,-2.9961661959871435
log_interp,0.08,32,G,0.05,1530.703042,1527.874192913636,-2.8288490863640163
log_interp,0.08,32,G,0.08,1532.075302,1529.6249288340107,-2.4503731659892765
log_interp,0.08,32,K,0.92,1411.873952,1406.861361746723,-5.012590253276812
log_interp,0.08,32,K,0.95,1411.030102,1406.8431530362075,-4.186948963792474
log_interp,0.08,32,K,0.97,1412.236657,1406.8602335866065,-5.376423413393468
log_interp,0.08,32,K,0.985,1412.52704,1406.8737187728798,-5.653321227120159
log_interp,0.08,32,K,1.0,1413.230551,1406.8796251114238,-6.350925888576285
log_interp,0.08,32,K,1.015,1410.798971,1406.8719180645553,-3.9270529354446353
log_interp,0.08,32,K,1.03,1413.830435,1406.8458391325564,-6.984595867443659
log_interp,0.08,32,K,1.05,1412.155679,1406.776640003771,-5.379038996228928
log_interp,0.08,32,K,1.08,1410.806111,1406.5903081318463,-4.215802868153787
unified_anchor,0.01,32,G,0.0,1574.078591,1578.8017926664825,4.72320166648251
unified_anchor,0.01,32,G,0.015,1574.821936,1579.0531181966344,4.231182196634336
unified_anchor,0.01,32,G,0.03,1576.948311,1579.8001171370229,2.851806137022777
unified_anchor,0.01,32,G,0.05,1581.502392,1581.5294783455488,0.027086345548696045
unified_anchor,0.01,32,G,0.08,1589.811431,1585.508583193583,-4.302847806417049
unified_anchor,0.01,32,K,0.92,1324.666242,1337.4503189131565,12.784076913156468
unified_anchor,0.01,32,K,0.95,1313.228854,1334.0640534305553,20.83519943055535
unified_anchor,0.01,32,K,0.97,1306.424202,1332.6057280129753,26.181526012975382
unified_anchor,0.01,32,K,0.985,1303.114727,1331.9735655583484,28.858838558348452
unified_anchor,0.01,32,K,1.0,1302.031797,1331.7592770933345,29.727480093334407
unified_anchor,0.01,32,K,1.015,1303.18984,1331.9775291093883,28.78768910938834
unified_anchor,0.01,32,K,1.03,1306.752651,1332.6371015667023,25.8844505667023
unified_anchor,0.01,32,K,1.05,1314.276404,1334.2056747106699,19.929270710669925
unified_anchor,0.01,32,K,1.08,1328.509325,1337.9953205221823,9.485995522182293
unified_anchor,0.04,32,G,0.0,1558.320032,1569.700107497547,11.38007549754684
unified_anchor,0.04,32,G,0.015,1558.569428,1569.896582357235,11.327154357235031
unified_anchor,0.04,32,G,0.03,1559.239012,1570.4807745081093,11.241762508109332
unified_anchor,0.04,32,G,0.05,1560.74421,1571.834525650502,11.090315650501907
unified_anchor,0.04,32,G,0.08,1564.305032,1574.9566042878419,10.651572287841873
unified_anchor,0.04,32,K,0.92,1357.722862,1357.2689419006556,-0.4539200993444865
unified_anchor,0.04,32,K,0.95,1355.603433,1354.9550240985727,-0.648408901427274
unified_anchor,0.04,32,K,0.97,1354.710073,1353.9747459227917,-0.7353270772082396
