lane,degauss_Ry,kgrid,region,t_GK,q,sha256,bytes,hermitian_max_abs,eigenvector_orthogonality_max_abs,csv_frequency_max_abs_cm-1,matrix_frequency_max_abs_cm-1,matrix_scale_cm-2
A,0.01,64,G,0.0,"[0.0, 0.0, 0.0]",3992f11ee7812b3e2b768b3bab6c2bfebeff9b1515d98534b25733f0361cede1,2927,0.0,7.043820000607326e-07,0.0,0.00017425464488951548,1100016.7429626314
A,0.01,64,G,0.015,"[0.005, 0.008660254, 0.0]",cb2efd832d8a4c12984c63d44e154e8bd29606c1dc7db698cc442b795b2f4590,8572,0.0,8.019470909506534e-07,0.0,3.572743386826005e-05,1100016.9872780119
A,0.01,64,G,0.03,"[0.01, 0.017320508, 0.0]",93904592d194a4cdc3c04ef20b8870d1cbec98ec06a200e4c2f11cb02fef77a4,8572,0.0,1.2146084294971789e-06,0.0,2.1786872650864098e-05,1100016.9870612037
A,0.01,64,G,0.05,"[0.016666667, 0.028867513, 0.0]",56c81c3b991e46534f731d0a69f7cc5d5be1d8674c5382212b944c2e65a16b4d,8572,0.0,1.069674000042653e-06,0.0,4.535744028544286e-05,1100016.9881172383
A,0.01,64,G,0.08,"[0.026666667, 0.046188022, 0.0]",704f685ea3390e8dd37f8edae13e90b66f35af21c35f4ec8c7ac8ce8d7b84e88,8572,0.0,1.4972749999841994e-06,0.0,1.0004354152215456e-05,1100016.990627037
A,0.01,64,K,0.92,"[0.306666667, 0.531162248, 0.0]",8c1cdf4be96a504ffc6be129939c83e981e3acf97df76ca9982b515772c446eb,8572,0.0,9.43955185530937e-07,0.0,5.996112577122403e-06,1100016.9812533858
A,0.01,64,K,0.95,"[0.316666667, 0.548482756, 0.0]",7c796b9073b03421a8a91fc4b0a5002a33f98c34491f500284d9e4be8c5f6818,8572,0.0,6.89536999998186e-07,0.0,9.04440844351484e-06,1100016.9888933746
A,0.01,64,K,0.97,"[0.323333333, 0.560029761, 0.0]",52f478a69d3be91a6e08b0601942303fb11d9ccae1cbc41bd5abe1d26e4cb956,8572,0.0,7.699700002028464e-07,0.0,4.205557843306451e-06,1100016.9841271571
A,0.01,64,K,0.985,"[0.328333333, 0.568690015, 0.0]",111ed457d67fd894b160c9bf05aef46e9d18281d2f04f5b25030885a8e6c515a,8572,0.0,9.4555399998697e-07,0.0,5.436493779598095e-06,1100016.9844602908
A,0.01,64,K,1.0,"[0.333333333, 0.577350269, 0.0]",edd71d6ffe1a2ebde32833e36a7fca47f88c2c322191f33ec92d50b65869b360,4056,0.0,6.188980001819999e-07,0.0,3.447793119448761e-06,1100016.9893170435
A,0.01,64,K,1.015,"[0.338333333, 0.586010523, 0.0]",de2eba2bd36a6c9034f272956d1230a81add52789aced5603e21dd51538b06a1,8572,0.0,1.5642439999963287e-06,0.0,7.574028472845384e-06,1100016.9859261797
A,0.01,64,K,1.03,"[0.343333333, 0.594670777, 0.0]",97e32fba95377fa3709037ff32bd26d547fb15cfb9de7d5228b931f94e5b209d,8572,0.0,9.987465036949695e-07,0.0,6.218768248800188e-06,1100016.9864941284
A,0.01,64,K,1.05,"[0.35, 0.606217783, 0.0]",4ac750ae508d379c04b48e3486a987dc4b301482dd3dd7dc671b5e8df5b8cd33,8572,0.0,1.5091869998151708e-06,0.0,2.513577328500105e-06,1100016.98594882
A,0.01,64,K,1.08,"[0.36, 0.623538291, 0.0]",c58b8915c8cf3046271ad91ff36d48bc3ba01c8c2a09dc10e79ded7fc702c169,8572,0.0,1.0506379999331017e-06,0.0,5.141411293152487e-06,1100016.985459454
B,0.01,32,G,0.0,"[0.0, 0.0, 0.0]",7b405e3963518cb06009e94f349880a8e227809839805896640dde541d5be5ab,2927,0.0,9.259139999162613e-07,0.0,7.744512686258531e-05,1100016.880723821
B,0.01,32,G,0.015,"[0.005, 0.008660254, 0.0]",e486dffcc6056b986486c89c671085b137d638bf0bb8b5872169b67e874ca33e,8572,0.0,9.473989999175814e-07,0.0,3.426025824637691e-05,1100016.9909737357
B,0.01,32,G,0.03,"[0.01, 0.017320508, 0.0]",e86ea1c8c77ca0efe85203a25cc07cfe6af300ede4cb9f24ff736ffec381f82b,8572,0.0,1.0624323497184907e-06,0.0,1.6913114563976706e-05,1100016.985155611
B,0.01,32,G,0.05,"[0.016666667, 0.028867513, 0.0]",76c871267409412ef0ebf4db3f7ae8e1f90429cdbd36a8fd9d64fdcc6a36153f,8572,0.0,9.012570000299647e-07,0.0,2.208375929058093e-05,1100016.9896828793
B,0.01,32,G,0.08,"[0.026666667, 0.046188022, 0.0]",ccbf66106da2331427c6553ba5ef590143607036add1e0523a96a3b59cffd59c,8572,0.0,1.05790400000208e-06,0.0,2.733464361881488e-05,1100017.023490053
B,0.01,32,K,0.92,"[0.306666667, 0.531162248, 0.0]",c447c349f12b26a28ac8b17dbbbb98617f1a676073d99a76856e71dd57f0a58f,8572,0.0,1.2169049998789205e-06,0.0,2.835103828147112e-06,1100016.9899350596
B,0.01,32,K,0.95,"[0.316666667, 0.548482756, 0.0]",8cea69b9d2f3e629f16dcc8c984dc691badd07bc7363b310463bfb3cb0176dc4,8572,0.0,1.0165488627596417e-06,0.0,4.467125336304889e-06,1100016.9900553732
B,0.01,32,K,0.97,"[0.323333333, 0.560029761, 0.0]",eab3c1782fedfc3660ed097e6cbaf26ff472e38b76a252c9e6b39aa61d64a4d8,8572,0.0,7.699700002028464e-07,0.0,5.685550831913133e-06,1100016.9808563949
