region,degauss_Ry,uncorrected_MAE_cm-1,corrected_development_MAE_cm-1,max_abs_error_cm-1
G,0.01,2.8600462811881244,0.060290500358723874,0.13349373746518722
G,0.02,1.3894859639176047,0.011642985332400713,0.017297949778594557
G,0.04,11.141302910203013,0.012714512622324037,0.017760419815886053
G,0.06,2.715172637181695,0.009207354799036694,0.02046580404771703
G,0.08,2.8973702609222074,0.011671881793608918,0.015012849765753344
K,0.01,30.19561550176109,0.5435367738300303,1.7895359801559607
K,0.02,25.144220278880994,0.26072277988133563,0.8651849129405491
K,0.04,0.6858379680244929,0.03477153532516139,0.10980811273748259
K,0.06,3.925996590239821,0.010822028483769626,0.02012683581483543
K,0.08,5.231855601492246,0.6740753579494796,1.642719159545777
