epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_TotalLoss,validset_Energy_RMSE,validset_Force_RMSE,validset_TotalLoss
1,0.004000,3.285284,0.625210,0.026144,0.692568,0.269747,0.007713
2,0.003960,0.379817,0.521473,0.004531,0.268755,1.224558,0.006181
3,0.003920,0.123787,0.502852,0.002093,0.005077,0.103733,0.000311
4,0.003881,0.066530,0.119701,0.000817,0.109411,0.091098,0.001350
5,0.003842,0.081543,0.132335,0.001026,0.065572,0.104692,0.000937
6,0.003804,0.073898,0.174974,0.000998,0.061855,0.095079,0.000866
7,0.003766,0.056580,0.087096,0.000686,0.128490,0.039939,0.001352
8,0.003728,0.087051,0.142009,0.001038,0.073701,0.069210,0.000903
9,0.003691,0.058713,0.086215,0.000686,0.114598,0.044716,0.001233
10,0.003654,0.105333,0.163504,0.001285,0.090121,0.240622,0.001552
11,0.003618,0.166693,0.101226,0.001597,0.004469,0.035804,0.000107
12,0.003581,0.074379,0.116574,0.000902,0.006662,0.078942,0.000269
13,0.003546,0.072593,0.073897,0.000797,0.049099,0.155801,0.000891
14,0.003510,0.069526,0.105205,0.000805,0.110859,0.042893,0.001186
15,0.003475,0.050813,0.121996,0.000707,0.052000,0.121684,0.000825
16,0.003440,0.103677,0.070965,0.001017,0.069057,0.029326,0.000719
17,0.003406,0.057058,0.078603,0.000637,0.052064,0.086779,0.000725
18,0.003372,0.062029,0.085469,0.000667,0.067307,0.038776,0.000734
19,0.003338,0.062243,0.079632,0.000731,0.100494,0.109849,0.001271
20,0.003305,0.060766,0.095118,0.000713,0.013420,0.172450,0.000586
21,0.003272,0.070902,0.117157,0.000878,0.065803,0.111397,0.000935
22,0.003239,0.066808,0.102192,0.000779,0.032128,0.032155,0.000359
23,0.003207,0.080902,0.047508,0.000745,0.115701,0.026110,0.001174
24,0.003174,0.082694,0.029820,0.000708,0.089162,0.053096,0.000995
25,0.003143,0.080798,0.061357,0.000808,0.002763,0.057090,0.000165
26,0.003111,0.081406,0.062658,0.000821,0.086384,0.039656,0.000926
27,0.003080,0.053308,0.061020,0.000525,0.012083,0.029881,0.000151
28,0.003049,0.061116,0.043083,0.000535,0.115379,0.022470,0.001157
29,0.003019,0.129190,0.069453,0.001254,0.021384,0.045977,0.000291
30,0.002989,0.079249,0.066999,0.000837,0.088742,0.127188,0.001201
31,0.002959,0.083500,0.082831,0.000854,0.036664,0.053871,0.000468
32,0.002929,0.025023,0.039281,0.000256,0.012744,0.021509,0.000125
33,0.002900,0.037328,0.025161,0.000321,0.045006,0.019840,0.000447
34,0.002871,0.050737,0.028647,0.000376,0.078032,0.023385,0.000782
35,0.002842,0.027697,0.046636,0.000272,0.010822,0.050655,0.000197
36,0.002814,0.077438,0.058040,0.000795,0.085126,0.121894,0.001140
37,0.002786,0.082001,0.095545,0.000890,0.063222,0.066063,0.000765
38,0.002758,0.050948,0.064830,0.000510,0.043407,0.019962,0.000430
39,0.002730,0.042929,0.022359,0.000353,0.017593,0.027368,0.000197
40,0.002703,0.089772,0.031320,0.000753,0.045096,0.088715,0.000650
41,0.002676,0.042015,0.057417,0.000382,0.033849,0.049755,0.000425
42,0.002649,0.024546,0.044354,0.000273,0.027073,0.063096,0.000396
43,0.002623,0.032768,0.041443,0.000304,0.031515,0.020241,0.000313
44,0.002596,0.030509,0.025309,0.000251,0.036677,0.074191,0.000529
45,0.002570,0.024583,0.055835,0.000305,0.021965,0.041656,0.000282
46,0.002545,0.031006,0.061213,0.000355,0.017766,0.043712,0.000245
47,0.002519,0.033871,0.024555,0.000298,0.012957,0.021309,0.000131
48,0.002494,0.049160,0.025903,0.000375,0.010781,0.025138,0.000122
49,0.002469,0.023989,0.049206,0.000286,0.005951,0.049209,0.000150
50,0.002444,0.053141,0.055889,0.000544,0.043090,0.013380,0.000404
51,0.002420,0.052511,0.041417,0.000496,0.003461,0.014230,0.000033
52,0.002396,0.048255,0.019938,0.000363,0.013943,0.016332,0.000124
53,0.002372,0.044316,0.028843,0.000391,0.077702,0.016211,0.000757
54,0.002348,0.064042,0.076541,0.000664,0.052235,0.017814,0.000512
55,0.002325,0.037637,0.020074,0.000309,0.029720,0.018834,0.000291
56,0.002301,0.045912,0.019665,0.000350,0.029936,0.013011,0.000271
57,0.002278,0.026736,0.030812,0.000254,0.038710,0.022859,0.000393
58,0.002256,0.016857,0.038533,0.000191,0.005596,0.038610,0.000118
59,0.002233,0.035086,0.035308,0.000326,0.042320,0.053263,0.000518
60,0.002211,0.030683,0.022318,0.000263,0.042162,0.019214,0.000415
61,0.002189,0.038734,0.035145,0.000368,0.015279,0.067644,0.000290
62,0.002167,0.024249,0.035638,0.000245,0.067706,0.012046,0.000647
63,0.002145,0.036154,0.034272,0.000331,0.023128,0.038435,0.000284
64,0.002124,0.018349,0.027031,0.000182,0.024536,0.023990,0.000255
65,0.002102,0.015744,0.017481,0.000122,0.023622,0.011441,0.000204
66,0.002081,0.019779,0.033945,0.000218,0.010154,0.023637,0.000110
67,0.002061,0.005137,0.031871,0.000090,0.002669,0.021097,0.000052
68,0.002040,0.002227,0.023115,0.000045,0.001179,0.011978,0.000019
69,0.002020,0.001524,0.016755,0.000034,0.001913,0.012734,0.000023
70,0.001999,0.002988,0.012408,0.000026,0.003233,0.018815,0.000048
71,0.001979,0.001407,0.018991,0.000041,0.000089,0.021715,0.000051
72,0.001960,0.001022,0.017870,0.000038,0.000084,0.015744,0.000033
73,0.001940,0.001485,0.026366,0.000056,0.001528,0.013774,0.000027
74,0.001921,0.001171,0.016415,0.000033,0.002498,0.012357,0.000024
75,0.001901,0.001576,0.019298,0.000043,0.000330,0.013007,0.000023
76,0.001882,0.001356,0.015523,0.000029,0.002991,0.036328,0.000100
77,0.001864,0.002631,0.017269,0.000035,0.004305,0.011118,0.000026
78,0.001845,0.003473,0.011871,0.000025,0.001380,0.010270,0.000015
79,0.001826,0.001760,0.015739,0.000031,0.001276,0.013115,0.000024
80,0.001808,0.000992,0.017800,0.000038,0.000271,0.012714,0.000022
