axis,T_K,soft_mode_THz,Tstar_K,depth_THz,p,q
(E)_T_el,789,-2.041,3158,-2.041,2.549,1.467
(E)_T_el,1184,-1.737,3158,-2.041,2.549,1.467
(E)_T_el,1579,-1.386,3158,-2.041,2.549,1.467
(E)_T_el,1974,-1.105,3158,-2.041,2.549,1.467
(E)_T_el,2368,-0.741,3158,-2.041,2.549,1.467
(E)_T_el,2763,-0.195,3158,-2.041,2.549,1.467
(E)_T_el,3158,-0.006,3158,-2.041,2.549,1.467
(E)_T_el,4737,-0.131,3158,-2.041,2.549,1.467
(L)_T_lat,20,-10.782,110,-12.347,2.549,1.467
(L)_T_lat,50,-12.347,110,-12.347,2.549,1.467
(L)_T_lat,80,-5.175,110,-12.347,2.549,1.467
(L)_T_lat,100,-2.934,110,-12.347,2.549,1.467
(L)_T_lat,110,-0.000,110,-12.347,2.549,1.467
(L)_T_lat,140,-0.000,110,-12.347,2.549,1.467
(L)_T_lat,170,0.000,110,-12.347,2.549,1.467
(L)_T_lat,200,-0.000,110,-12.347,2.549,1.467
(L)_T_lat,300,-0.000,110,-12.347,2.549,1.467
