material,dg,T_el,MLIP_term,DFT,MAE
2H-TaS2,0.005,789,-3.619,-3.603,0.035
2H-TaS2,0.010,1579,-2.924,-2.884,0.035
2H-TaS2,0.015,2368,-1.974,-1.944,0.035
2H-TaS2,0.020,3158,-0.466,-0.461,0.035
NbS2,0.005,789,-5.013,-4.940,0.071
NbS2,0.010,1579,-3.475,-3.501,0.071
NbS2,0.015,2368,-2.015,-1.898,0.071
NbS2,0.020,3158,-0.677,-0.638,0.071
2H-TaSe2,0.005,789,-2.916,-2.909,0.011
2H-TaSe2,0.010,1579,-2.654,-2.636,0.011
2H-TaSe2,0.015,2368,-2.155,-2.150,0.011
2H-TaSe2,0.020,3158,-1.555,-1.542,0.011
NbSe2,0.005,789,-2.927,-2.955,0.160
NbSe2,0.010,1579,-2.625,-2.799,0.160
NbSe2,0.015,2368,-2.035,-2.180,0.160
NbSe2,0.020,3158,-1.096,-1.151,0.160
1T-VSe2,0.005,789,-2.227,-2.184,0.717
1T-VSe2,0.010,1579,-1.603,-1.201,0.717
1T-VSe2,0.015,2368,-1.032,0.000,0.717
1T-VSe2,0.020,3158,-0.131,0.000,0.717
1T-TiSe2,0.005,789,-0.776,-0.590,0.034
1T-TiSe2,0.010,1579,-0.507,-0.472,0.034
1T-TiSe2,0.015,2368,-0.501,-0.468,0.034
1T-TiSe2,0.020,3158,-0.497,-0.465,0.034
