material,polytype,degauss,T_el_K,minfreq_THz
NbS2,2H,0.005,789,-4.94
NbS2,2H,0.01,1579,-3.501
NbS2,2H,0.015,2368,-1.898
NbS2,2H,0.02,3158,-0.665
2H-TaS2,2H,0.005,789,-3.603
2H-TaS2,2H,0.01,1579,-2.884
2H-TaS2,2H,0.015,2368,-1.944
2H-TaS2,2H,0.02,3158,-0.461
2H-TaSe2,2H,0.005,789,-2.909
2H-TaSe2,2H,0.01,1579,-2.636
2H-TaSe2,2H,0.015,2368,-2.15
2H-TaSe2,2H,0.02,3158,-1.542
1T-VSe2,1T,0.005,789,-2.184
1T-VSe2,1T,0.01,1579,-1.201
1T-VSe2,1T,0.015,2368,0.0
1T-VSe2,1T,0.02,3158,0.0
1T-VSe2,1T,0.03,4737,-0.131
