material,polytype,supercell,dg,T_el,B,kappa,minf_model_THz,minf_dft_THz
1T-VSe2,1T,4x4,0.005,789,1.000,0.000,-2.184,-2.184
1T-VSe2,1T,4x4,0.010,1579,0.678,0.000,-1.255,-1.201
1T-VSe2,1T,4x4,0.015,2368,0.463,0.000,0.000,-0.000
1T-VSe2,1T,4x4,0.020,3158,0.291,0.000,-0.000,-0.000
1T-VSe2,1T,4x4,0.030,4737,0.000,0.000,-0.131,-0.131
2H-TaS2,2H,3x3,0.005,789,1.000,0.000,-3.603,-3.603
2H-TaS2,2H,3x3,0.010,1579,0.655,0.000,-2.903,-2.884
2H-TaS2,2H,3x3,0.015,2368,0.315,0.013,-1.944,-1.944
2H-TaS2,2H,3x3,0.020,3158,0.000,0.000,-0.461,-0.461
NbSe2,2H,3x3,0.005,789,1.000,0.000,-2.955,-2.955
NbSe2,2H,3x3,0.010,1579,1.138,0.100,-2.648,-2.799
NbSe2,2H,3x3,0.015,2368,0.684,0.138,-2.066,-2.180
NbSe2,2H,3x3,0.020,3158,0.000,0.000,-1.151,-1.151
NbS2,2H,3x3,0.005,789,1.000,0.000,-4.940,-4.940
NbS2,2H,3x3,0.010,1579,0.666,0.062,-3.357,-3.501
NbS2,2H,3x3,0.015,2368,0.403,0.138,-1.819,-1.898
NbS2,2H,3x3,0.020,3158,0.000,0.000,-0.638,-0.638
2H-TaSe2,2H,3x3,0.005,789,1.000,0.000,-2.909,-2.909
2H-TaSe2,2H,3x3,0.010,1579,0.988,0.075,-2.647,-2.636
2H-TaSe2,2H,3x3,0.015,2368,0.401,0.025,-2.146,-2.150
2H-TaSe2,2H,3x3,0.020,3158,0.000,0.000,-1.542,-1.542
