degauss,T_el,B,kappa,xi_extra,kinkK_model,kinkK_fewshot,kinkK_dft,wK_cm,kinkG_model,resid_pct
0.002,316,1.0,0.0,0.0,22.63213501299966,20.000022545778986,22.63,1257.690110637633,14.839661371563965,0.0
0.003,474,1.0457998841168257,0.025,40.0,19.48088050674948,18.683652000400805,18.51,1269.3314917645841,12.67014279425259,0.23719696375117022
0.004,632,1.068260866832531,0.037500000000000006,26.666666666666664,18.128673042327588,17.645271570512598,16.74,1274.7861889877292,11.70849611200328,0.5471182056010269
0.005,789,1.0964302854990735,0.05,20.0,17.031509479484594,16.78482086594412,15.72,1279.2702772785906,10.899424241190644,0.7919784343096006
0.006,947,1.089928758843831,0.05,20.0,16.882677257071027,16.038798302383153,15.04,1280.070247222424,10.854958531018925,0.9781273692982144
0.007,1105,1.122030358275113,0.0625,16.0,15.960410809038184,15.382278192455843,14.52,1283.8831511538253,10.174544433039543,1.1061572048215218
0.010,1579,1.1461604884775878,0.07500000000000001,13.333333333333332,14.945377138397014,13.78016705171699,13.33,1288.4582161485257,9.532606664268476,1.3392009321877532
0.015,2368,1.1602895658371624,0.08750000000000001,11.428571428571427,13.846477186062328,11.8470902458247,11.56,1293.8518232148772,8.923406426417472,1.5279080838309822
0.020,3158,1.1666310749599524,0.1,10.0,12.739336782958908,10.42927343390465,9.75,1299.6830676969755,8.36063263637503,1.676058494504182
0.030,4737,1.1708729982999624,0.1375,7.2727272727272725,9.887986343762323,8.428949498781707,6.42,1316.2282104731123,7.032259536887321,2.218001681344312
0.040,6315,1.0943949517787623,0.17500000000000002,5.7142857142857135,7.163346278614377,7.053240287567625,3.91,1335.2433426957436,5.954272191337351,3.27951475034447
0.080,12631,0.0,0.0,0.0,0.22071586867923493,0.22071586867923493,0.22,1407.7846575858498,3.166283734383981,0.0
