a,degauss,T_el,kink_pred,kink_dft,held_out
2.46,0.002,315.776,22.632135013000802,22.632135013000802,0
2.46,0.005,789.44,16.547618935673135,15.72334819620071,1
2.46,0.010,1578.88,13.200774734120126,13.334888839107606,1
2.46,0.020,3157.76,9.694625439683456,9.750222395713338,1
2.46,0.040,6315.52,3.9136973796084766,3.9136973796084766,0
2.44,0.002,315.776,20.4269997639504,20.4269997639504,0
2.44,0.005,789.44,15.396164462387022,14.653489007979744,1
2.44,0.010,1578.88,12.43297723216834,12.495809640431416,1
2.44,0.020,3157.76,9.216692204337384,9.227771998782984,1
2.44,0.040,6315.52,3.701775057023699,3.701775057023699,0
2.48,0.002,315.776,47.23451048223446,47.23451048223446,0
2.48,0.005,789.44,18.813843856941308,17.414906073082864,1
2.48,0.010,1578.88,14.555747120445782,14.501148132806884,1
2.48,0.020,3157.76,10.51128714288731,10.407174214526131,1
2.48,0.040,6315.52,4.165971148649678,4.165971148649678,0
