degauss_Ry,T_el_K,qlabel,qx,qy,freqs_cm
0.003,474,Gamma,0.0000,0.0000,111.4 112.1 112.1 884.8 1531.8 1531.8
0.003,474,M/other,0.0000,0.3849,291.2 567.4 777.2 1014.2 1442.5 1547.8
0.003,474,K,0.3333,0.5774,544.1 544.1 1005.0 1225.9 1225.9 1250.9
0.006,947,Gamma,0.0000,0.0000,111.4 112.1 112.1 884.8 1559.9 1559.9
0.006,947,M/other,0.0000,0.3849,291.2 567.4 777.2 1014.2 1442.5 1547.8
0.006,947,K,0.3333,0.5774,544.1 544.1 1004.9 1227.0 1227.0 1285.7
0.010,1579,Gamma,0.0000,0.0000,111.4 112.1 112.1 884.7 1569.9 1569.9
0.010,1579,M/other,0.0000,0.3849,291.2 567.4 777.2 1014.2 1442.4 1547.8
0.010,1579,K,0.3333,0.5774,544.0 544.0 1005.0 1227.5 1227.5 1300.1
0.020,3158,Gamma,0.0000,0.0000,111.4 112.1 112.1 884.0 1571.3 1571.3
0.020,3158,M/other,0.0000,0.3849,290.6 567.3 776.3 1013.9 1441.7 1546.9
0.020,3158,K,0.3333,0.5774,542.8 542.8 1004.9 1227.2 1227.2 1318.7
0.040,6315,Gamma,0.0000,0.0000,111.2 112.1 112.1 876.7 1558.2 1558.2
0.040,6315,M/other,0.0000,0.3849,285.3 565.9 766.4 1010.5 1436.2 1537.5
0.040,6315,K,0.3333,0.5774,531.8 531.8 1003.9 1223.4 1223.4 1354.0
