model,sc,natoms,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz
foundation,3,18,1249.74,1152.99,10.034,72.469,-0.104
foundation,5,50,1254.37,1150.86,14.931,98.497,-0.039
foundation,7,98,1257.90,1157.53,15.058,100.849,-0.025
foundation,9,162,1260.28,1158.60,14.967,101.296,-0.031
foundation,11,242,1261.85,1159.44,14.916,101.459,-0.036
FC-distilled,3,18,1394.40,1187.12,4.372,83.112,-0.857
FC-distilled,5,50,1398.87,1192.02,6.620,97.887,-0.069
FC-distilled,7,98,1402.34,1191.81,6.644,96.896,-0.047
FC-distilled,9,162,1404.71,1193.05,6.619,97.431,-0.060
FC-distilled,11,242,1406.29,1193.96,6.600,97.739,-0.068
