#JOB	SEED	NCFG	MODE	MODEL	TRAINKEY
br_B4_s1	1	30	pt1000	small	B4
br_B4_s2	2	30	pt1000	small	B4
br_B4_s3	3	30	pt1000	small	B4
br_B8_s1	1	30	pt1000	small	B8
br_B8_s2	2	30	pt1000	small	B8
br_B8_s3	3	30	pt1000	small	B8
br_B16_s1	1	30	pt1000	small	B16
br_B16_s2	2	30	pt1000	small	B16
br_B16_s3	3	30	pt1000	small	B16
br_B32_s1	1	30	pt1000	small	B32
br_B32_s2	2	30	pt1000	small	B32
br_B32_s3	3	30	pt1000	small	B32
br_B64_s1	1	30	pt1000	small	B64
br_B64_s2	2	30	pt1000	small	B64
br_B64_s3	3	30	pt1000	small	B64
eb_single_s2	2	30	single	small	B16
eb_single_s3	3	30	single	small	B16
eb_single_s4	4	30	single	small	B16
eb_pt1000_s2	2	30	pt1000	small	B16
eb_pt1000_s3	3	30	pt1000	small	B16
eb_pt1000_s4	4	30	pt1000	small	B16
eb_pt5000_s2	2	30	pt5000	small	B16
eb_pt5000_s3	3	30	pt5000	small	B16
eb_pt5000_s4	4	30	pt5000	small	B16
eb_lora8_s2	2	30	lora8	small	B16
eb_lora8_s3	3	30	lora8	small	B16
eb_lora8_s4	4	30	lora8	small	B16
eb_lora32_s2	2	30	lora32	small	B16
eb_lora32_s3	3	30	lora32	small	B16
eb_lora32_s4	4	30	lora32	small	B16
rb_single_s1	1	30	single	small	B32
rb_single_s2	2	30	single	small	B32
rb_pt500_s1	1	30	pt500	small	B32
rb_pt500_s2	2	30	pt500	small	B32
rb_pt1000_s1	1	30	pt1000	small	B32
rb_pt1000_s2	2	30	pt1000	small	B32
rb_pt2500_s1	1	30	pt2500	small	B32
rb_pt2500_s2	2	30	pt2500	small	B32
db_B16_nc15	1	15	pt1000	small	B16
db_B16_nc60	1	60	pt1000	small	B16
db_B32_nc15	1	15	pt1000	small	B32
db_B32_nc60	1	60	pt1000	small	B32
db_B64_nc15	1	15	pt1000	small	B64
db_B64_nc60	1	60	pt1000	small	B64
med_B8	1	30	pt1000	medium	B8
med_B16	1	30	pt1000	medium	B16
med_B32	1	30	pt1000	medium	B32
med_B64	1	30	pt1000	medium	B64
