#JOB	SEED	NCFG	MODE	MODEL	TRAINKEY
br_B20_s1	1	30	pt1000	small	B20
br_B20_s2	2	30	pt1000	small	B20
br_B20_s3	3	30	pt1000	small	B20
br_B24_s1	1	30	pt1000	small	B24
br_B24_s2	2	30	pt1000	small	B24
br_B24_s3	3	30	pt1000	small	B24
br_B28_s1	1	30	pt1000	small	B28
br_B28_s2	2	30	pt1000	small	B28
br_B28_s3	3	30	pt1000	small	B28
br_B48_s1	1	30	pt1000	small	B48
br_B48_s2	2	30	pt1000	small	B48
br_B48_s3	3	30	pt1000	small	B48
br_B16_s4	4	30	pt1000	small	B16
br_B16_s5	5	30	pt1000	small	B16
br_B32_s4	4	30	pt1000	small	B32
br_B32_s5	5	30	pt1000	small	B32
br_B64_s4	4	30	pt1000	small	B64
br_B64_s5	5	30	pt1000	small	B64
