#JOB	SEED	NCFG	MODE	MODEL	TRAINKEY
gdiv_N8_s1	1	30	pt1000	small	G8
gdiv_N8_s2	2	30	pt1000	small	G8
gdiv_N16_s1	1	30	pt1000	small	G16
gdiv_N16_s2	2	30	pt1000	small	G16
gdiv_N24_s1	1	30	pt1000	small	G24
gdiv_N24_s2	2	30	pt1000	small	G24
gdiv_N32_s1	1	30	pt1000	small	G32
gdiv_N32_s2	2	30	pt1000	small	G32
gdiv_N48_s1	1	30	pt1000	small	G48
gdiv_N48_s2	2	30	pt1000	small	G48
rndD_N8_s1	1	30	pt1000	small	RD8
rndD_N16_s1	1	30	pt1000	small	RD16
rndD_N32_s1	1	30	pt1000	small	RD32
rndD_N48_s1	1	30	pt1000	small	RD48
rndE_N8_s1	1	30	pt1000	small	RE8
rndE_N16_s1	1	30	pt1000	small	RE16
rndE_N32_s1	1	30	pt1000	small	RE32
rndE_N48_s1	1	30	pt1000	small	RE48
rndF_N8_s1	1	30	pt1000	small	RF8
rndF_N16_s1	1	30	pt1000	small	RF16
rndF_N32_s1	1	30	pt1000	small	RF32
rndF_N48_s1	1	30	pt1000	small	RF48
